"SR- LS GR-L"|"Yes"|"Yes"|"Stratified loamy sand to gravelly loam"|"7933867"|"15149498"
"SICL"|"No "|"Yes"|"Silty clay loam"|"8172421"|"15255586"
"L"|"No "|"No "|"Loam"|"8172422"|"15403758"
"CL"|"No "|"No "|"Clay loam"|"8172422"|"15551930"
"STV-L"|"No "|"No "|"Very stony loam"|"8172422"|"15700101"
"L"|"No "|"Yes"|"Loam"|"8172423"|"15255587"
"SICL"|"No "|"No "|"Silty clay loam"|"8172424"|"15403759"
"SIL"|"No "|"No "|"Silt loam"|"8172424"|"15551931"
"C"|"No "|"No "|"Clay"|"8172425"|"15255588"
"SIC"|"No "|"No "|"Silty clay"|"8172425"|"15700102"
"C"|"No "|"Yes"|"Clay"|"8172426"|"15403760"
"SICL"|"No "|"No "|"Silty clay loam"|"8172427"|"15551932"
"SIL"|"No "|"No "|"Silt loam"|"8172427"|"15700103"
"L"|"No "|"Yes"|"Loam"|"8172428"|"15255589"
"SIL"|"No "|"Yes"|"Silt loam"|"8172429"|"15403761"
"SIL"|"No "|"Yes"|"Silt loam"|"8172430"|"15551933"
"CL"|"No "|"Yes"|"Clay loam"|"8172431"|"15700104"
"SIC"|"No "|"No "|"Silty clay"|"8172432"|"15255590"
"C"|"No "|"No "|"Clay"|"8172432"|"15403762"
"SIC"|"No "|"No "|"Silty clay"|"8172433"|"15551934"
"SICL"|"No "|"No "|"Silty clay loam"|"8172433"|"15700105"
"SIC"|"No "|"No "|"Silty clay"|"8172434"|"15255591"
"C"|"No "|"No "|"Clay"|"8172434"|"15403763"
"CL"|"No "|"No "|"Clay loam"|"8172434"|"15551935"
"SICL"|"No "|"No "|"Silty clay loam"|"8172435"|"15255592"
"CL"|"No "|"No "|"Clay loam"|"8172435"|"15403764"
"SIC"|"No "|"No "|"Silty clay"|"8172435"|"15700106"
"L"|"No "|"Yes"|"Loam"|"8172436"|"15551936"
"C"|"No "|"No "|"Clay"|"8172437"|"15255593"
"CL"|"No "|"No "|"Clay loam"|"8172437"|"15700107"
"CL"|"No "|"No "|"Clay loam"|"8172438"|"15403765"
"C"|"No "|"No "|"Clay"|"8172438"|"15551937"
"L"|"No "|"Yes"|"Loam"|"8172439"|"15700108"
"SCL"|"No "|"No "|"Sandy clay loam"|"8172440"|"15255594"
"CL"|"No "|"No "|"Clay loam"|"8172440"|"15403766"
"L"|"No "|"No "|"Loam"|"8172440"|"15551938"
"FSL"|"No "|"Yes"|"Fine sandy loam"|"8172441"|"15700109"
"FSL"|"No "|"Yes"|"Fine sandy loam"|"8172442"|"15255595"
"CL"|"No "|"No "|"Clay loam"|"8172443"|"15403767"
"L"|"No "|"No "|"Loam"|"8172443"|"15551939"
"SCL"|"No "|"No "|"Sandy clay loam"|"8172443"|"15700110"
"C"|"No "|"No "|"Clay"|"8172444"|"15255596"
"SIC"|"No "|"No "|"Silty clay"|"8172444"|"15403768"
"SICL"|"No "|"No "|"Silty clay loam"|"8172444"|"15551940"
"SIC"|"No "|"No "|"Silty clay"|"8172445"|"15255597"
"C"|"No "|"No "|"Clay"|"8172445"|"15700111"
"WB"|"No "|"Yes"|"Weathered bedrock"|"8172446"|"15403769"
"SIL"|"No "|"Yes"|"Silt loam"|"8172447"|"15551941"
"SIC"|"No "|"No "|"Silty clay"|"8172448"|"15255598"
"C"|"No "|"No "|"Clay"|"8172448"|"15403770"
"CL"|"No "|"No "|"Clay loam"|"8172448"|"15700112"
"C"|"No "|"No "|"Clay"|"8172449"|"15551942"
"SIC"|"No "|"No "|"Silty clay"|"8172449"|"15700113"
"SIC"|"No "|"Yes"|"Silty clay"|"8172450"|"15255599"
"L"|"No "|"Yes"|"Loam"|"8172451"|"15403771"
"SICL"|"No "|"Yes"|"Silty clay loam"|"8172452"|"15551943"
"L"|"No "|"No "|"Loam"|"8172453"|"15255600"
"SCL"|"No "|"No "|"Sandy clay loam"|"8172453"|"15403772"
"CL"|"No "|"No "|"Clay loam"|"8172453"|"15700114"
"SICL"|"No "|"No "|"Silty clay loam"|"8172454"|"15255601"
"C"|"No "|"No "|"Clay"|"8172454"|"15551944"
"SIC"|"No "|"No "|"Silty clay"|"8172454"|"15700115"
"C"|"No "|"Yes"|"Clay"|"8172455"|"15403773"
"SICL"|"No "|"No "|"Silty clay loam"|"8172456"|"15551945"
"SIC"|"No "|"No "|"Silty clay"|"8172456"|"15700116"
"SG"|"No "|"Yes"|"Sand and gravel"|"8172457"|"15255602"
"FSL"|"No "|"Yes"|"Fine sandy loam"|"8172458"|"15403774"
"SIL"|"No "|"Yes"|"Silt loam"|"8172459"|"15551946"
"SIC"|"No "|"No "|"Silty clay"|"8172460"|"15255603"
"SICL"|"No "|"No "|"Silty clay loam"|"8172460"|"15403775"
"C"|"No "|"No "|"Clay"|"8172460"|"15700117"
"CL"|"No "|"No "|"Clay loam"|"8172461"|"15255604"
"SIC"|"No "|"No "|"Silty clay"|"8172461"|"15551947"
"SICL"|"No "|"No "|"Silty clay loam"|"8172461"|"15700118"
"SIC"|"No "|"No "|"Silty clay"|"8172462"|"15403776"
"SICL"|"No "|"No "|"Silty clay loam"|"8172462"|"15551948"
"L"|"No "|"No "|"Loam"|"8172462"|"15700119"
"L"|"No "|"No "|"Loam"|"8172463"|"15255605"
"CL"|"No "|"No "|"Clay loam"|"8172463"|"15403777"
"L"|"No "|"Yes"|"Loam"|"8172464"|"15551949"
"SIL"|"No "|"No "|"Silt loam"|"8172465"|"15255606"
"CL"|"No "|"No "|"Clay loam"|"8172465"|"15403778"
"L"|"No "|"No "|"Loam"|"8172465"|"15700120"
"CL"|"No "|"No "|"Clay loam"|"8172466"|"15255607"
"CNV-L"|"No "|"No "|"Very channery loam"|"8172466"|"15551950"
"CN-CL"|"No "|"No "|"Channery clay loam"|"8172466"|"15700121"
"SICL"|"No "|"Yes"|"Silty clay loam"|"8172467"|"15403779"
"SICL"|"No "|"No "|"Silty clay loam"|"8172468"|"15255608"
"L"|"No "|"No "|"Loam"|"8172468"|"15551951"
"CL"|"No "|"No "|"Clay loam"|"8172468"|"15700122"
"SICL"|"No "|"No "|"Silty clay loam"|"8172469"|"15403780"
"CL"|"No "|"No "|"Clay loam"|"8172469"|"15551952"
"SIL"|"No "|"No "|"Silt loam"|"8172469"|"15700123"
"WB"|"No "|"Yes"|"Weathered bedrock"|"8172470"|"15255609"
"FSL"|"No "|"Yes"|"Fine sandy loam"|"8172471"|"15403781"
"C"|"No "|"Yes"|"Clay"|"8172472"|"15551953"
"C"|"No "|"Yes"|"Clay"|"8172473"|"15700124"
"FSL"|"No "|"No "|"Fine sandy loam"|"8172474"|"15255610"
"SL"|"No "|"No "|"Sandy loam"|"8172474"|"15403782"
"SICL"|"No "|"No "|"Silty clay loam"|"8172475"|"15255611"
"C"|"No "|"No "|"Clay"|"8172475"|"15551954"
"SIC"|"No "|"No "|"Silty clay"|"8172475"|"15700125"
"L"|"No "|"No "|"Loam"|"8172476"|"15403783"
"SIL"|"No "|"No "|"Silt loam"|"8172476"|"15551955"
"CL"|"No "|"No "|"Clay loam"|"8172476"|"15700126"
"SIC"|"No "|"No "|"Silty clay"|"8172477"|"15255612"
"C"|"No "|"No "|"Clay"|"8172477"|"15403784"
"SICL"|"No "|"No "|"Silty clay loam"|"8172477"|"15551956"
"SR- LVFS L"|"Yes"|"Yes"|"Stratified loamy very fine sand to loam"|"8172478"|"15700127"
"C"|"No "|"No "|"Clay"|"8172479"|"15255613"
"SIC"|"No "|"No "|"Silty clay"|"8172479"|"15403785"
"SICL"|"No "|"No "|"Silty clay loam"|"8172479"|"15551957"
"L"|"No "|"Yes"|"Loam"|"8172480"|"15700128"
"L"|"No "|"Yes"|"Loam"|"8172481"|"15255614"
"CL"|"No "|"No "|"Clay loam"|"8172482"|"15403786"
"L"|"No "|"No "|"Loam"|"8172482"|"15551958"
"SIL"|"No "|"No "|"Silt loam"|"8172482"|"15700129"
"SIL"|"No "|"Yes"|"Silt loam"|"8172483"|"15255615"
"FSL"|"No "|"No "|"Fine sandy loam"|"8172484"|"15403787"
"SL"|"No "|"No "|"Sandy loam"|"8172484"|"15551959"
"SIC"|"No "|"No "|"Silty clay"|"8172485"|"15255616"
"C"|"No "|"No "|"Clay"|"8172485"|"15700130"
"SIC"|"No "|"No "|"Silty clay"|"8172486"|"15403788"
"CL"|"No "|"No "|"Clay loam"|"8172486"|"15551960"
"L"|"No "|"No "|"Loam"|"8172486"|"15700131"
"C"|"No "|"No "|"Clay"|"8172487"|"15255617"
"SIC"|"No "|"No "|"Silty clay"|"8172487"|"15403789"
"SICL"|"No "|"No "|"Silty clay loam"|"8172487"|"15551961"
"SIL"|"No "|"No "|"Silt loam"|"8172488"|"15255618"
"L"|"No "|"No "|"Loam"|"8172488"|"15403790"
"SICL"|"No "|"No "|"Silty clay loam"|"8172488"|"15700132"
"SIL"|"No "|"Yes"|"Silt loam"|"8172489"|"15551962"
"SR- LS L"|"Yes"|"Yes"|"Stratified loamy sand to loam"|"8172490"|"15700133"
"L"|"No "|"Yes"|"Loam"|"8172491"|"15255619"
"CL"|"No "|"Yes"|"Clay loam"|"8172492"|"15403791"
"C"|"No "|"Yes"|"Clay"|"8172493"|"15551963"
"SICL"|"No "|"Yes"|"Silty clay loam"|"8172494"|"15700134"
"C"|"No "|"Yes"|"Clay"|"8172495"|"15255620"
"SIC"|"No "|"No "|"Silty clay"|"8172496"|"15403792"
"C"|"No "|"No "|"Clay"|"8172496"|"15551964"
"WB"|"No "|"Yes"|"Weathered bedrock"|"8172497"|"15700135"
"C"|"No "|"Yes"|"Clay"|"8172498"|"15255621"
"LFS"|"No "|"Yes"|"Loamy fine sand"|"8172499"|"15403793"
"L"|"No "|"Yes"|"Loam"|"8172500"|"15551965"
"CN-C"|"No "|"No "|"Channery clay"|"8172501"|"15255622"
"CNV-C"|"No "|"No "|"Very channery clay"|"8172501"|"15403794"
"C"|"No "|"No "|"Clay"|"8172501"|"15700136"
"SICL"|"No "|"No "|"Silty clay loam"|"8172502"|"15551966"
"SIL"|"No "|"No "|"Silt loam"|"8172502"|"15700137"
"C"|"No "|"Yes"|"Clay"|"8172503"|"15255623"
"SIL"|"No "|"No "|"Silt loam"|"8172504"|"15403795"
"SICL"|"No "|"No "|"Silty clay loam"|"8172504"|"15551967"
"SIC"|"No "|"No "|"Silty clay"|"8172505"|"15255624"
"C"|"No "|"No "|"Clay"|"8172505"|"15700138"
"CL"|"No "|"No "|"Clay loam"|"8172506"|"15403796"
"C"|"No "|"No "|"Clay"|"8172506"|"15551968"
"WB"|"No "|"Yes"|"Weathered bedrock"|"8172507"|"15700139"
"SIC"|"No "|"No "|"Silty clay"|"8172508"|"15255625"
"C"|"No "|"No "|"Clay"|"8172508"|"15403797"
"C"|"No "|"No "|"Clay"|"8172509"|"15551969"
"CL"|"No "|"No "|"Clay loam"|"8172509"|"15700140"
"C"|"No "|"Yes"|"Clay"|"8172510"|"15255626"
"C"|"No "|"Yes"|"Clay"|"8172511"|"15403798"
"SC"|"No "|"No "|"Sandy clay"|"8172512"|"15255627"
"CL"|"No "|"No "|"Clay loam"|"8172512"|"15551970"
"C"|"No "|"No "|"Clay"|"8172512"|"15700141"
"SIC"|"No "|"No "|"Silty clay"|"8172513"|"15403799"
"C"|"No "|"No "|"Clay"|"8172513"|"15551971"
"C"|"No "|"Yes"|"Clay"|"8172514"|"15700142"
"CN-SIC"|"No "|"No "|"Channery silty clay"|"8172515"|"15255628"
"CN-C"|"No "|"No "|"Channery clay"|"8172515"|"15403800"
"SIC"|"No "|"No "|"Silty clay"|"8172515"|"15551972"
"WB"|"No "|"Yes"|"Weathered bedrock"|"8172516"|"15700143"
"CL"|"No "|"Yes"|"Clay loam"|"8172517"|"15255629"
"L"|"No "|"No "|"Loam"|"8172518"|"15403801"
"CL"|"No "|"No "|"Clay loam"|"8172518"|"15551973"
"C"|"No "|"Yes"|"Clay"|"8172519"|"15700144"
"SIC"|"No "|"No "|"Silty clay"|"8172520"|"15255630"
"C"|"No "|"No "|"Clay"|"8172520"|"15403802"
"CL"|"No "|"No "|"Clay loam"|"8172520"|"15551974"
"SICL"|"No "|"Yes"|"Silty clay loam"|"8172521"|"15700145"
"SICL"|"No "|"Yes"|"Silty clay loam"|"8172522"|"15255631"
"SIC"|"No "|"No "|"Silty clay"|"8172523"|"15403803"
"SICL"|"No "|"No "|"Silty clay loam"|"8172523"|"15551975"
"CL"|"No "|"No "|"Clay loam"|"8172523"|"15700146"
"FSL"|"No "|"No "|"Fine sandy loam"|"8172524"|"15255632"
"LFS"|"No "|"No "|"Loamy fine sand"|"8172524"|"15403804"
"L"|"No "|"Yes"|"Loam"|"8172525"|"15551976"
"LFS"|"No "|"Yes"|"Loamy fine sand"|"8172526"|"15700147"
"C"|"No "|"Yes"|"Clay"|"8172527"|"15255633"
"C"|"No "|"No "|"Clay"|"8172528"|"15403805"
"CL"|"No "|"No "|"Clay loam"|"8172528"|"15551977"
"SIC"|"No "|"No "|"Silty clay"|"8172528"|"15700148"
"SIL"|"No "|"No "|"Silt loam"|"8172529"|"15255634"
"SICL"|"No "|"No "|"Silty clay loam"|"8172529"|"15403806"
"L"|"No "|"No "|"Loam"|"8172529"|"15551978"
"L"|"No "|"No "|"Loam"|"8172530"|"15255635"
"SIL"|"No "|"No "|"Silt loam"|"8172530"|"15700149"
"L"|"No "|"Yes"|"Loam"|"8172531"|"15403807"
"L"|"No "|"No "|"Loam"|"8172532"|"15551979"
"CL"|"No "|"No "|"Clay loam"|"8172532"|"15700150"
"L"|"No "|"No "|"Loam"|"8172533"|"15255636"
"CL"|"No "|"No "|"Clay loam"|"8172533"|"15403808"
"CL"|"No "|"No "|"Clay loam"|"8172534"|"15255637"
"C"|"No "|"No "|"Clay"|"8172534"|"15551980"
"SIC"|"No "|"No "|"Silty clay"|"8172534"|"15700151"
"CL"|"No "|"No "|"Clay loam"|"8172535"|"15403809"
"SIC"|"No "|"No "|"Silty clay"|"8172535"|"15551981"
"C"|"No "|"No "|"Clay"|"8172535"|"15700152"
"L"|"No "|"No "|"Loam"|"8172536"|"15255638"
"CL"|"No "|"No "|"Clay loam"|"8172536"|"15403810"
"GRV-S"|"No "|"No "|"Very gravelly sand"|"8172537"|"15255639"
"GR-LS"|"No "|"No "|"Gravelly loamy sand"|"8172537"|"15551982"
"GR-S"|"No "|"No "|"Gravelly sand"|"8172537"|"15700153"
"L"|"No "|"Yes"|"Loam"|"8172538"|"15403811"
"CL"|"No "|"No "|"Clay loam"|"8172539"|"15551983"
"C"|"No "|"No "|"Clay"|"8172539"|"15700154"
"SIC"|"No "|"No "|"Silty clay"|"8172540"|"15255640"
"SICL"|"No "|"No "|"Silty clay loam"|"8172540"|"15403812"
"CL"|"No "|"No "|"Clay loam"|"8172540"|"15551984"
"SIC"|"No "|"No "|"Silty clay"|"8172541"|"15255641"
"CL"|"No "|"No "|"Clay loam"|"8172541"|"15403813"
"C"|"No "|"No "|"Clay"|"8172541"|"15700155"
"CL"|"No "|"No "|"Clay loam"|"8172542"|"15551985"
"L"|"No "|"No "|"Loam"|"8172542"|"15700156"
"SIL"|"No "|"Yes"|"Silt loam"|"8172543"|"15255642"
"SIL"|"No "|"No "|"Silt loam"|"8172544"|"15403814"
"SICL"|"No "|"No "|"Silty clay loam"|"8172544"|"15551986"
"CL"|"No "|"No "|"Clay loam"|"8172545"|"15255643"
"L"|"No "|"No "|"Loam"|"8172545"|"15700157"
"CL"|"No "|"No "|"Clay loam"|"8172546"|"15403815"
"L"|"No "|"No "|"Loam"|"8172546"|"15551987"
"CL"|"No "|"No "|"Clay loam"|"8176288"|"15257340"
"SIC"|"No "|"No "|"Silty clay"|"8176288"|"15405512"
"C"|"No "|"No "|"Clay"|"8176288"|"15701854"
"S"|"No "|"Yes"|"Sand"|"8176291"|"15257341"
"SICL"|"No "|"No "|"Silty clay loam"|"8176292"|"15405513"
"SIL"|"No "|"No "|"Silt loam"|"8176292"|"15553685"
"UWB"|"No "|"Yes"|"Unweathered bedrock"|"8176293"|"15701856"
"UWB"|"No "|"Yes"|"Unweathered bedrock"|"8176296"|"15701857"
"CL"|"No "|"No "|"Clay loam"|"8177959"|"15406161"
"SICL"|"No "|"Yes"|"Silty clay loam"|"8177959"|"15554333"
"SIL"|"No "|"No "|"Silt loam"|"8177959"|"15702504"
"CL"|"No "|"No "|"Clay loam"|"8177960"|"15257990"
"L"|"No "|"No "|"Loam"|"8177960"|"15406162"
"CL"|"No "|"Yes"|"Clay loam"|"8177960"|"15554334"
"SIC"|"No "|"Yes"|"Silty clay"|"8177962"|"15554335"
"FSL"|"No "|"Yes"|"Fine sandy loam"|"8177963"|"15702506"
"CL"|"No "|"No "|"Clay loam"|"8183816"|"15260522"
"SIL"|"No "|"No "|"Silt loam"|"8183816"|"15408694"
"L"|"No "|"No "|"Loam"|"8183816"|"15705036"
"C"|"No "|"No "|"Clay"|"8183817"|"15260523"
"CL"|"No "|"No "|"Clay loam"|"8183817"|"15556866"
"SCL"|"No "|"No "|"Sandy clay loam"|"8183817"|"15705037"
"C"|"No "|"No "|"Clay"|"8184534"|"15557199"
"SIC"|"No "|"No "|"Silty clay"|"8184534"|"15705370"
"SIC"|"No "|"No "|"Silty clay"|"8184535"|"15260856"
"SICL"|"No "|"No "|"Silty clay loam"|"8184535"|"15409028"
"C"|"No "|"No "|"Clay"|"8184535"|"15557200"
"C"|"No "|"Yes"|"Clay"|"8185133"|"15409307"
"SIC"|"No "|"No "|"Silty clay"|"8185134"|"15261136"
"SICL"|"No "|"No "|"Silty clay loam"|"8185134"|"15557479"
"CL"|"No "|"No "|"Clay loam"|"8185134"|"15705650"
"CL"|"No "|"No "|"Clay loam"|"8185135"|"15409308"
"C"|"No "|"No "|"Clay"|"8185135"|"15557480"
"C"|"No "|"No "|"Clay"|"8185302"|"15409394"
"SIC"|"No "|"No "|"Silty clay"|"8185302"|"15557566"
"GRV-LS"|"No "|"No "|"Very gravelly loamy sand"|"8185303"|"15261223"
"GR-S"|"No "|"No "|"Gravelly sand"|"8185303"|"15409395"
"GR-LS"|"No "|"No "|"Gravelly loamy sand"|"8185303"|"15705737"
"SR- SL SICL"|"Yes"|"Yes"|"Stratified sandy loam to silty clay loam"|"8185304"|"15557567"
"L"|"No "|"Yes"|"Loam"|"8185314"|"15261228"
"SIL"|"No "|"No "|"Silt loam"|"8185315"|"15409400"
"SICL"|"No "|"No "|"Silty clay loam"|"8185315"|"15557572"
"L"|"No "|"No "|"Loam"|"8185315"|"15705743"
"SL"|"No "|"Yes"|"Sandy loam"|"8185319"|"15705745"
"C"|"No "|"No "|"Clay"|"8185320"|"15261231"
"CL"|"No "|"No "|"Clay loam"|"8185320"|"15409403"
"SICL"|"No "|"No "|"Silty clay loam"|"8185320"|"15557575"
"SL"|"No "|"No "|"Sandy loam"|"8185321"|"15261232"
"FSL"|"No "|"No "|"Fine sandy loam"|"8185321"|"15409404"
"L"|"No "|"No "|"Loam"|"8185321"|"15705746"
"LS"|"No "|"No "|"Loamy sand"|"8185332"|"15261238"
"FS"|"No "|"No "|"Fine sand"|"8185332"|"15409410"
"LFS"|"No "|"No "|"Loamy fine sand"|"8185332"|"15557582"
"FSL"|"No "|"Yes"|"Fine sandy loam"|"8185333"|"15705753"
"FSL"|"No "|"No "|"Fine sandy loam"|"8185334"|"15261239"
"SL"|"No "|"No "|"Sandy loam"|"8185334"|"15409411"
"L"|"No "|"No "|"Loam"|"8185334"|"15557583"
"SL"|"No "|"No "|"Sandy loam"|"8185335"|"15261240"
"LFS"|"No "|"No "|"Loamy fine sand"|"8185335"|"15409412"
"FSL"|"No "|"No "|"Fine sandy loam"|"8185335"|"15705754"
"L"|"No "|"Yes"|"Loam"|"8185351"|"15409420"
"L"|"No "|"No "|"Loam"|"8185352"|"15557592"
"CL"|"No "|"No "|"Clay loam"|"8185352"|"15705763"
"SR- SL SICL"|"Yes"|"Yes"|"Stratified sandy loam to silty clay loam"|"8185353"|"15261249"
"L"|"No "|"No "|"Loam"|"8185384"|"15409435"
"CL"|"No "|"No "|"Clay loam"|"8185384"|"15557607"
"SICL"|"No "|"No "|"Silty clay loam"|"8185385"|"15261264"
"SIC"|"No "|"No "|"Silty clay"|"8185385"|"15409436"
"CL"|"No "|"No "|"Clay loam"|"8185385"|"15705778"
"L"|"No "|"Yes"|"Loam"|"8185399"|"15557615"
"SIC"|"No "|"No "|"Silty clay"|"8185400"|"15261272"
"C"|"No "|"No "|"Clay"|"8185400"|"15409444"
"CL"|"No "|"No "|"Clay loam"|"8185400"|"15705786"
"L"|"No "|"Yes"|"Loam"|"8185437"|"15705804"
"L"|"No "|"No "|"Loam"|"8185438"|"15261290"
"CL"|"No "|"No "|"Clay loam"|"8185438"|"15409462"
"L"|"No "|"No "|"Loam"|"8185439"|"15557634"
"CL"|"No "|"No "|"Clay loam"|"8185439"|"15705805"
"L"|"No "|"Yes"|"Loam"|"8185440"|"15261291"
"CL"|"No "|"No "|"Clay loam"|"8185441"|"15409463"
"SICL"|"No "|"No "|"Silty clay loam"|"8185441"|"15557635"
"SIC"|"No "|"No "|"Silty clay"|"8185441"|"15705806"
"GR-COSL"|"No "|"No "|"Gravelly coarse sandy loam"|"8185442"|"15261292"
"GR-LCOS"|"No "|"No "|"Gravelly loamy coarse sand"|"8185442"|"15409464"
"CL"|"No "|"No "|"Clay loam"|"8185443"|"15557636"
"L"|"No "|"No "|"Loam"|"8185443"|"15705807"
"CL"|"No "|"No "|"Clay loam"|"8185453"|"15261298"
"L"|"No "|"No "|"Loam"|"8185453"|"15409470"
"SR- VFSL SICL"|"Yes"|"Yes"|"Stratified very fine sandy loam to silty clay loam"|"8185454"|"15557642"
"L"|"No "|"Yes"|"Loam"|"8185458"|"15557643"
"LFS"|"No "|"No "|"Loamy fine sand"|"8185459"|"15261300"
"FSL"|"No "|"No "|"Fine sandy loam"|"8185459"|"15705814"
"CL"|"No "|"No "|"Clay loam"|"8185460"|"15409472"
"L"|"No "|"No "|"Loam"|"8185460"|"15557644"
"SIL"|"No "|"Yes"|"Silt loam"|"8185469"|"15557648"
"SIL"|"No "|"No "|"Silt loam"|"8185470"|"15261305"
"L"|"No "|"No "|"Loam"|"8185470"|"15705819"
"SIC"|"No "|"No "|"Silty clay"|"8185471"|"15409477"
"SICL"|"No "|"No "|"Silty clay loam"|"8185471"|"15557649"
"L"|"No "|"No "|"Loam"|"8185471"|"15705820"
"L"|"No "|"Yes"|"Loam"|"8185472"|"15261306"
"SICL"|"No "|"Yes"|"Silty clay loam"|"8185473"|"15409478"
"L"|"No "|"No "|"Loam"|"8185474"|"15557650"
"CL"|"No "|"No "|"Clay loam"|"8185474"|"15705821"
"L"|"No "|"No "|"Loam"|"8185475"|"15261307"
"CL"|"No "|"No "|"Clay loam"|"8185475"|"15409479"
"WB"|"No "|"Yes"|"Weathered bedrock"|"8185509"|"15705840"
"SIL"|"No "|"Yes"|"Silt loam"|"8185510"|"15261326"
"CNX-L"|"No "|"Yes"|"Extremely channery loam"|"8185511"|"15409498"
"SIL"|"No "|"No "|"Silt loam"|"8185512"|"15261327"
"SIC"|"No "|"No "|"Silty clay"|"8185512"|"15557670"
"SICL"|"No "|"No "|"Silty clay loam"|"8185512"|"15705841"
"SICL"|"No "|"No "|"Silty clay loam"|"8185525"|"15261333"
"L"|"No "|"No "|"Loam"|"8185525"|"15557676"
"SIL"|"No "|"No "|"Silt loam"|"8185525"|"15705847"
"SG"|"No "|"Yes"|"Sand and gravel"|"8185526"|"15409505"
"L"|"No "|"Yes"|"Loam"|"8185529"|"15261334"
"SIC"|"No "|"No "|"Silty clay"|"8185530"|"15409506"
"C"|"No "|"No "|"Clay"|"8185530"|"15557678"
"SICL"|"No "|"No "|"Silty clay loam"|"8185530"|"15705849"
"SL"|"No "|"No "|"Sandy loam"|"8185531"|"15261335"
"FSL"|"No "|"No "|"Fine sandy loam"|"8185531"|"15409507"
"LFS"|"No "|"No "|"Loamy fine sand"|"8185531"|"15557679"
"SL"|"No "|"No "|"Sandy loam"|"8185538"|"15261338"
"FSL"|"No "|"No "|"Fine sandy loam"|"8185538"|"15705852"
"CL"|"No "|"No "|"Clay loam"|"8185539"|"15409510"
"L"|"No "|"No "|"Loam"|"8185539"|"15557682"
"FSL"|"No "|"No "|"Fine sandy loam"|"8185539"|"15705853"
"WB"|"No "|"Yes"|"Weathered bedrock"|"8185540"|"15261339"
"WB"|"No "|"Yes"|"Weathered bedrock"|"8185541"|"15409511"
"WB"|"No "|"Yes"|"Weathered bedrock"|"8185542"|"15557683"
"WB"|"No "|"Yes"|"Weathered bedrock"|"8185543"|"15705854"
"FSL"|"No "|"Yes"|"Fine sandy loam"|"8185544"|"15261340"
"CL"|"No "|"No "|"Clay loam"|"8185545"|"15409512"
"L"|"No "|"No "|"Loam"|"8185545"|"15557684"
"FSL"|"No "|"No "|"Fine sandy loam"|"8185545"|"15705855"
"CL"|"No "|"No "|"Clay loam"|"8185594"|"15409535"
"SIL"|"No "|"No "|"Silt loam"|"8185594"|"15557707"
"SICL"|"No "|"No "|"Silty clay loam"|"8185594"|"15705878"
"CL"|"No "|"No "|"Clay loam"|"8185595"|"15261364"
"L"|"No "|"No "|"Loam"|"8185595"|"15409536"
"L"|"No "|"Yes"|"Loam"|"8185596"|"15557708"
"SIL"|"No "|"No "|"Silt loam"|"8187497"|"15262225"
"VFSL"|"No "|"No "|"Very fine sandy loam"|"8187497"|"15410397"
"SIL"|"No "|"Yes"|"Silt loam"|"8187498"|"15558569"
"SIL"|"No "|"Yes"|"Silt loam"|"8187516"|"15410405"
"SICL"|"No "|"Yes"|"Silty clay loam"|"8187517"|"15558577"
"SICL"|"No "|"Yes"|"Silty clay loam"|"8187518"|"15706748"
"CL"|"No "|"Yes"|"Clay loam"|"8187521"|"15262235"
"SICL"|"No "|"Yes"|"Silty clay loam"|"8187522"|"15410407"
"L"|"No "|"Yes"|"Loam"|"8189338"|"15559476"
"SIL"|"No "|"No "|"Silt loam"|"8189339"|"15263133"
"CL"|"No "|"No "|"Clay loam"|"8189339"|"15411305"
"L"|"No "|"No "|"Loam"|"8189339"|"15707647"
"L"|"No "|"No "|"Loam"|"8189344"|"15559479"
"CL"|"No "|"No "|"Clay loam"|"8189344"|"15707650"
"SR- GR-S CL"|"Yes"|"Yes"|"Stratified gravelly sand to clay loam"|"8189562"|"15411416"
"SCL"|"No "|"No "|"Sandy clay loam"|"8189575"|"15263250"
"L"|"No "|"No "|"Loam"|"8189575"|"15707764"
"SL"|"No "|"Yes"|"Sandy loam"|"8189576"|"15411422"
"CL"|"No "|"No "|"Clay loam"|"8189577"|"15263251"
"SICL"|"No "|"No "|"Silty clay loam"|"8189577"|"15559594"
"L"|"No "|"No "|"Loam"|"8189577"|"15707765"
"CL"|"No "|"No "|"Clay loam"|"8189578"|"15411423"
"SICL"|"No "|"No "|"Silty clay loam"|"8189578"|"15559595"
"SIC"|"No "|"No "|"Silty clay"|"8189578"|"15707766"
"L"|"No "|"No "|"Loam"|"8189579"|"15263252"
"CL"|"No "|"No "|"Clay loam"|"8189579"|"15411424"
"CL"|"No "|"No "|"Clay loam"|"8189582"|"15559597"
"L"|"No "|"No "|"Loam"|"8189582"|"15707768"
"SIL"|"No "|"Yes"|"Silt loam"|"8189583"|"15263254"
"SICL"|"No "|"Yes"|"Silty clay loam"|"8189584"|"15411426"
"SICL"|"No "|"Yes"|"Silty clay loam"|"8189585"|"15559598"
"SIL"|"No "|"No "|"Silt loam"|"8189586"|"15263255"
"SIC"|"No "|"No "|"Silty clay"|"8189586"|"15411427"
"SICL"|"No "|"No "|"Silty clay loam"|"8189586"|"15707769"
"SICL"|"No "|"No "|"Silty clay loam"|"8189988"|"15559792"
