"SR- LS GR-L"|"Yes"|"Yes"|"Stratified loamy sand to gravelly loam"|"7933867"|"15149498"
"FSL"|"No "|"No "|"Fine sandy loam"|"7942862"|"15301772"
"SL"|"No "|"No "|"Sandy loam"|"7942862"|"15449944"
"LS"|"No "|"No "|"Loamy sand"|"7942862"|"15598115"
"WB"|"No "|"Yes"|"Weathered bedrock"|"7942863"|"15153601"
"L"|"No "|"No "|"Loam"|"7942864"|"15301773"
"CL"|"No "|"No "|"Clay loam"|"7942864"|"15449945"
"SIL"|"No "|"Yes"|"Silt loam"|"7942865"|"15598116"
"SIL"|"No "|"No "|"Silt loam"|"7942866"|"15153602"
"SICL"|"No "|"No "|"Silty clay loam"|"7942866"|"15301774"
"L"|"No "|"No "|"Loam"|"7942866"|"15449946"
"SIL"|"No "|"No "|"Silt loam"|"7942867"|"15153603"
"SICL"|"No "|"No "|"Silty clay loam"|"7942867"|"15301775"
"L"|"No "|"No "|"Loam"|"7942867"|"15598117"
"C"|"No "|"Yes"|"Clay"|"7942868"|"15449947"
"C"|"No "|"Yes"|"Clay"|"7942869"|"15598118"
"SIC"|"No "|"Yes"|"Silty clay"|"7942870"|"15153604"
"C"|"No "|"No "|"Clay"|"7942871"|"15301776"
"SIC"|"No "|"No "|"Silty clay"|"7942871"|"15449948"
"SIL"|"No "|"Yes"|"Silt loam"|"7942872"|"15598119"
"SICL"|"No "|"No "|"Silty clay loam"|"7942873"|"15153605"
"CL"|"No "|"No "|"Clay loam"|"7942873"|"15301777"
"SIC"|"No "|"No "|"Silty clay"|"7942873"|"15449949"
"CL"|"No "|"No "|"Clay loam"|"7942874"|"15153606"
"FSL"|"No "|"No "|"Fine sandy loam"|"7942874"|"15301778"
"L"|"No "|"No "|"Loam"|"7942874"|"15598120"
"FSL"|"No "|"Yes"|"Fine sandy loam"|"7942875"|"15449950"
"L"|"No "|"No "|"Loam"|"7942876"|"15153607"
"GR-SL"|"No "|"No "|"Gravelly sandy loam"|"7942876"|"15301779"
"CL"|"No "|"No "|"Clay loam"|"7942876"|"15598121"
"SIL"|"No "|"Yes"|"Silt loam"|"7942877"|"15449951"
"CL"|"No "|"No "|"Clay loam"|"7942878"|"15153608"
