site,policy,mukey,cokey,compname,comppct_r,thickness_cm,status,reason_codes,horizon_count,interval_sum_cm,interval_union_cm,deepest_bottom_cm
moscow_mountain,all_layers,1689266,26387408,Micapeak,55.0,152.0,valid,,5,152.0,152.0,152.0
moscow_mountain,all_layers,1689266,26387409,Carrico,20.0,152.0,valid,,7,152.0,152.0,152.0
moscow_mountain,all_layers,1689267,26387410,Bouldercreek,60.0,152.0,valid,,7,152.0,152.0,152.0
moscow_mountain,all_layers,1689267,26387411,Weitas,20.0,152.0,valid,,5,152.0,152.0,152.0
moscow_mountain,all_layers,1689270,26387412,Keeler,20.0,152.0,valid,,5,152.0,152.0,152.0
moscow_mountain,all_layers,1689270,26387413,Cobbler,30.0,173.0,valid,,8,173.0,173.0,173.0
moscow_mountain,all_layers,1689270,26387414,Carrico,35.0,152.0,valid,,7,152.0,152.0,152.0
moscow_mountain,all_layers,1689271,26387415,Kruse,60.0,152.0,valid,,7,152.0,152.0,152.0
moscow_mountain,all_layers,1689271,26387416,Brodeer,30.0,150.0,valid,,5,150.0,150.0,150.0
moscow_mountain,all_layers,1689275,26387417,Micapeak,35.0,152.0,valid,,5,152.0,152.0,152.0
moscow_mountain,all_layers,1689275,26387418,Quinnamose,20.0,152.0,valid,,7,152.0,152.0,152.0
moscow_mountain,all_layers,1689275,26387419,Cobbler,40.0,173.0,valid,,8,173.0,173.0,173.0
moscow_mountain,all_layers,1689277,26387420,Taney,70.0,152.0,valid,,4,152.0,152.0,152.0
moscow_mountain,all_layers,1689277,26387421,Joel,20.0,152.0,valid,,4,152.0,152.0,152.0
moscow_mountain,all_layers,1689280,26387422,Aldermand,50.0,152.0,valid,,6,152.0,152.0,152.0
moscow_mountain,all_layers,1689280,26387423,Keeler,25.0,152.0,valid,,5,152.0,152.0,152.0
moscow_mountain,all_layers,2375734,26387427,Sinkler,50.0,152.0,valid,,6,152.0,152.0,152.0
moscow_mountain,all_layers,2375734,26387428,Santa,30.0,152.0,valid,,5,152.0,152.0,152.0
moscow_mountain,all_layers,2437917,26387434,Crumarine,85.0,152.0,valid,,4,152.0,152.0,152.0
