site,outlet,policy,support_mode,outside_area_range,duration_min,scenario,F,T,reference_S,ssurgo_S,rainfall_mm,reference_probability,ssurgo_probability,delta_probability_pp,reference_threshold_mm,ssurgo_threshold_mm,delta_threshold_mm,delta_threshold_mm_hour,delta_threshold_pct
moscow_mountain,nested_1000000,all_layers,known_support,False,60,inverse_p0.75,0.5,0.3725063995596942,0.5839999942328986,0.6038293350193747,,0.75,,,21.993499332655098,21.621174720700026,-0.37232461195507227,-0.37232461195507227,-1.6928848216629988
moscow_mountain,nested_1000000,all_layers,known_support,False,60,fixed_5,0.5,0.3725063995596942,0.5839999942328986,0.6038293350193747,5.0,0.08138728732788995,0.08273155227981903,0.1344264951929075,,,,,
moscow_mountain,nested_1000000,all_layers,known_support,False,60,fixed_10,0.5,0.3725063995596942,0.5839999942328986,0.6038293350193747,10.0,0.19984057730132326,0.20560920234437854,0.5768625043055281,,,,,
moscow_mountain,nested_1000000,all_layers,known_support,False,60,fixed_20,0.5,0.3725063995596942,0.5839999942328986,0.6038293350193747,20.0,0.6649468413807698,0.6806593424925675,1.5712501111797783,,,,,
moscow_mountain,nested_1000000,all_layers,known_support,False,60,reference_p0.5,0.5,0.3725063995596942,0.5839999942328986,0.6038293350193747,16.693130029976743,0.5,0.5148912142412824,1.489121424128237,,,,,
moscow_mountain,nested_1000000,all_layers,known_support,False,60,reference_p0.75,0.5,0.3725063995596942,0.5839999942328986,0.6038293350193747,21.993499332655098,0.75,0.7644283660897367,1.4428366089736744,,,,,
topanga,terminal,strict_soil,common_support,False,15,inverse_p0.5,0.5,0.1522430179004554,0.24842948464820055,0.3779527559055118,,0.5,,,11.226108165353516,9.479870403488608,-1.7462377618649079,-6.9849510474596315,-15.555148196898905
topanga,terminal,strict_soil,common_support,False,15,inverse_p0.75,0.5,0.1522430179004554,0.24842948464820055,0.3779527559055118,,0.75,,,14.550404764915452,12.287067740484215,-2.2633370244312374,-9.05334809772495,-15.555148196898894
topanga,terminal,strict_soil,common_support,False,15,fixed_5,0.5,0.1522430179004554,0.24842948464820055,0.3779527559055118,5.0,0.11328650407665646,0.14764124580094093,3.435474172428447,,,,,
topanga,terminal,strict_soil,common_support,False,15,fixed_10,0.5,0.1522430179004554,0.24842948464820055,0.3779527559055118,10.0,0.40006272401557225,0.5507139128833386,15.065118886776634,,,,,
topanga,terminal,strict_soil,common_support,False,15,fixed_20,0.5,0.1522430179004554,0.24842948464820055,0.3779527559055118,20.0,0.9478262875946988,0.9839696494863922,3.6143361891693426,,,,,
topanga,terminal,strict_soil,common_support,False,15,reference_p0.5,0.5,0.1522430179004554,0.24842948464820055,0.3779527559055118,11.226108165353516,0.5,0.6644970877761497,16.44970877761497,,,,,
