"SR- LS SCL"|"Yes"|"Yes"|"Stratified loamy sand to sandy clay loam"|"7928968"|"15147400"
"SCL"|"No "|"No "|"Sandy clay loam"|"7992551"|"15175723"
"SC"|"No "|"No "|"Sandy clay"|"7992551"|"15620237"
"SCL"|"No "|"No "|"Sandy clay loam"|"7992552"|"15323895"
"SC"|"No "|"No "|"Sandy clay"|"7992552"|"15472067"
"VAR"|"No "|"Yes"|"Variable"|"7992553"|"15620238"
"SL"|"No "|"Yes"|"Sandy loam"|"7992554"|"15175724"
"SCL"|"No "|"No "|"Sandy clay loam"|"7992555"|"15323896"
"CL"|"No "|"No "|"Clay loam"|"7992555"|"15472068"
"SC"|"No "|"No "|"Sandy clay"|"7992555"|"15620239"
"CL"|"No "|"No "|"Clay loam"|"7992556"|"15175725"
"C"|"No "|"No "|"Clay"|"7992556"|"15323897"
"SC"|"No "|"No "|"Sandy clay"|"7992556"|"15472069"
"SCL"|"No "|"No "|"Sandy clay loam"|"7992557"|"15175726"
"C"|"No "|"No "|"Clay"|"7992557"|"15323898"
"SC"|"No "|"No "|"Sandy clay"|"7992557"|"15620240"
"C"|"No "|"No "|"Clay"|"7992558"|"15175727"
"SC"|"No "|"No "|"Sandy clay"|"7992558"|"15472070"
"SCL"|"No "|"No "|"Sandy clay loam"|"7992558"|"15620241"
"CL"|"No "|"No "|"Clay loam"|"7992559"|"15323899"
"SCL"|"No "|"No "|"Sandy clay loam"|"7992559"|"15472071"
"L"|"No "|"No "|"Loam"|"7992559"|"15620242"
"SCL"|"No "|"No "|"Sandy clay loam"|"7992560"|"15175728"
"SL"|"No "|"No "|"Sandy loam"|"7992560"|"15323900"
"CL"|"No "|"No "|"Clay loam"|"7992561"|"15175729"
"SC"|"No "|"No "|"Sandy clay"|"7992561"|"15472072"
"C"|"No "|"No "|"Clay"|"7992561"|"15620243"
"SCL"|"No "|"No "|"Sandy clay loam"|"7992562"|"15323901"
"SL"|"No "|"No "|"Sandy loam"|"7992562"|"15472073"
"FSL"|"No "|"No "|"Fine sandy loam"|"7992562"|"15620244"
"SCL"|"No "|"No "|"Sandy clay loam"|"7992563"|"15175730"
"SC"|"No "|"No "|"Sandy clay"|"7992563"|"15323902"
"SL"|"No "|"No "|"Sandy loam"|"7992563"|"15472074"
"LS"|"No "|"Yes"|"Loamy sand"|"7992564"|"15620245"
"SCL"|"No "|"No "|"Sandy clay loam"|"7992565"|"15175731"
"SC"|"No "|"No "|"Sandy clay"|"7992565"|"15323903"
"SL"|"No "|"Yes"|"Sandy loam"|"7992566"|"15472075"
"SCL"|"No "|"Yes"|"Sandy clay loam"|"7992567"|"15620246"
"SCL"|"No "|"No "|"Sandy clay loam"|"7992568"|"15175732"
"SC"|"No "|"No "|"Sandy clay"|"7992568"|"15323904"
"MPT"|"No "|"Yes"|"Mucky peat"|"7992569"|"15472076"
"FSL"|"No "|"Yes"|"Fine sandy loam"|"7992570"|"15620247"
"FSL"|"No "|"No "|"Fine sandy loam"|"7992571"|"15175733"
"SL"|"No "|"No "|"Sandy loam"|"7992571"|"15323905"
"SCL"|"No "|"No "|"Sandy clay loam"|"7992571"|"15472077"
"SL"|"No "|"No "|"Sandy loam"|"7992572"|"15175734"
"FSL"|"No "|"No "|"Fine sandy loam"|"7992572"|"15323906"
"SCL"|"No "|"No "|"Sandy clay loam"|"7992572"|"15620248"
"LS"|"No "|"Yes"|"Loamy sand"|"7992573"|"15472078"
"SL"|"No "|"No "|"Sandy loam"|"7992574"|"15175735"
"SC"|"No "|"No "|"Sandy clay"|"7992574"|"15323907"
"SCL"|"No "|"No "|"Sandy clay loam"|"7992574"|"15620249"
"SCL"|"No "|"No "|"Sandy clay loam"|"7992575"|"15472079"
"SC"|"No "|"No "|"Sandy clay"|"7992575"|"15620250"
"SCL"|"No "|"No "|"Sandy clay loam"|"7992576"|"15175736"
"CL"|"No "|"No "|"Clay loam"|"7992576"|"15323908"
"SC"|"No "|"No "|"Sandy clay"|"7992576"|"15472080"
"SL"|"No "|"No "|"Sandy loam"|"7992577"|"15175737"
"SC"|"No "|"No "|"Sandy clay"|"7992577"|"15323909"
"SCL"|"No "|"No "|"Sandy clay loam"|"7992577"|"15620251"
"L"|"No "|"No "|"Loam"|"7992578"|"15175738"
"CL"|"No "|"No "|"Clay loam"|"7992578"|"15472081"
"SCL"|"No "|"No "|"Sandy clay loam"|"7992578"|"15620252"
"SCL"|"No "|"No "|"Sandy clay loam"|"7992579"|"15323910"
"SL"|"No "|"No "|"Sandy loam"|"7992579"|"15472082"
"SC"|"No "|"No "|"Sandy clay"|"7992579"|"15620253"
"VAR"|"No "|"Yes"|"Variable"|"7992580"|"15175739"
"SCL"|"No "|"No "|"Sandy clay loam"|"7992581"|"15323911"
"CL"|"No "|"No "|"Clay loam"|"7992581"|"15472083"
"SC"|"No "|"No "|"Sandy clay"|"7992581"|"15620254"
"SCL"|"No "|"No "|"Sandy clay loam"|"7992582"|"15175740"
"SC"|"No "|"No "|"Sandy clay"|"7992582"|"15323912"
"SCL"|"No "|"No "|"Sandy clay loam"|"7992583"|"15472084"
"SL"|"No "|"No "|"Sandy loam"|"7992583"|"15620255"
"LS"|"No "|"Yes"|"Loamy sand"|"7992584"|"15175741"
"SL"|"No "|"Yes"|"Sandy loam"|"7992585"|"15323913"
"SL"|"No "|"Yes"|"Sandy loam"|"7992586"|"15472085"
"FSL"|"No "|"Yes"|"Fine sandy loam"|"7992587"|"15620256"
"GR-SC"|"No "|"No "|"Gravelly sandy clay"|"7992588"|"15175742"
"GR-C"|"No "|"No "|"Gravelly clay"|"7992588"|"15323914"
"SC"|"No "|"No "|"Sandy clay"|"7992589"|"15175743"
"SCL"|"No "|"No "|"Sandy clay loam"|"7992589"|"15472086"
"CL"|"No "|"No "|"Clay loam"|"7992589"|"15620257"
"SC"|"No "|"No "|"Sandy clay"|"7992590"|"15323915"
"C"|"No "|"No "|"Clay"|"7992590"|"15472087"
"S"|"No "|"Yes"|"Sand"|"7992591"|"15620258"
"SL"|"No "|"No "|"Sandy loam"|"7992592"|"15175744"
"LS"|"No "|"No "|"Loamy sand"|"7992592"|"15323916"
"LCOS"|"No "|"No "|"Loamy coarse sand"|"7992592"|"15472088"
"LS"|"No "|"Yes"|"Loamy sand"|"7992593"|"15620259"
"SL"|"No "|"Yes"|"Sandy loam"|"7992594"|"15175745"
"SR- S LS"|"Yes"|"Yes"|"Stratified sand to loamy sand"|"7992595"|"15323917"
"VAR"|"No "|"Yes"|"Variable"|"7992596"|"15472089"
"S"|"No "|"Yes"|"Sand"|"7992597"|"15620260"
"CL"|"No "|"No "|"Clay loam"|"7992598"|"15175746"
"SCL"|"No "|"No "|"Sandy clay loam"|"7992598"|"15323918"
"L"|"No "|"No "|"Loam"|"7992598"|"15472090"
"SCL"|"No "|"Yes"|"Sandy clay loam"|"7992599"|"15620261"
"LS"|"No "|"Yes"|"Loamy sand"|"7992600"|"15175747"
"C"|"No "|"No "|"Clay"|"7992601"|"15323919"
"SC"|"No "|"No "|"Sandy clay"|"7992601"|"15472091"
"C"|"No "|"No "|"Clay"|"7992602"|"15175748"
"CL"|"No "|"No "|"Clay loam"|"7992602"|"15323920"
"SC"|"No "|"No "|"Sandy clay"|"7992602"|"15620262"
"FS"|"No "|"Yes"|"Fine sand"|"7992603"|"15472092"
"SL"|"No "|"No "|"Sandy loam"|"7992604"|"15175749"
"FSL"|"No "|"No "|"Fine sandy loam"|"7992604"|"15323921"
"SCL"|"No "|"No "|"Sandy clay loam"|"7992604"|"15620263"
"CL"|"No "|"No "|"Clay loam"|"7992605"|"15175750"
"C"|"No "|"No "|"Clay"|"7992605"|"15472093"
"SC"|"No "|"No "|"Sandy clay"|"7992605"|"15620264"
"VAR"|"No "|"Yes"|"Variable"|"7992606"|"15323922"
"CL"|"No "|"No "|"Clay loam"|"7992607"|"15175751"
"SCL"|"No "|"No "|"Sandy clay loam"|"7992607"|"15472094"
"SL"|"No "|"No "|"Sandy loam"|"7992607"|"15620265"
"FS"|"No "|"Yes"|"Fine sand"|"7992608"|"15323923"
"FS"|"No "|"Yes"|"Fine sand"|"7992609"|"15472095"
"FS"|"No "|"No "|"Fine sand"|"7992610"|"15175752"
"S"|"No "|"No "|"Sand"|"7992610"|"15620266"
"FS"|"No "|"Yes"|"Fine sand"|"7992611"|"15323924"
"LS"|"No "|"Yes"|"Loamy sand"|"7992612"|"15472096"
"FS"|"No "|"Yes"|"Fine sand"|"7992613"|"15620267"
"FSL"|"No "|"Yes"|"Fine sandy loam"|"7992614"|"15175753"
"FSL"|"No "|"Yes"|"Fine sandy loam"|"7992615"|"15323925"
"LFS"|"No "|"No "|"Loamy fine sand"|"7992616"|"15175754"
"S"|"No "|"No "|"Sand"|"7992616"|"15472097"
"LS"|"No "|"No "|"Loamy sand"|"7992616"|"15620268"
"SL"|"No "|"No "|"Sandy loam"|"7992617"|"15323926"
"SCL"|"No "|"No "|"Sandy clay loam"|"7992617"|"15472098"
"CL"|"No "|"No "|"Clay loam"|"7992617"|"15620269"
"SL"|"No "|"No "|"Sandy loam"|"7992618"|"15175755"
"FSL"|"No "|"No "|"Fine sandy loam"|"7992618"|"15323927"
"MK-SL"|"No "|"No "|"Mucky sandy loam"|"7992618"|"15472099"
"S"|"No "|"No "|"Sand"|"7992619"|"15175756"
"FS"|"No "|"No "|"Fine sand"|"7992619"|"15323928"
"LS"|"No "|"No "|"Loamy sand"|"7992619"|"15620270"
"MPT"|"No "|"Yes"|"Mucky peat"|"7992620"|"15472100"
"SL"|"No "|"No "|"Sandy loam"|"7992621"|"15175757"
"FSL"|"No "|"No "|"Fine sandy loam"|"7992621"|"15323929"
"SCL"|"No "|"No "|"Sandy clay loam"|"7992621"|"15620271"
"VAR"|"No "|"Yes"|"Variable"|"7992622"|"15472101"
"FSL"|"No "|"Yes"|"Fine sandy loam"|"7992623"|"15620272"
"SL"|"No "|"No "|"Sandy loam"|"7992624"|"15175758"
"GR-SL"|"No "|"No "|"Gravelly sandy loam"|"7992624"|"15323930"
"FSL"|"No "|"No "|"Fine sandy loam"|"7992624"|"15472102"
"LS"|"No "|"Yes"|"Loamy sand"|"7992625"|"15620273"
"S"|"No "|"Yes"|"Sand"|"7992626"|"15175759"
"LS"|"No "|"No "|"Loamy sand"|"7992627"|"15323931"
"SL"|"No "|"No "|"Sandy loam"|"7992627"|"15472103"
"SIC"|"No "|"No "|"Silty clay"|"7992628"|"15175760"
"SICL"|"No "|"No "|"Silty clay loam"|"7992628"|"15323932"
"C"|"No "|"No "|"Clay"|"7992628"|"15620274"
"L"|"No "|"No "|"Loam"|"7992629"|"15175761"
"SL"|"No "|"No "|"Sandy loam"|"7992629"|"15472104"
"FSL"|"No "|"No "|"Fine sandy loam"|"7992629"|"15620275"
"VAR"|"No "|"Yes"|"Variable"|"7992630"|"15323933"
"SCL"|"No "|"Yes"|"Sandy clay loam"|"7992631"|"15472105"
"WB"|"No "|"Yes"|"Weathered bedrock"|"7992632"|"15620276"
"SIL"|"No "|"No "|"Silt loam"|"7992633"|"15175762"
"CL"|"No "|"No "|"Clay loam"|"7992633"|"15323934"
"SICL"|"No "|"No "|"Silty clay loam"|"7992633"|"15472106"
"SL"|"No "|"No "|"Sandy loam"|"7992634"|"15175763"
"FSL"|"No "|"No "|"Fine sandy loam"|"7992634"|"15323935"
"SCL"|"No "|"No "|"Sandy clay loam"|"7992634"|"15620277"
"FS"|"No "|"Yes"|"Fine sand"|"7992635"|"15472107"
"MUCK"|"No "|"Yes"|"Muck"|"7992636"|"15620278"
"FS"|"No "|"Yes"|"Fine sand"|"7992637"|"15175764"
"GR-SL"|"No "|"No "|"Gravelly sandy loam"|"7992638"|"15323936"
"GR-FSL"|"No "|"No "|"Gravelly fine sandy loam"|"7992638"|"15472108"
"CB-FSL"|"No "|"No "|"Cobbly fine sandy loam"|"7992638"|"15620279"
"LS"|"No "|"No "|"Loamy sand"|"7992639"|"15175765"
"SL"|"No "|"No "|"Sandy loam"|"7992639"|"15323937"
"L"|"No "|"No "|"Loam"|"7992639"|"15472109"
"SL"|"No "|"No "|"Sandy loam"|"7992640"|"15175766"
"L"|"No "|"No "|"Loam"|"7992640"|"15323938"
"LS"|"No "|"No "|"Loamy sand"|"7992640"|"15620280"
"WB"|"No "|"Yes"|"Weathered bedrock"|"7992641"|"15472110"
"UWB"|"No "|"Yes"|"Unweathered bedrock"|"7992642"|"15620281"
"UWB"|"No "|"Yes"|"Unweathered bedrock"|"7992643"|"15175767"
"L"|"No "|"No "|"Loam"|"7992644"|"15323939"
"SCL"|"No "|"No "|"Sandy clay loam"|"7992644"|"15472111"
"CL"|"No "|"No "|"Clay loam"|"7992644"|"15620282"
"GRV-CL"|"No "|"Yes"|"Very gravelly clay loam"|"7992645"|"15175768"
"L"|"No "|"No "|"Loam"|"7992646"|"15323940"
"SCL"|"No "|"No "|"Sandy clay loam"|"7992646"|"15472112"
"CL"|"No "|"No "|"Clay loam"|"7992646"|"15620283"
"C"|"No "|"No "|"Clay"|"7992647"|"15175769"
"CL"|"No "|"No "|"Clay loam"|"7992647"|"15323941"
"SL"|"No "|"No "|"Sandy loam"|"7992648"|"15175770"
"CL"|"No "|"No "|"Clay loam"|"7992648"|"15472113"
"SCL"|"No "|"No "|"Sandy clay loam"|"7992648"|"15620284"
"SCL"|"No "|"No "|"Sandy clay loam"|"7992649"|"15323942"
"SL"|"No "|"No "|"Sandy loam"|"7992649"|"15472114"
"SL"|"No "|"No "|"Sandy loam"|"7992650"|"15175771"
"SCL"|"No "|"No "|"Sandy clay loam"|"7992650"|"15620285"
"SCL"|"No "|"No "|"Sandy clay loam"|"7992651"|"15323943"
"SL"|"No "|"No "|"Sandy loam"|"7992651"|"15472115"
"SCL"|"No "|"No "|"Sandy clay loam"|"7992652"|"15175772"
"SL"|"No "|"No "|"Sandy loam"|"7992652"|"15620286"
"FSL"|"No "|"No "|"Fine sandy loam"|"7992653"|"15323944"
"SL"|"No "|"No "|"Sandy loam"|"7992653"|"15472116"
"SCL"|"No "|"No "|"Sandy clay loam"|"7992653"|"15620287"
"S"|"No "|"No "|"Sand"|"7992654"|"15175773"
"FS"|"No "|"No "|"Fine sand"|"7992654"|"15323945"
"VAR"|"No "|"Yes"|"Variable"|"7992655"|"15472117"
"SL"|"No "|"No "|"Sandy loam"|"7992656"|"15175774"
"SCL"|"No "|"No "|"Sandy clay loam"|"7992656"|"15323946"
"COSL"|"No "|"No "|"Coarse sandy loam"|"7992656"|"15620288"
"SL"|"No "|"No "|"Sandy loam"|"7992657"|"15175775"
"SCL"|"No "|"No "|"Sandy clay loam"|"7992657"|"15472118"
"SC"|"No "|"No "|"Sandy clay"|"7992657"|"15620289"
"VAR"|"No "|"Yes"|"Variable"|"7992658"|"15323947"
"GRV-C"|"No "|"No "|"Very gravelly clay"|"7997676"|"15177948"
"GR-SC"|"No "|"No "|"Gravelly sandy clay"|"7997676"|"15474291"
"GR-CL"|"No "|"No "|"Gravelly clay loam"|"7997676"|"15622462"
"C"|"No "|"No "|"Clay"|"7997677"|"15326120"
"CL"|"No "|"No "|"Clay loam"|"7997677"|"15474292"
"L"|"No "|"Yes"|"Loam"|"7997800"|"15178007"
"L"|"No "|"No "|"Loam"|"7997801"|"15326179"
"SL"|"No "|"No "|"Sandy loam"|"7997801"|"15474351"
"GR-L"|"No "|"No "|"Gravelly loam"|"7997801"|"15622522"
"SL"|"No "|"No "|"Sandy loam"|"7997805"|"15326181"
"L"|"No "|"No "|"Loam"|"7997805"|"15474353"
"LS"|"No "|"No "|"Loamy sand"|"7997805"|"15622524"
"FSL"|"No "|"Yes"|"Fine sandy loam"|"7997806"|"15178010"
"SCL"|"No "|"No "|"Sandy clay loam"|"7997807"|"15326182"
"CL"|"No "|"No "|"Clay loam"|"7997807"|"15474354"
"CL"|"No "|"No "|"Clay loam"|"7997808"|"15178011"
"SICL"|"No "|"No "|"Silty clay loam"|"7997808"|"15326183"
"SCL"|"No "|"No "|"Sandy clay loam"|"7997808"|"15622525"
"SR- S SI"|"Yes"|"Yes"|"Stratified sand to silt"|"7997809"|"15474355"
"SIL"|"No "|"Yes"|"Silt loam"|"7997810"|"15622526"
"CN-FSL"|"No "|"Yes"|"Channery fine sandy loam"|"7997819"|"15326189"
"CN-L"|"No "|"Yes"|"Channery loam"|"7997820"|"15474361"
"CN-L"|"No "|"Yes"|"Channery loam"|"7997821"|"15622532"
"CL"|"No "|"No "|"Clay loam"|"8005056"|"15181327"
"SCL"|"No "|"No "|"Sandy clay loam"|"8005056"|"15329499"
"SL"|"No "|"No "|"Sandy loam"|"8005056"|"15477671"
"CL"|"No "|"No "|"Clay loam"|"8005057"|"15181328"
"C"|"No "|"No "|"Clay"|"8005057"|"15625842"
"C"|"No "|"Yes"|"Clay"|"8005058"|"15329500"
"VAR"|"No "|"Yes"|"Variable"|"8005140"|"15329537"
"WB"|"No "|"Yes"|"Weathered bedrock"|"8007824"|"15627050"
"C"|"No "|"No "|"Clay"|"8007825"|"15182536"
"SICL"|"No "|"No "|"Silty clay loam"|"8007825"|"15330708"
"CL"|"No "|"No "|"Clay loam"|"8007825"|"15478880"
"SR- GR-SL SICL"|"Yes"|"Yes"|"Stratified gravelly sandy loam to silty clay loam"|"8007826"|"15627051"
"C"|"No "|"No "|"Clay"|"8007827"|"15182537"
"SIC"|"No "|"No "|"Silty clay"|"8007827"|"15330709"
"SR- GR-SL SICL"|"Yes"|"Yes"|"Stratified gravelly sandy loam to silty clay loam"|"8007828"|"15478881"
"ST-SIL"|"No "|"No "|"Stony silt loam"|"8007891"|"15182566"
"GR-SIL"|"No "|"No "|"Gravelly silt loam"|"8007891"|"15478909"
"GR-SICL"|"No "|"No "|"Gravelly silty clay loam"|"8007891"|"15627080"
"SIL"|"No "|"Yes"|"Silt loam"|"8007892"|"15330738"
"L"|"No "|"No "|"Loam"|"8007893"|"15182567"
"CL"|"No "|"No "|"Clay loam"|"8007893"|"15478910"
"SIL"|"No "|"No "|"Silt loam"|"8007893"|"15627081"
"GR-SICL"|"No "|"No "|"Gravelly silty clay loam"|"8007894"|"15330739"
"GR-CL"|"No "|"No "|"Gravelly clay loam"|"8007894"|"15478911"
"GRV-SIL"|"No "|"No "|"Very gravelly silt loam"|"8007894"|"15627082"
"WB"|"No "|"Yes"|"Weathered bedrock"|"8007915"|"15627091"
"SIL"|"No "|"Yes"|"Silt loam"|"8007916"|"15182577"
"SIL"|"No "|"No "|"Silt loam"|"8007917"|"15330749"
"SICL"|"No "|"No "|"Silty clay loam"|"8007917"|"15478921"
"L"|"No "|"No "|"Loam"|"8007917"|"15627092"
"SIL"|"No "|"No "|"Silt loam"|"8007918"|"15182578"
"SICL"|"No "|"No "|"Silty clay loam"|"8007918"|"15330750"
"CL"|"No "|"No "|"Clay loam"|"8007918"|"15478922"
"FSL"|"No "|"Yes"|"Fine sandy loam"|"8012284"|"15480820"
"LS"|"No "|"Yes"|"Loamy sand"|"8012285"|"15628991"
"SL"|"No "|"Yes"|"Sandy loam"|"8012286"|"15184477"
"C"|"No "|"No "|"Clay"|"8012317"|"15184496"
"SC"|"No "|"No "|"Sandy clay"|"8012317"|"15480839"
"CL"|"No "|"No "|"Clay loam"|"8012317"|"15629010"
"SCL"|"No "|"No "|"Sandy clay loam"|"8012318"|"15332668"
"CL"|"No "|"No "|"Clay loam"|"8012318"|"15480840"
"L"|"No "|"No "|"Loam"|"8012319"|"15184497"
"SL"|"No "|"No "|"Sandy loam"|"8012319"|"15629011"
"WB"|"No "|"Yes"|"Weathered bedrock"|"8012320"|"15332669"
"SL"|"No "|"Yes"|"Sandy loam"|"8012404"|"15629051"
"SL"|"No "|"No "|"Sandy loam"|"8012405"|"15184537"
"SCL"|"No "|"No "|"Sandy clay loam"|"8012405"|"15332709"
"FSL"|"No "|"No "|"Fine sandy loam"|"8012405"|"15480881"
"SL"|"No "|"No "|"Sandy loam"|"8012406"|"15184538"
"S"|"No "|"No "|"Sand"|"8012406"|"15332710"
"LFS"|"No "|"No "|"Loamy fine sand"|"8012406"|"15629052"
"SL"|"No "|"Yes"|"Sandy loam"|"8012425"|"15184549"
"SR- LS C"|"Yes"|"Yes"|"Stratified loamy sand to clay"|"8012426"|"15332721"
"SCL"|"No "|"No "|"Sandy clay loam"|"8012427"|"15480893"
"SL"|"No "|"No "|"Sandy loam"|"8012427"|"15629064"
"SR- LS SCL"|"Yes"|"Yes"|"Stratified loamy sand to sandy clay loam"|"8012428"|"15184550"
"C"|"No "|"No "|"Clay"|"8012432"|"15184552"
"CL"|"No "|"No "|"Clay loam"|"8012432"|"15480895"
"SC"|"No "|"No "|"Sandy clay"|"8012432"|"15629066"
"SCL"|"No "|"No "|"Sandy clay loam"|"8012433"|"15332724"
"SL"|"No "|"No "|"Sandy loam"|"8012433"|"15480896"
"FSL"|"No "|"No "|"Fine sandy loam"|"8012433"|"15629067"
"FSL"|"No "|"No "|"Fine sandy loam"|"8012441"|"15184557"
"SL"|"No "|"No "|"Sandy loam"|"8012441"|"15332729"
"SIL"|"No "|"No "|"Silt loam"|"8012441"|"15480901"
"VAR"|"No "|"Yes"|"Variable"|"8012442"|"15629072"
"ST-CL"|"No "|"No "|"Stony clay loam"|"8012562"|"15184615"
"ST-SCL"|"No "|"No "|"Stony sandy clay loam"|"8012562"|"15332787"
"CB-CL"|"No "|"No "|"Cobbly clay loam"|"8012562"|"15480959"
"L"|"No "|"No "|"Loam"|"8012563"|"15184616"
"SCL"|"No "|"No "|"Sandy clay loam"|"8012563"|"15332788"
"FSL"|"No "|"No "|"Fine sandy loam"|"8012563"|"15629130"
"C"|"No "|"No "|"Clay"|"8012564"|"15184617"
"SICL"|"No "|"No "|"Silty clay loam"|"8012564"|"15480960"
"SIC"|"No "|"No "|"Silty clay"|"8012564"|"15629131"
"SCL"|"No "|"No "|"Sandy clay loam"|"8012565"|"15332789"
"L"|"No "|"No "|"Loam"|"8012565"|"15480961"
"SL"|"No "|"No "|"Sandy loam"|"8012565"|"15629132"
"SL"|"No "|"No "|"Sandy loam"|"8012566"|"15184618"
"GR-SL"|"No "|"No "|"Gravelly sandy loam"|"8012566"|"15332790"
"L"|"No "|"No "|"Loam"|"8012566"|"15480962"
"SIC"|"No "|"No "|"Silty clay"|"8012567"|"15184619"
"C"|"No "|"No "|"Clay"|"8012567"|"15332791"
"SICL"|"No "|"No "|"Silty clay loam"|"8012567"|"15629133"
"GR-SICL"|"No "|"No "|"Gravelly silty clay loam"|"8012605"|"15332811"
"GR-SIC"|"No "|"No "|"Gravelly silty clay"|"8012605"|"15480983"
"GR-C"|"No "|"No "|"Gravelly clay"|"8012605"|"15629154"
"GR-SIL"|"No "|"Yes"|"Gravelly silt loam"|"8012608"|"15480984"
"GR-SIL"|"No "|"No "|"Gravelly silt loam"|"8012609"|"15184641"
"GR-L"|"No "|"No "|"Gravelly loam"|"8012609"|"15332813"
"GR-SICL"|"No "|"No "|"Gravelly silty clay loam"|"8012609"|"15629155"
"WB"|"No "|"Yes"|"Weathered bedrock"|"8012610"|"15480985"
"SIC"|"No "|"No "|"Silty clay"|"8012630"|"15184652"
"C"|"No "|"No "|"Clay"|"8012630"|"15332824"
"SICL"|"No "|"No "|"Silty clay loam"|"8012630"|"15629166"
"GR-SICL"|"No "|"No "|"Gravelly silty clay loam"|"8012631"|"15184653"
"GR-L"|"No "|"No "|"Gravelly loam"|"8012631"|"15480996"
"GR-CL"|"No "|"No "|"Gravelly clay loam"|"8012631"|"15629167"
"L"|"No "|"No "|"Loam"|"8012632"|"15332825"
"SIL"|"No "|"No "|"Silt loam"|"8012632"|"15480997"
"SICL"|"No "|"No "|"Silty clay loam"|"8012632"|"15629168"
"FSL"|"No "|"No "|"Fine sandy loam"|"8012633"|"15184654"
"L"|"No "|"No "|"Loam"|"8012633"|"15332826"
"SCL"|"No "|"No "|"Sandy clay loam"|"8012633"|"15480998"
"C"|"No "|"No "|"Clay"|"8012690"|"15184685"
"SC"|"No "|"No "|"Sandy clay"|"8012690"|"15332857"
"CL"|"No "|"No "|"Clay loam"|"8012690"|"15481029"
"ST-SL"|"No "|"Yes"|"Stony sandy loam"|"8012691"|"15629200"
"SCL"|"No "|"No "|"Sandy clay loam"|"8012712"|"15332867"
"CL"|"No "|"No "|"Clay loam"|"8012712"|"15481039"
"SCL"|"No "|"No "|"Sandy clay loam"|"8012713"|"15184696"
"L"|"No "|"No "|"Loam"|"8012713"|"15629210"
"SC"|"No "|"No "|"Sandy clay"|"8012714"|"15332868"
"CL"|"No "|"No "|"Clay loam"|"8012714"|"15481040"
"C"|"No "|"No "|"Clay"|"8012714"|"15629211"
"C"|"No "|"No "|"Clay"|"8012715"|"15184697"
"SC"|"No "|"No "|"Sandy clay"|"8012715"|"15332869"
"CL"|"No "|"No "|"Clay loam"|"8012715"|"15481041"
"LFS"|"No "|"No "|"Loamy fine sand"|"8013127"|"15184888"
"LS"|"No "|"No "|"Loamy sand"|"8013127"|"15333060"
"FS"|"No "|"No "|"Fine sand"|"8013127"|"15481232"
"SICL"|"No "|"No "|"Silty clay loam"|"8013128"|"15184889"
"L"|"No "|"No "|"Loam"|"8013128"|"15333061"
"SCL"|"No "|"No "|"Sandy clay loam"|"8013128"|"15629403"
"FS"|"No "|"No "|"Fine sand"|"8013198"|"15333094"
"S"|"No "|"No "|"Sand"|"8013198"|"15481266"
"LFS"|"No "|"No "|"Loamy fine sand"|"8013198"|"15629437"
"SL"|"No "|"No "|"Sandy loam"|"8013199"|"15184923"
"SCL"|"No "|"No "|"Sandy clay loam"|"8013199"|"15333095"
"CL"|"No "|"No "|"Clay loam"|"8013199"|"15481267"
"SCL"|"No "|"No "|"Sandy clay loam"|"8013200"|"15184924"
"FSL"|"No "|"No "|"Fine sandy loam"|"8013200"|"15333096"
"SL"|"No "|"No "|"Sandy loam"|"8013200"|"15629438"
"SCL"|"No "|"No "|"Sandy clay loam"|"8013202"|"15333097"
"SL"|"No "|"No "|"Sandy loam"|"8013202"|"15481269"
"FSL"|"No "|"No "|"Fine sandy loam"|"8013202"|"15629440"
"FS"|"No "|"Yes"|"Fine sand"|"8013203"|"15184926"
"S"|"No "|"No "|"Sand"|"8013204"|"15333098"
"FS"|"No "|"No "|"Fine sand"|"8013204"|"15481270"
"LFS"|"No "|"No "|"Loamy fine sand"|"8013204"|"15629441"
"FS"|"No "|"Yes"|"Fine sand"|"8013205"|"15184927"
"FS"|"No "|"Yes"|"Fine sand"|"8013206"|"15333099"
"S"|"No "|"No "|"Sand"|"8013207"|"15481271"
"FS"|"No "|"No "|"Fine sand"|"8013207"|"15629442"
"SL"|"No "|"No "|"Sandy loam"|"8013208"|"15184928"
"FSL"|"No "|"No "|"Fine sandy loam"|"8013208"|"15333100"
"MK-SL"|"No "|"No "|"Mucky sandy loam"|"8013208"|"15481272"
"FSL"|"No "|"Yes"|"Fine sandy loam"|"8013213"|"15481274"
"LS"|"No "|"Yes"|"Loamy sand"|"8013214"|"15629445"
"S"|"No "|"No "|"Sand"|"8013215"|"15184931"
"FS"|"No "|"No "|"Fine sand"|"8013215"|"15333103"
"SCL"|"No "|"No "|"Sandy clay loam"|"8013343"|"15184988"
"FSL"|"No "|"No "|"Fine sandy loam"|"8013343"|"15481331"
"L"|"No "|"No "|"Loam"|"8013343"|"15629502"
"GR-CL"|"No "|"No "|"Gravelly clay loam"|"8013344"|"15333160"
"GR-SICL"|"No "|"No "|"Gravelly silty clay loam"|"8013344"|"15481332"
"GR-L"|"No "|"No "|"Gravelly loam"|"8013344"|"15629503"
"C"|"No "|"Yes"|"Clay"|"8013345"|"15184989"
"C"|"No "|"No "|"Clay"|"8013346"|"15333161"
"SIC"|"No "|"No "|"Silty clay"|"8013346"|"15481333"
