runid,config,wepp_id,family_primary,family_secondary,family_tertiary,family_rationale,cluster_label,rule_cluster_agreement
cochlear-beriberi,disturbed9002-mofe,440,D2b,D6b,,"D2b: outlier_is_outlet_ofe=True, NOT D1, runoff_pass_vs_outlet_qofe_residual_m3_max_abs>1.000000.",2,agree
cochlear-beriberi,disturbed9002-mofe,448,D2b,D3,D6b,"D2b: outlier_is_outlet_ofe=True, NOT D1, runoff_pass_vs_outlet_qofe_residual_m3_max_abs>1.000000.",2,agree
cochlear-beriberi,disturbed9002-mofe,457,D2b,D6b,,"D2b: outlier_is_outlet_ofe=True, NOT D1, runoff_pass_vs_outlet_qofe_residual_m3_max_abs>1.000000.",-1,noise
cochlear-beriberi,disturbed9002-mofe,461,D1,D6c,D3,"D1: outlier_is_outlet_ofe=True, late_max_abs_ofe_closure_residual_mm_max_abs=2926.688>1000.000, late_max_qofe_to_q_ratio_max_abs>=n_ofe_max-0.01.",-1,noise
cochlear-beriberi,disturbed9002-mofe,463,D2b,D3,D6b,"D2b: outlier_is_outlet_ofe=True, NOT D1, runoff_pass_vs_outlet_qofe_residual_m3_max_abs>1.000000.",2,agree
cochlear-beriberi,disturbed9002-mofe,465,D2b,D6b,,"D2b: outlier_is_outlet_ofe=True, NOT D1, runoff_pass_vs_outlet_qofe_residual_m3_max_abs>1.000000.",-1,noise
cochlear-beriberi,disturbed9002-mofe,468,D2b,D6b,,"D2b: outlier_is_outlet_ofe=True, NOT D1, runoff_pass_vs_outlet_qofe_residual_m3_max_abs>1.000000.",2,agree
cochlear-beriberi,disturbed9002-mofe,472,D2b,D6a,,"D2b: outlier_is_outlet_ofe=True, NOT D1, runoff_pass_vs_outlet_qofe_residual_m3_max_abs>1.000000.",2,agree
cochlear-beriberi,disturbed9002-mofe,474,D1,D6b,,"D1: outlier_is_outlet_ofe=True, late_max_abs_ofe_closure_residual_mm_max_abs=1211.234>1000.000, late_max_qofe_to_q_ratio_max_abs>=n_ofe_max-0.01.",-1,noise
cochlear-beriberi,disturbed9002-mofe,475,D1,D6b,,"D1: outlier_is_outlet_ofe=True, late_max_abs_ofe_closure_residual_mm_max_abs=1002.609>1000.000, late_max_qofe_to_q_ratio_max_abs>=n_ofe_max-0.01.",-1,noise
cochlear-beriberi,disturbed9002-mofe,476,D2b,D6a,,"D2b: outlier_is_outlet_ofe=True, NOT D1, runoff_pass_vs_outlet_qofe_residual_m3_max_abs>1.000000.",2,agree
cochlear-beriberi,disturbed9002-mofe,488,D2b,D6a,,"D2b: outlier_is_outlet_ofe=True, NOT D1, runoff_pass_vs_outlet_qofe_residual_m3_max_abs>1.000000.",2,agree
cochlear-beriberi,disturbed9002-mofe,492,D2b,D6b,,"D2b: outlier_is_outlet_ofe=True, NOT D1, runoff_pass_vs_outlet_qofe_residual_m3_max_abs>1.000000.",2,agree
cochlear-beriberi,disturbed9002-mofe,495,D2b,D3,D6a,"D2b: outlier_is_outlet_ofe=True, NOT D1, runoff_pass_vs_outlet_qofe_residual_m3_max_abs>1.000000.",2,agree
cochlear-beriberi,disturbed9002-mofe,498,D2b,D6b,,"D2b: outlier_is_outlet_ofe=True, NOT D1, runoff_pass_vs_outlet_qofe_residual_m3_max_abs>1.000000.",2,agree
cochlear-beriberi,disturbed9002-mofe,501,D2b,D6b,,"D2b: outlier_is_outlet_ofe=True, NOT D1, runoff_pass_vs_outlet_qofe_residual_m3_max_abs>1.000000.",2,agree
cochlear-beriberi,disturbed9002-mofe,504,D2b,D6a,,"D2b: outlier_is_outlet_ofe=True, NOT D1, runoff_pass_vs_outlet_qofe_residual_m3_max_abs>1.000000.",2,agree
cochlear-beriberi,disturbed9002-mofe,507,D1,D6c,,"D1: outlier_is_outlet_ofe=True, late_max_abs_ofe_closure_residual_mm_max_abs=1875.858>1000.000, late_max_qofe_to_q_ratio_max_abs>=n_ofe_max-0.01.",-1,noise
cochlear-beriberi,disturbed9002-mofe,513,D2b,D6b,,"D2b: outlier_is_outlet_ofe=True, NOT D1, runoff_pass_vs_outlet_qofe_residual_m3_max_abs>1.000000.",2,agree
cochlear-beriberi,disturbed9002-mofe,516,D2b,D6b,,"D2b: outlier_is_outlet_ofe=True, NOT D1, runoff_pass_vs_outlet_qofe_residual_m3_max_abs>1.000000.",2,agree
ordained-incentive,disturbed9002-wbt-mofe,17,D2b,D3,D6a,"D2b: outlier_is_outlet_ofe=True, NOT D1, runoff_pass_vs_outlet_qofe_residual_m3_max_abs>1.000000.",0,agree
ordained-incentive,disturbed9002-wbt-mofe,20,D3,D6a,,D3: soilwater_to_porosity_fraction_p99=0.999>=0.990.,-1,noise
ordained-incentive,disturbed9002-wbt-mofe,33,D3,D6a,,D3: soilwater_to_porosity_fraction_p99=1.000>=0.990.,0,agree
ordained-incentive,disturbed9002-wbt-mofe,52,D2b,D3,D6a,"D2b: outlier_is_outlet_ofe=True, NOT D1, runoff_pass_vs_outlet_qofe_residual_m3_max_abs>1.000000.",0,agree
ordained-incentive,disturbed9002-wbt-mofe,61,D2b,D3,D6a,"D2b: outlier_is_outlet_ofe=True, NOT D1, runoff_pass_vs_outlet_qofe_residual_m3_max_abs>1.000000.",0,agree
ordained-incentive,disturbed9002-wbt-mofe,66,D2b,D3,D6b,"D2b: outlier_is_outlet_ofe=True, NOT D1, runoff_pass_vs_outlet_qofe_residual_m3_max_abs>1.000000.",0,agree
