wctl/install.sh:145:chmod +x "${WCTL_SCRIPT}"
scripts/install-memory-watchdog.sh:55:chmod +x "$SCRIPT_DIR/memory-watchdog.sh"
scripts/install-memory-watchdog.sh:60:chmod 644 "$LOGFILE"
scripts/run_migrations_container.sh:532:chmod +x "${INNER_SCRIPT}"
scripts/deploy-production.sh:499:    chmod 0600 "${PRE_PULL_CAP_CONFIG}"
wepppy/nodb/mods/omni/omni.py:534:    shutil.copyfile(_join(sibling_wd, 'soils.nodb'), _join(new_wd, 'soils.nodb'))
wepppy/nodb/mods/omni/omni.py:536:    shutil.copytree(_join(sibling_wd, 'disturbed'), _join(new_wd, 'disturbed'))
wepppy/nodb/mods/omni/omni.py:555:        shutil.copytree(str(src_root), dst_root)
wepppy/nodb/mods/omni/omni_artifact_export_service.py:428:            os.replace(wgs_path, output_path)
wepppy/nodb/mods/omni/omni_mode_build_services.py:398:                shutil.copyfile(sbs_file_path, new_sbs_file_path)
wepppy/nodb/mods/geneva/collaborators/cn_table_service.py:617:            os.replace(tmp_path, path)
wepppy/nodb/mods/rred/rred.py:123:            shutil.copy(fn, soils_dir)
wepppy/nodb/mods/postfire_debris_flow/observability.py:17:    os.replace(pending, path)
wepppy/nodb/mods/postfire_debris_flow/migration.py:274:    shutil.copyfile(Path(wd)/controller.filename, backup/controller.filename)
wepppy/nodb/mods/postfire_debris_flow/migration.py:373:        shutil.copyfile(src, pending)
wepppy/nodb/mods/postfire_debris_flow/migration.py:374:        os.replace(pending, dst)
wepppy/nodb/mods/postfire_debris_flow/kf_source.py:88:    shutil.copyfile(io.regular(METADATA,io.MAX_TEXT),output/'publisher_metadata.xml')
wepppy/nodb/mods/postfire_debris_flow/source_preparation.py:291:            os.replace(staged.name,destination.name,src_dir_fd=source_fd,dst_dir_fd=destination_fd)
wepppy/nodb/mods/postfire_debris_flow/production.py:480:        shutil.copyfile(source, destination)
wepppy/nodb/mods/postfire_debris_flow/publication.py:76:                os.replace(staged/dst.name, dst)
wepppy/nodb/mods/ash_transport/_scripts/migrate_ash_model.py:17:def chmod_r(wd: str) -> int:
wepppy/nodb/mods/ash_transport/_scripts/migrate_ash_model.py:19:    return os.system(f"chmod -R 777 {wd}")
wepppy/nodb/mods/ash_transport/_scripts/migrate_ash_model.py:26:    chmod_r(wd)
wepppy/weppcloud/static-src/tests/smoke/AGENTS.md:27:  - `chmod 600 docker/secrets/dev-agent.env`
wepppy/weppcloud/static-src/tests/smoke/AGENTS.md:45:chmod 600 docker/secrets/dev-agent.env
wepppy/weppcloud/routes/_security/logging.py:68:        os.chmod(log_path.parent, 0o700)
wepppy/weppcloud/routes/_security/logging.py:70:        os.chmod(log_path, 0o600)
wepppy/weppcloud/routes/readme_md/readme_md.py:248:        os.replace(tmp_path, path)
wepppy/weppcloud/routes/nodb_api/landuse_bp.py:125:        os.replace(tmp_path, path)
wepppy/weppcloud/routes/nodb_api/landuse_bp.py:136:        os.replace(tmp_path, path)
wepppy/weppcloud/routes/nodb_api/landuse_bp.py:326:        shutil.copyfile(source_path, incoming_path)
wepppy/weppcloud/routes/nodb_api/landuse_bp.py:344:                os.replace(target_path, backup_path)
wepppy/weppcloud/routes/nodb_api/landuse_bp.py:347:            os.replace(incoming_path, target_path)
wepppy/weppcloud/routes/nodb_api/landuse_bp.py:358:                os.replace(backup_path, target_path)
wepppy/weppcloud/routes/nodb_api/project_bp.py:129:    os.replace(backup_path, nodb_path)
wepppy/weppcloud/routes/nodb_api/project_bp.py:139:    os.replace(nodb_path, backup_path)
wepppy/runtime_paths/wepp_inputs.py:104:            os.link(src, dst)
wepppy/runtime_paths/wepp_inputs.py:109:    shutil.copyfile(src, dst)
wepppy/landcover/rap/rangeland_analysis_platform.py:185:            shutil.copyfile(_join(_thisdir, 'rap_readme.txt'), readme_txt)
wepppy/wepp/interchange/ag_fields_interchange.py:347:    os.replace(temporary, path)
wepppy/wepp/interchange/ag_fields_interchange.py:355:        os.replace(stage_dir, final_dir)
wepppy/wepp/interchange/ag_fields_interchange.py:362:    os.replace(final_dir, backup_dir)
wepppy/wepp/interchange/ag_fields_interchange.py:364:        os.replace(stage_dir, final_dir)
wepppy/wepp/interchange/ag_fields_interchange.py:367:            os.replace(backup_dir, final_dir)
wepppy/wepp/interchange/ag_fields_interchange.py:376:            os.replace(backup_dir, final_dir)
wepppy/wepp/fuzzing/seeded_soil_landuse_generators.py:943:        shutil.copy2(seed.slp_path, generated_slp)
wepppy/wepp/fuzzing/seeded_soil_landuse_generators.py:944:        shutil.copy2(seed.cli_path, generated_cli)
wepppy/wepp/fuzzing/seeded_soil_landuse_generators.py:946:            shutil.copy2(seed.run_path, generated_run)
wepppy/wepp/fuzzing/single_ofe_stratified_campaign.py:1052:            shutil.copy2(src_path, runs_dir / src_path.name)
