ntwk,state,site_name,ts,start,lat,lon,elev,county,huc,
SNTL,CO,South Colony (773),,1990-October,37.97,-105.54,10868,Custer,North Colony Creek-Grape Creek (110200011206),
SNTL,CO,Spud Mountain (780),,1985-October,37.7,-107.78,10674,San Juan,Lime Creek (140801040202),
SNTL,CO,Stillwater Creek (793),,1985-October,40.23,-105.92,8880,Grand,Stillwater Creek (140100010306),
SNTL,CO,Stump Lakes (797),,1985-October,37.48,-107.63,11248,La Plata,Virginia Gulch-Florida River (140801040702),
SNTL,CO,Summit Ranch (802),,1979-October,39.72,-106.16,9371,Summit,Rock Creek-Blue River (140100020502),
SNTL,CO,Tower (825),,1978-October,40.54,-106.68,10620,Routt,Fish Creek (140500010407),
SNTL,CO,Trapper Lake (827),,1985-October,40,-107.24,9759,Garfield,Headwaters North Fork White River (140500050101),
SNTL,CO,Trinchera (829),,1988-October,37.35,-105.23,10922,Costilla,North Fork Trinchera Creek (130100020601),
SNTL,CO,University Camp (838),,1978-October,40.03,-105.58,10360,Boulder,North Boulder Creek (101900050401),
SNTL,CO,Upper Rio Grande (839),,1985-October,37.72,-107.26,9379,Hinsdale,Rio Grande Reservoir-Rio Grande (130100010106),
SNTL,CO,Upper San Juan (840),,1978-October,37.49,-106.84,10140,Mineral,Wolf Creek (140801010203),
SNTL,CO,Upper Taylor (1141),,2009-August,38.99,-106.75,10717,Gunnison,Headwaters Taylor River (140200010101),
SNTL,CO,Ute Creek (1005),,2000-August,37.61,-105.37,10734,Costilla,East Fork Ute Creek (130100020604),
SNTL,CO,Vail Mountain (842),,1978-October,39.62,-106.38,10310,Eagle,Middle Gore Creek (140100030102),
SNTL,CO,Vallecito (843),,1985-October,37.49,-107.51,10782,La Plata,Indian Creek-Los Pinos River (140801011105),
SNTL,CO,Wager Gulch (1188),,2011-July,37.88,-107.36,11132,Hinsdale,Lake San Cristobal-Lake Fork (140200020602),
SNTL,CO,Weminuche Creek (1160),,2010-October,37.52,-107.32,10749,Hinsdale,Sand Creek (140801020203),
SNTL,CO,Whiskey Ck (857),,1979-October,37.21,-105.12,10290,Las Animas,North Fork Purgatoire River (110200100102),
SNTL,CO,Wild Basin (1042),,2002-December,40.2,-105.6,9439,Boulder,Headwaters North Saint Vrain Creek (101900050202),
SNTL,CO,Willow Creek Pass (869),,1978-October,40.35,-106.1,9523,Grand,Upper Willow Creek (140100010102),
SNTL,CO,Willow Park (870),,1979-October,40.43,-105.74,10732,Larimer,Fall River (101900060204),
SNTL,CO,Wolf Creek Summit (874),,1985-October,37.48,-106.8,10957,Mineral,Wolf Creek (140801010203),
SNTL,CO,Zirkel (1033),,2002-August,40.79,-106.6,9338,Jackson,Middle North Fork North Platte River (101800010202),
SNTL,ID,Atlanta Summit (306),,1978-October,43.76,-115.24,7580,Elmore,Bald Mountain Creek-Middle Fork Boise River (170501110204),
SNTL,ID,Banner Summit (312),,1979-October,44.3,-115.23,7040,Boise,Canyon Creek (170501200202),
SNTL,ID,Bear Basin (319),,1979-October,44.95,-116.14,5350,Adams,Little Goose Creek-Goose Creek (170602100104),
SNTL,ID,Bear Canyon (320),,1979-October,43.74,-113.94,7900,Custer,Upper Star Hope Creek (170402180101),
SNTL,ID,Bear Mountain (323),,1979-October,48.31,-116.07,5400,Bonner,Middle Lightning Creek (170102131202),
SNTL,ID,Bear Saddle (324),,1979-October,44.61,-116.98,6180,Washington,Upper Mann Creek (170501241001),
SNTL,ID,Big Creek Summit (338),,1979-October,44.63,-115.8,6560,Valley,Curtis Creek (170602080402),
SNTL,ID,Bogus Basin (978),,1999-September,43.76,-116.1,6340,Boise,Cottonwood Creek-Shafer Creek (170501220201),
SNTL,ID,Bostetter R.S. (359),,1979-October,42.16,-114.19,7500,Cassia,Upper Big Cottonwood Creek (170402120201),
SNTL,ID,Brundage Reservoir (370),,1985-October,45.04,-116.13,6250,Adams,Little Goose Creek-Goose Creek (170602100104),
SNTL,ID,Camas Creek Divide (382),,1991-October,43.27,-115.35,5710,Elmore,Sheep Creek-Camas Creek (170402200101),
SNTL,ID,Chocolate Gulch (895),,1992-October,43.77,-114.42,6310,Blaine,Eagle Creek-Big Wood River (170402190301),
SNTL,ID,Cool Creek (411),,1983-October,46.76,-115.3,6280,Clearwater,Cold Springs Creek-North Fork Clearwater River (170603070702),
SNTL,ID,Couch Summit (1306),,2021-October,43.52,-114.8,6800,Camas,Lower Little Smoky Creek (170501130204),
SNTL,ID,Cozy Cove (423),,1978-October,44.29,-115.66,5400,Valley,Deadwood Reservoir-Deadwood River (170501200403),
SNTL,ID,Crab Creek (424),,1979-October,44.44,-111.99,6900,Clark,Upper Camas Creek (170402140108),
SNTL,ID,Crater Meadows (425),,1983-October,46.56,-115.29,5960,Clearwater,Middle Weitas Creek (170603070502),
SNTL,ID,Deadwood Summit (439),,1978-October,44.55,-115.56,6860,Valley,Stratton Creek-Deadwood River (170501200401),
SNTL,ID,Dollarhide Summit (450),,1979-October,43.6,-114.67,8420,Blaine,Placer Creek-Warm Springs Creek (170402190201),
SNTL,ID,Elk Butte (466),,1982-October,46.84,-116.12,5690,Clearwater,Upper Elk Creek (170603080701),
SNTL,ID,Emigrant Summit (471),,1979-October,42.36,-111.56,7390,Bear Lake,Williams Creek (160102020206),
SNTL,ID,Fish Ck (1305),,2021-September,43.56,-113.72,6330,Blaine,Upper Fish Creek (170402210401),
SNTL,ID,Franklin Basin (484),,1978-October,42.05,-111.6,8140,Franklin,Upper Cub River (160102020501),
SNTL,ID,Galena (489),,1979-October,43.88,-114.67,7470,Blaine,Headwaters Big Wood River (170402190101),
SNTL,ID,Galena Summit (490),,1978-October,43.87,-114.71,8780,Blaine,Headwaters Big Wood River (170402190101),
SNTL,ID,Garfield R.S. (492),,1979-October,43.61,-113.93,6560,Blaine,Upper Muldoon Creek (170402210301),
SNTL,ID,Giveout (493),,1979-October,42.41,-111.17,6930,Bear Lake,Upper Montpelier Creek (160102010401),
SNTL,ID,Graham Guard Sta. (496),,1978-October,43.95,-115.27,5690,Elmore,Big Silver Creek-North Fork Boise River (170501110303),
SNTL,ID,Hemlock Butte (520),,1982-October,46.48,-115.63,5810,Clearwater,French Creek (170603070601),
SNTL,ID,Hidden Lake (988),,2000-September,48.89,-116.76,5040,Boundary,Cow Creek (170101040502),
SNTL,ID,Hilts Creek (524),,1979-October,44.02,-113.47,8000,Custer,Upper Wet Creek (170402170401),
SNTL,ID,Howell Canyon (534),,1978-October,42.32,-113.62,7980,Cassia,Howell Creek (170402090602),
SNTL,ID,Humboldt Gulch (535),,1978-October,47.53,-115.78,4250,Shoshone,Canyon Creek-South Fork Coeur d'Alene River (170103020102),
SNTL,ID,Hyndman (537),,1979-October,43.71,-114.16,7620,Blaine,Hyndman Creek (170402190402),
SNTL,ID,Island Park (546),,1979-October,44.42,-111.39,6290,Fremont,Buffalo River (170402020601),
SNTL,ID,Jackson Peak (550),,1979-October,44.05,-115.44,7070,Boise,Fivemile Creek-South Fork Payette River (170501200304),
SNTL,ID,Lolo Pass (588),,1982-October,46.63,-114.58,5240,Idaho,West Fork Lolo Creek (170102051401),
SNTL,ID,Long Valley (1016),,2001-October,44.79,-116.09,4890,Valley,Lake Fork (170501230206),
SNTL,ID,Lookout (594),,1978-October,47.46,-115.7,5190,Shoshone,Little North Fork South Fork Coeur d'Alene River-South Fork Coeur d'Alene River (170103020101),
SNTL,ID,Lost Lake (600),,1979-October,47.08,-115.96,6110,Shoshone,Lost Lake-Little North Fork Clearwater River (170603080101),
SNTL,ID,Lost-Wood Divide (601),,1979-October,43.82,-114.26,7900,Blaine,Trail Creek (170402190304),
SNTL,ID,Magic Mountain (610),,1979-October,42.18,-114.29,6880,Twin Falls,Third Fork Rock Creek (170402120601),
SNTL,ID,Meadow Lake (620),,1979-October,44.44,-113.32,9150,Lemhi,Upper Texas Creek (170602040101),
SNTL,ID,Mica Creek (623),,1989-October,47.15,-116.27,4510,Shoshone,Mica Creek (170103040604),
SNTL,ID,Mill Creek Summit (627),,1978-October,44.47,-114.49,8800,Custer,Upper Yankee Fork (170602010501),
SNTL,ID,Moonshine (636),,1979-October,44.41,-113.4,7440,Lemhi,Upper Sawmill Creek (170402170201),
SNTL,ID,Moose Creek (638),,1979-October,45.67,-113.95,6200,Lemhi,Upper North Fork Salmon River (170602030601),
SNTL,ID,Mores Creek Summit (637),,1978-September,43.93,-115.67,6100,Boise,Middle Crooked River (170501110503),
SNTL,ID,Morgan Creek (639),,1979-October,44.84,-114.27,7600,Lemhi,Headwaters Panther Creek (170602030901),
SNTL,ID,Moscow Mountain (989),,2000-October,46.81,-116.85,4700,Latah,Little Bear Creek (170603061002),
SNTL,ID,Mosquito Ridge (645),,1978-October,48.06,-116.23,5260,Shoshone,Spruce Creek-North Fork Coeur d'Alene River (170103010101),
SNTL,ID,Mountain Meadows (650),,1979-October,45.7,-115.23,6320,Idaho,Headwaters Meadow Creek (170603020301),
SNTL,ID,Mud Flat (654),,1979-October,42.6,-116.56,5730,Owyhee,Upper Pole Creek (170501041401),
SNTL,ID,Myrtle Creek (1053),,2003-October,48.72,-116.46,3520,Boundary,Myrtle Creek (170101040701),
SNTL,ID,Oxford Spring (677),,1979-October,42.26,-112.13,6740,Oneida,Lower Deep Creek (160102040206),
SNTL,ID,Pebble Creek (1299),,2021-June,42.77,-112.11,6513,Caribou,Pebble Creek (170402080206),
SNTL,ID,Pierce R.S. (1142),,2009-September,46.5,-115.8,3080,Clearwater,Upper Orofino Creek (170603060401),
SNTL,ID,Pine Creek Pass (695),,1988-October,43.57,-111.21,6720,Teton,Warm Creek (170402040101),
SNTL,ID,Prairie (704),,1979-October,43.51,-115.57,4800,Elmore,Lower Smith Creek (170501131103),
SNTL,ID,Puhi Flat (782),,1979-October,44.77,-116.25,6240,Adams,Granite Creek-Middle Fork Weiser River (170501240401),
SNTL,ID,Ragged Mountain (1081),,2006-August,47.86,-117.04,4210,Kootenai,Rathdrum Creek (170103050302),
SNTL,ID,Reynolds Creek (2029),,1999-August,43.29,-116.84,5600,Owyhee,Lower Reynolds Creek (170501030604),
SNTL,ID,Savage Pass (735),,1982-October,46.47,-114.63,6190,Idaho,Lower Colt Killed Creek (170603030208),
SNTL,ID,Schwartz Lake (915),,1995-September,44.85,-113.84,8630,Lemhi,Basin Creek (170602040604),
SNTL,ID,Schweitzer Basin (738),,1979-October,48.37,-116.64,6090,Bonner,Middle Fork East River-East River (170102150502),
SNTL,ID,Secesh Summit (740),,1979-October,45.19,-115.97,6540,Valley,Headwaters North Fork Payette River (170501230101),
SNTL,ID,Sedgwick Peak (741),,1988-October,42.52,-111.96,7850,Bannock,Dempsey Creek (170402080209),
SNTL,ID,Shanghi Summit (747),,1982-October,46.57,-115.74,4600,Clearwater,Quartz Creek (170603060402),
SNTL,ID,Sheep Mtn. (749),,1978-October,43.21,-111.69,6650,Bingham,Horse Creek-Willow Creek (170402050304),
SNTL,ID,Sherwin (752),,1979-October,46.95,-116.34,3200,Latah,West Fork Saint Maries River (170103040703),
SNTL,ID,Slug Creek Divide (761),,1978-October,42.56,-111.3,7225,Caribou,Headwaters Slug Creek (170402070201),
SNTL,ID,Smiley Mountain (926),,2001-September,43.73,-113.83,9520,Custer,Lower Star Hope Creek (170402180102),
SNTL,ID,Soldier R.S. (769),,1985-October,43.48,-114.83,5740,Camas,Upper Soldier Creek (170402200303),
SNTL,ID,Somsen Ranch (770),,1978-October,42.95,-111.36,6800,Caribou,Upper Lanes Creek (170402070101),
SNTL,ID,South Mtn. (774),,1978-October,42.76,-116.9,6500,Owyhee,Deer Creek-Big Boulder Creek (170501080205),
SNTL,ID,Stickney Mill (792),,1979-October,43.86,-114.21,7430,Custer,Summit Creek (170402180303),
SNTL,ID,Sunset (803),,1978-October,47.56,-115.82,5540,Shoshone,Canyon Creek-South Fork Coeur d'Alene River (170103020102),
SNTL,ID,Swede Peak (805),,1978-October,43.63,-113.97,7640,Blaine,Upper Muldoon Creek (170402210301),
SNTL,ID,Trinity Mtn. (830),,1978-October,43.63,-115.44,7770,Elmore,Roaring River (170501110703),
SNTL,ID,Van Wyck (979),,2000-October,44.38,-116.34,4920,Washington,Lower North Crane Creek (170501240902),
SNTL,ID,Vienna Mine (845),,1978-October,43.8,-114.85,8960,Blaine,Smiley Creek (170602010201),
SNTL,ID,West Branch (855),,1979-October,45.07,-116.45,5560,Adams,Upper Weiser River (170501240201),
SNTL,ID,White Elephant (860),,1979-October,44.53,-111.41,7710,Fremont,Coffee Pot Creek-Henrys Fork (170402020305),
SNTL,ID,Wildhorse Divide (867),,1979-October,42.76,-112.48,6490,Bannock,Mink Creek (170402080504),
SNTL,ID,Wilson Creek (871),,1989-October,42.01,-115,7120,Twin Falls,Upper Wilson Creek (170402130202),
SNTL,MT,Albro Lake (916),,1996-September,45.6,-111.96,8300,Madison,South Willow Creek (100200050701),
SNTL,MT,Badger Pass (307),,1968-October,48.13,-113.02,6900,Pondera,North Badger Creek (100302010201),
SNTL,MT,Banfield Mountain (311),,1968-October,48.57,-115.45,5600,Lincoln,Bristow Creek (170101011202),
SNTL,MT,Barker Lakes (313),,1977-August,46.1,-113.13,8250,Deer Lodge,Town of West Valley-Warm Springs Creek (170102010304),
SNTL,MT,Basin Creek (315),,1976-October,45.8,-112.52,7180,Silver Bow,Basin Creek (170102010201),
SNTL,MT,Bassoo Peak (1190),,2011-October,47.86,-114.76,5150,Sanders,Mill Creek (170102120105),
SNTL,MT,Beagle Springs (318),,1976-October,44.47,-112.98,8850,Beaverhead,Upper Nicholia Creek (100200010501),
SNTL,MT,Beaver Creek (328),,1966-October,44.95,-111.36,7850,Gallatin,Upper Beaver Creek (100200070402),
SNTL,MT,Bisson Creek (346),,1988-October,47.68,-114,4920,Lake,Mud Creek (170102120602),
SNTL,MT,Black Bear (347),,1967-October,44.51,-111.13,8170,Gallatin,Upper South Fork Madison River (100200070202),
SNTL,MT,Black Pine (349),,1965-October,46.41,-113.43,7210,Granite,Marshall Creek (170102020203),
SNTL,MT,Blacktail Mtn (1144),,2010-August,47.98,-114.35,5650,Flathead,Stoner Creek (170102080302),
SNTL,MT,Bloody Dick (355),,1976-October,45.17,-113.5,7600,Beaverhead,Upper Bloody Dick Creek (100200011002),
SNTL,MT,Boulder Mountain (360),,1976-October,46.56,-111.29,7950,Meagher,Upper Camas Creek (100301030501),
SNTL,MT,Box Canyon (363),,1976-October,45.27,-110.25,6670,Park,Headwaters Boulder River (100700020902),
SNTL,MT,Brackett Creek (365),,1992-August,45.89,-110.94,7320,Gallatin,Upper Brackett Creek (100700030403),
SNTL,MT,Burnt Mtn (981),,2000-September,45.24,-109.46,5880,Carbon,West Red Lodge Creek (100700060802),
SNTL,MT,Calvert Creek (381),,1974-October,45.88,-113.33,6430,Deer Lodge,Fishtrap Creek (100200040801),
SNTL,MT,Carrot Basin (385),,1966-October,44.96,-111.29,9000,Gallatin,Sage Creek (100200080105),
SNTL,MT,Chicago Ridge (1312),,2022-August,48.06,-115.7,5800,Sanders,Rock Creek (170102131301),
SNTL,MT,Clover Meadow (403),,1971-October,45.02,-111.85,8600,Madison,Ruby Creek (100200070803),
SNTL,MT,Cole Creek (407),,1960-October,45.19,-109.35,7850,Carbon,East Red Lodge Creek (100700060801),
SNTL,MT,Combination (410),,1965-October,46.47,-113.39,5600,Granite,Upper South Fork Lower Middle Creek (170102020401),
SNTL,MT,Copper Bottom (413),,1978-October,47.06,-112.6,5200,Lewis And Clark,Copper Creek (170102030103),
SNTL,MT,Copper Camp (414),,1978-October,47.08,-112.73,6950,Lewis And Clark,Copper Creek (170102030103),
SNTL,MT,Crystal Lake (427),,1967-September,46.79,-109.51,6050,Fergus,Big Rock Creek (100401030204),
SNTL,MT,Daisy Peak (919),,1977-September,46.67,-110.33,7600,Meagher,Alkali Creek-Mud Creek (100402010106),
SNTL,MT,Daly Creek (433),,1966-October,46.18,-113.85,5780,Ravalli,Daly Creek (170102050901),
SNTL,MT,Darkhorse Lake (436),,1977-August,45.17,-113.58,8945,Beaverhead,Headwaters Big Hole River (100200040301),
SNTL,MT,Deadman Creek (437),,1966-October,46.79,-110.68,6450,Meagher,Headwaters Sheep Creek (100301030401),
SNTL,MT,Divide (448),,1971-January,44.79,-112.06,7800,Madison,Headwaters Ruby River (100200030102),
SNTL,MT,Dupuyer Creek (458),,1982-October,48.06,-112.76,5750,Teton,Upper Dupuyer Creek (100302010501),
SNTL,MT,East Boulder Mine (1105),,2008-June,45.5,-110.08,6335,Sweet Grass,Headwaters East Boulder River (100700020701),
SNTL,MT,Elk Peak Alt (1316),,2023-July,46.48,-110.72,7801,Meagher,Fourmile Creek (100301030104),
SNTL,MT,Emery Creek (469),,1975-October,48.43,-113.94,4350,Flathead,Emery Creek (170102090703),
SNTL,MT,Fisher Creek (480),,1966-October,45.06,-109.94,9100,Park,Broadwater River-Clarks Fork Yellowstone River (100700060202),
SNTL,MT,Flattop Mtn. (482),,1969-October,48.8,-113.86,6300,Flathead,Headwaters McDonald Creek (170102070501),
SNTL,MT,Frohner Meadow (487),,1967-October,46.44,-112.19,6480,Jefferson,Lump Gulch (100301011305),
SNTL,MT,Garver Creek (918),,1968-October,48.98,-115.82,4250,Lincoln,Upper West Fork Yaak River (170101030202),
SNTL,MT,Grave Creek (500),,1968-October,48.91,-114.77,4300,Flathead,Upper Grave Creek (170101010801),
SNTL,MT,Hand Creek (510),,1976-October,48.31,-114.84,5035,Flathead,Lowere Griffin Creek (170102100304),
SNTL,MT,Hawkins Lake (516),,1968-October,48.97,-115.95,6450,Lincoln,South Fork Hawkins Creek-Hawkins Creek (170101050201),
SNTL,MT,Hoodoo Basin (530),,1966-October,46.98,-115.03,6050,Mineral,Upper Trout Creek (170102040607),
SNTL,MT,JL Meadow (1287),,2017-October,44.78,-113.12,8800,Beaverhead,Dad Creek-Medicine Lodge Creek (100200011202),
SNTL,MT,Kraft Creek (562),,1979-October,47.43,-113.78,4750,Missoula,Kraft Creek (170102110104),
SNTL,MT,Lakeview Ridge (568),,1960-October,44.59,-111.82,7400,Beaverhead,Odell Creek (100200010105),
SNTL,MT,Lemhi Ridge (576),,1971-January,44.99,-113.44,8100,Beaverhead,Trail Creek (100200011106),
SNTL,MT,Lick Creek (578),,1963-October,45.5,-110.97,6860,Gallatin,Upper Hyalite Creek (100200081001),
SNTL,MT,Lone Mountain (590),,1988-October,45.27,-111.43,8880,Madison,South Fork West Fork Gallatin River (100200080201),
SNTL,MT,Lower Twin (603),,1976-October,45.51,-111.92,7900,Madison,Upper North Meadow Creek (100200071101),
SNTL,MT,Lubrecht Flume (604),,1970-October,46.88,-113.32,4680,Missoula,Upper Elk Creek (170102031204),
SNTL,MT,Madison Plateau (609),,1967-October,44.59,-111.12,7750,Gallatin,Lower South Fork Madison River (100200070204),
SNTL,MT,Many Glacier (613),,1976-October,48.8,-113.67,4900,Glacier,Swiftcurrent Lake (090400010201),
SNTL,MT,Mill Creek (1322),,2024-July,45.26,-110.41,7510,Park,Upper Mill Creek (100700020302),
SNTL,MT,Monument Peak (635),,1976-October,45.22,-110.24,8850,Park,Headwaters Boulder River (100700020902),
SNTL,MT,Moss Peak (646),,1961-April,47.68,-113.96,6780,Lake,Town of Polson-Frontal Flathead Lake (170102080404),
SNTL,MT,Mount Lockhart (649),,1968-October,47.92,-112.82,6400,Teton,Middle North Fork Teton River (100302050102),
SNTL,MT,Mule Creek (656),,1977-October,45.41,-112.96,8300,Beaverhead,Birch Creek (100200041303),
SNTL,MT,N Fk Elk Creek (657),,1967-October,46.87,-113.28,6250,Powell,Upper Elk Creek (170102031204),
SNTL,MT,Nevada Ridge (903),,1977-October,46.84,-112.51,7020,Lewis And Clark,Poorman Creek (170102030302),
SNTL,MT,Nez Perce Camp (662),,1967-October,45.73,-114.48,5650,Ravalli,Nez Pierce Fork (170102050204),
SNTL,MT,Noisy Basin (664),,1961-April,48.16,-113.95,6040,Flathead,Rose Creek-Frontal Flathead River (170102080208),
SNTL,MT,North Fork Jocko (667),,1961-April,47.27,-113.76,6330,Missoula,North Fork Jocko River (170102120702),
SNTL,MT,Northeast Entrance (670),,1937-October,45.01,-110.01,7350,Yellowstone National Park,Upper Soda Butte Creek (100700010602),
SNTL,MT,Onion Park (1008),,1992-October,46.91,-110.85,7410,Meagher,Upper Tenderfoot Creek (100301030801),
SNTL,MT,Peterson Meadows (930),,1965-October,46.13,-113.31,7200,Granite,Silver Lake (170102020101),
SNTL,MT,Pickfoot Creek (690),,1977-June,46.58,-111.27,6650,Meagher,Upper Camas Creek (100301030501),
SNTL,MT,Pike Creek (693),,1960-October,48.3,-113.33,5930,Pondera,Upper South Fork Two Medicine River (100302010103),
SNTL,MT,Placer Basin (696),,1976-October,45.42,-110.09,8830,Sweet Grass,Headwaters East Boulder River (100700020701),
SNTL,MT,Poorman Creek (932),,1968-October,48.13,-115.62,5100,Lincoln,Upper Libby Creek (170101011301),
SNTL,MT,Porcupine (700),,1975-October,46.11,-110.47,6500,Park,Porcupine Creek (100700030303),
SNTL,MT,Rocker Peak (722),,1967-October,46.36,-112.26,8000,Jefferson,Cataract Creek (100200060302),
SNTL,MT,Rocky Boy (917),,1967-October,48.17,-109.65,4700,Hill,Upper Beaver Creek (100500040101),
SNTL,MT,S Fork Shields (725),,1978-October,46.09,-110.43,8100,Park,Bennett Creek-Shields River (100700030301),
SNTL,MT,Sacajawea (929),,1999-September,45.87,-110.93,6550,Gallatin,Upper Brackett Creek (100700030403),
SNTL,MT,Saddle Mtn. (727),,1967-October,45.69,-113.97,7940,Beaverhead,Camp Creek (170102050502),
SNTL,MT,Short Creek (753),,1985-October,44.98,-111.95,7000,Madison,Lazyman Creek-Ruby River (100200030106),
SNTL,MT,Shower Falls (754),,1964-October,45.4,-110.96,8100,Gallatin,Upper Hyalite Creek (100200081001),
SNTL,MT,Skalkaho Summit (760),,1966-October,46.24,-113.77,7250,Granite,Middle West Fork Rock Creek (170102021003),
SNTL,MT,Slagamelt Lakes (1286),,2017-September,45.37,-113.72,8620,Beaverhead,Big Swamp Creek (100200040308),
SNTL,MT,Sleeping Woman (783),,1988-October,47.18,-114.33,6150,Sanders,East Fork Valley Creek (170102120708),
SNTL,MT,Spur Park (781),,1966-October,46.78,-110.62,8100,Judith Basin,Cleveland Creek (100401030301),
SNTL,MT,Stahl Peak (787),,1968-October,48.91,-114.86,6030,Lincoln,Upper Grave Creek (170101010801),
SNTL,MT,Stringer Creek (1009),,1992-October,46.93,-110.9,6550,Meagher,Upper Tenderfoot Creek (100301030801),
SNTL,MT,Stryker Basin (1311),,2023-September,48.68,-114.66,6194,Flathead,West Fork Swift Creek (170102100501),
SNTL,MT,Stuart Mountain (901),,1994-July,47,-113.93,7400,Missoula,Lower Rattlesnake Creek (170102040102),
SNTL,MT,Tepee Creek (813),,1971-October,44.79,-111.71,8000,Madison,Middle West Fork Madison River (100200070602),
SNTL,MT,Tizer Basin (893),,1987-October,46.35,-111.85,6880,Jefferson,Headwaters Crow Creek (100301010701),
SNTL,MT,Twelvemile Creek (835),,1967-October,46.14,-114.45,5600,Ravalli,Lost Horse Creek (170102050601),
SNTL,MT,Twin Lakes (836),,1967-October,46.14,-114.51,6400,Ravalli,Lost Horse Creek (170102050601),
SNTL,MT,Waldron (847),,1968-October,47.92,-112.79,5600,Teton,Middle North Fork Teton River (100302050102),
SNTL,MT,Warm Springs (850),,1977-July,46.27,-113.16,7800,Granite,Headwaters Warm Springs Creek (170102010302),
SNTL,MT,West Yellowstone (924),,1966-October,44.66,-111.09,6700,Gallatin,Madison Arm-Madison River (100200070205),
SNTL,MT,Whiskey Creek (858),,1967-October,44.61,-111.15,6800,Gallatin,Middle South Fork Madison River (100200070203),
SNTL,MT,White Mill (862),,1966-October,45.05,-109.91,8700,Park,Broadwater River-Clarks Fork Yellowstone River (100700060202),
SNTL,MT,Wood Creek (876),,1978-October,47.45,-112.81,5960,Lewis And Clark,Wood Creek-Straight Creek (100301040202),
SNTL,NM,Bateman (316),,1978-October,36.51,-106.32,9249,Rio Arriba,Montoya Canyon-Canjilon Creek (130201020901),
SNTL,NM,Chamita (394),,1978-October,36.96,-106.66,8383,Rio Arriba,Rio Chamita (130201020204),
SNTL,NM,Elk Cabin (921),,1996-October,35.71,-105.81,8239,Santa Fe,Headwaters Santa Fe River (130202010102),
SNTL,NM,Frisco Divide (486),,1971-October,33.74,-108.94,8013,Catron,Stone Creek-San Francisco River (150400040303),
SNTL,NM,Gallegos Peak (491),,1979-October,36.19,-105.56,9480,Taos,Headwaters Rio Grande del Rancho (130201010502),
SNTL,NM,Garita Peak (1173),,2016-September,36,-106.55,10115,Rio Arriba,Headwaters San Antonio Creek (130202020201),
SNTL,NM,Hopewell (532),,1978-October,36.72,-106.26,10095,Rio Arriba,Jaroso Creek-Rio Vallecitos (130201021401),
SNTL,NM,Lookout Mountain (595),,1978-October,33.36,-107.83,8509,Sierra,Taylor Creek (150400010402),
SNTL,NM,Mcknight Cabin (1048),,2003-September,33.01,-107.87,9242,Grant,Sheppard Canyon-Mimbres River (130302020103),
SNTL,NM,Navajo Whiskey Ck (1138),,2009-May,36.18,-108.95,9064,San Juan,Whiskey Creek (140802040206),
SNTL,NM,North Costilla (665),,1978-October,36.99,-105.26,10598,Taos,Casias Creek-Costillo Creek (130201010101),
SNTL,NM,Palo (1170),,2010-August,36.41,-105.33,9343,Taos,Headwaters Rio Fernando de Taos (130201010601),
SNTL,NM,Quemazon (708),,1979-October,35.92,-106.39,9507,Los Alamos,Los Alamos Canyon (130201011303),
SNTL,NM,Red River Pass #2 (715),,1978-October,36.7,-105.34,9855,Taos,Upper Red River (130201010301),
SNTL,NM,Rice Park (933),,1998-August,35.24,-108.27,8497,Cibola,Sawyer Creek (130202070203),
SNTL,NM,Rio Santa Barbara (1254),,2013-September,36.07,-105.63,10664,Taos,Rio Santa Barbara (130201010905),
SNTL,NM,San Antonio Sink (1172),,2011-July,36.86,-106.23,9143,Rio Arriba,Canada Tio Grande-Rio San Antonio (130100050301),
SNTL,NM,Santa Fe (922),,1996-October,35.77,-105.78,11465,Santa Fe,Headwaters Santa Fe River (130202010102),
SNTL,NM,Senorita Divide #2 (744),,1979-October,36,-106.83,8569,Rio Arriba,Headwaters Rio de las Vacas (130202020102),
SNTL,NM,Shuree (1169),,2010-August,36.79,-105.24,10092,Taos,Comanche Creek (130201010102),
SNTL,NM,Sierra Blanca (1034),,2002-September,33.41,-105.79,10268,Lincoln,Upper Rio Ruidoso (130600080103),
SNTL,NM,Signal Peak (755),,1978-October,32.92,-108.15,8405,Grant,Lake Roberts-Sapillo Creek (150400010803),
SNTL,NM,Silver Creek Divide (757),,1978-October,33.37,-108.71,9096,Catron,Mineral Creek (150400040605),
SNTL,NM,Taos Powderhorn (1168),,2010-August,36.58,-105.46,11045,Taos,Headwaters Rio Hondo (130201010701),
SNTL,NM,Taos Pueblo (1307),,2021-September,36.54,-105.36,11020,Colfax,La Junta Creek-Rio Pueblo de Taos (130201010602),
SNTL,NM,Tolby (934),,1998-August,36.47,-105.2,10220,Colfax,Clear Creek-Cimarron River (110800020107),
SNTL,NM,Tres Ritos (1083),,2006-September,36.13,-105.53,8755,Taos,Osha Canyon-Rio Pueblo (130201010903),
SNTL,NM,Vacas Locas (1017),,2001-October,36.03,-106.81,9364,Rio Arriba,Headwaters Rio de las Vacas (130202020102),
SNTL,NM,Wesner Springs (854),,1988-October,35.78,-105.54,11151,San Miguel,Canovas Canyon-Gallinas Creek (130600010802),
SNTL,NV,Bear Creek (321),,1976-March,41.83,-115.45,8040,Elko,West Fork Pine Creek-Jarbidge River (170501020301),
SNTL,NV,Berry Creek (334),,1980-October,39.32,-114.62,9377,White Pine,Berry Creek (160600081301),
