wepp_id,topaz_id,soil_key,area_ha,slope,sbs_map_sediment_t,undisturbed_sediment_t,sediment_delta_t,sbs_map_runoff_mm,undisturbed_runoff_mm,runoff_delta_mm,sbs_map_baseflow_mm,undisturbed_baseflow_mm,sbs_map_lateral_flow_mm,undisturbed_lateral_flow_mm,sbs_map_soil_layers,undisturbed_soil_layers,sbs_map_kslast_mm_hr,undisturbed_kslast_mm_hr,sbs_map_res_lyr_i,undisturbed_res_lyr_i,sbs_map_pmet_entry,sbs_map_pmet_station,sbs_map_pmet_description,undisturbed_pmet_entry,undisturbed_pmet_station,undisturbed_pmet_description,inversion
23,113,3120805-silt loam-tall grass,12.1,0.5794927477836609,0.9889,1.7813,-0.7924,16.02396694214876,20.615702479338843,-4.5917355371900825,87.7900826446281,0.0,461.57438016528926,543.0330578512396,5,4,0.01,0.0,,3,29,Tah_7670,silt_loam-tall_grass,29,Tah_7670,silt_loam-tall_grass,True
212,931,3114517-silt loam-tall grass,4.1,0.5220069289207458,3.3976,4.1747,-0.7770999999999999,104.07317073170732,134.12439024390244,-30.05121951219512,90.1609756097561,0.0,458.2780487804878,512.1560975609756,5,4,0.01,0.0,,3,1896,Tah_7670,silt_loam-tall_grass,1896,Tah_7670,silt_loam-tall_grass,True
13,71,3120805-silt loam-tall grass,7.1,0.6161649227142334,3.4165,4.1258,-0.7092999999999998,33.31408450704225,47.77887323943662,-14.464788732394368,89.39718309859155,0.0,438.2887323943662,508.8492957746479,5,4,0.01,0.0,,3,1476,Tah_7670,silt_loam-tall_grass,1476,Tah_7670,silt_loam-tall_grass,True
208,912,3114505-silt loam-tall grass,6.8,0.6110921502113342,3.1964,3.8977,-0.7012999999999994,55.46617647058824,72.53382352941176,-17.067647058823525,88.63088235294117,0.0,510.7485294117647,579.2088235294118,5,4,0.01,0.0,,3,1890,Tah_7670,silt_loam-tall_grass,1890,Tah_7670,silt_loam-tall_grass,True
53,251,3114512-silt loam-tall grass,4.4,0.5332274436950684,2.732,3.4289,-0.6968999999999999,53.13409090909091,74.7159090909091,-21.581818181818186,89.49318181818182,0.0,423.6386363636364,486.025,5,4,0.01,0.0,,3,360,Tah_7670,silt_loam-tall_grass,360,Tah_7670,silt_loam-tall_grass,True
812,3683,3120797-silt loam-tall grass,2.5,0.6873230040073395,1.2503,1.913,-0.6627000000000001,120.812,160.268,-39.456,89.356,0.0,586.588,625.476,5,4,0.01,0.0,,3,653,Tah_7670,silt_loam-tall_grass,653,Tah_7670,silt_loam-tall_grass,True
321,1452,3114660-silt loam-tall grass,4.1,0.5970989465713501,0.5647000000000001,1.1746,-0.6098999999999998,6.14390243902439,24.202439024390245,-18.058536585365854,65.18536585365854,0.0,652.0951219512195,682.2756097560975,4,3,0.01,0.0,,2,109,Tah_7670,silt_loam-tall_grass,109,Tah_7670,silt_loam-tall_grass,True
186,821,3114517-silt loam-tall grass,4.2,0.5477056503295898,1.9613,2.5256,-0.5642999999999998,67.25714285714285,89.37857142857143,-22.12142857142858,89.95238095238095,0.0,501.8190476190477,565.8119047619048,5,4,0.01,0.0,,3,1742,Tah_7670,silt_loam-tall_grass,1742,Tah_7670,silt_loam-tall_grass,True
373,1681,3114490-silt loam-tall grass,5.5,0.6126301884651184,0.6101,1.1425999999999998,-0.5324999999999999,6.630909090909091,26.434545454545454,-19.803636363636365,65.97818181818182,0.0,664.0472727272727,692.7472727272727,4,3,0.01,0.0,,2,166,Tah_7670,silt_loam-tall_grass,166,Tah_7670,silt_loam-tall_grass,True
1054,4803,3114506-silt loam-tall grass,4.2,0.6363525390625,1.3230999999999995,1.8421,-0.5190000000000001,59.32380952380952,82.75714285714285,-23.43333333333333,84.2452380952381,0.0,660.7190476190476,712.7857142857143,5,4,0.01,0.0,,3,923,Tah_7670,silt_loam-tall_grass,923,Tah_7670,silt_loam-tall_grass,True
