|17||"PODE3"|"Populus deltoides"|"eastern cottonwood"|"2965222"|"15893431"
|9||"PIST"|"Pinus strobus"|"eastern white pine"|"2965222"|"15790197"
|3||"UNKNOWN"|"unknown scientific name"|"Peking cotoneaster"|"2965222"|"15996663"
|9||"PINI"|"Pinus nigra"|"Austrian pine"|"2965222"|"15686962"
|9||"GLTR"|"Gleditsia triacanthos"|"honeylocust"|"2965222"|"15790196"
|8||"QUMA2"|"Quercus macrocarpa"|"bur oak"|"2965222"|"15686963"
|3||"SYVU"|"Syringa vulgaris"|"lilac"|"2965222"|"15790198"
|3||"LOMA6"|"Lonicera maackii"|"Amur honeysuckle"|"2965222"|"15996664"
|2||"LOMA6"|"Lonicera maackii"|"Amur honeysuckle"|"2965223"|"15686974"
|2||"SYVU"|"Syringa vulgaris"|"lilac"|"2965223"|"15686975"
|2||"RHAR4"|"Rhus aromatica"|"fragrant sumac"|"2965223"|"15996677"
|8||"GLTR"|"Gleditsia triacanthos"|"honeylocust"|"2965223"|"15893442"
|8||"PINI"|"Pinus nigra"|"Austrian pine"|"2965223"|"15893443"
|5||"UNKNOWN"|"unknown scientific name"|"Manchurian crabapple"|"2965223"|"15790209"
|2||"UNKNOWN"|"unknown scientific name"|"Peking cotoneaster"|"2965223"|"15996675"
|5||"JUVI"|"Juniperus virginiana"|"eastern redcedar"|"2965223"|"15996676"
|7||"FRPE"|"Fraxinus pennsylvanica"|"green ash"|"2965223"|"15790208"
|7||"CEOC"|"Celtis occidentalis"|"hackberry"|"2965223"|"15893441"
|9||"ULPU"|"Ulmus pumila"|"Siberian elm"|"2965223"|"15790210"
|5||"ELAN"|"Elaeagnus angustifolia"|"Russian-olive"|"2965223"|"15686973"
|5||"ELAN"|"Elaeagnus angustifolia"|"Russian-olive"|"2965224"|"15686982"
|9||"ULPU"|"Ulmus pumila"|"Siberian elm"|"2965224"|"15790219"
|7||"CEOC"|"Celtis occidentalis"|"hackberry"|"2965224"|"15893450"
|7||"FRPE"|"Fraxinus pennsylvanica"|"green ash"|"2965224"|"15790217"
|5||"JUVI"|"Juniperus virginiana"|"eastern redcedar"|"2965224"|"15996685"
|2||"UNKNOWN"|"unknown scientific name"|"Peking cotoneaster"|"2965224"|"15996684"
|5||"UNKNOWN"|"unknown scientific name"|"Manchurian crabapple"|"2965224"|"15790218"
|8||"PINI"|"Pinus nigra"|"Austrian pine"|"2965224"|"15893452"
|8||"GLTR"|"Gleditsia triacanthos"|"honeylocust"|"2965224"|"15893451"
|2||"RHAR4"|"Rhus aromatica"|"fragrant sumac"|"2965224"|"15996686"
|2||"SYVU"|"Syringa vulgaris"|"lilac"|"2965224"|"15686984"
|2||"LOMA6"|"Lonicera maackii"|"Amur honeysuckle"|"2965224"|"15686983"
|3||"LOMA6"|"Lonicera maackii"|"Amur honeysuckle"|"2965225"|"15686996"
|3||"SYVU"|"Syringa vulgaris"|"lilac"|"2965225"|"15893463"
|8||"QUMA2"|"Quercus macrocarpa"|"bur oak"|"2965225"|"15790229"
|9||"GLTR"|"Gleditsia triacanthos"|"honeylocust"|"2965225"|"15893464"
|9||"PINI"|"Pinus nigra"|"Austrian pine"|"2965225"|"15790231"
|3||"UNKNOWN"|"unknown scientific name"|"Peking cotoneaster"|"2965225"|"15686995"
|7||"JUVI"|"Juniperus virginiana"|"eastern redcedar"|"2965225"|"15996698"
|17||"PODE3"|"Populus deltoides"|"eastern cottonwood"|"2965225"|"15996696"
|9||"PIST"|"Pinus strobus"|"eastern white pine"|"2965225"|"15893462"
|9||"FRPE"|"Fraxinus pennsylvanica"|"green ash"|"2965225"|"15790230"
|9||"CEOC"|"Celtis occidentalis"|"hackberry"|"2965225"|"15996697"
|2||"PRAM"|"Prunus americana"|"American plum"|"2965225"|"15686994"
|9||"CEOC"|"Celtis occidentalis"|"hackberry"|"2965226"|"15996708"
|9||"QUPA2"|"Quercus palustris"|"pin oak"|"2965226"|"15687008"
|9||"FRPE"|"Fraxinus pennsylvanica"|"green ash"|"2965226"|"15790241"
|11||"PIST"|"Pinus strobus"|"eastern white pine"|"2965226"|"15893476"
|17||"PODE3"|"Populus deltoides"|"eastern cottonwood"|"2965226"|"15996710"
|7||"JUVI"|"Juniperus virginiana"|"eastern redcedar"|"2965226"|"15996709"
|9||"PINI"|"Pinus nigra"|"Austrian pine"|"2965226"|"15790242"
|4||"ELUM"|"Elaeagnus umbellata"|"autumn olive"|"2965226"|"15687006"
|9||"GLTR"|"Gleditsia triacanthos"|"honeylocust"|"2965226"|"15893475"
|4||"ACGI"|"Acer ginnala"|"Amur maple"|"2965226"|"15893474"
|3||"SYVU"|"Syringa vulgaris"|"lilac"|"2965226"|"15790243"
|3||"LOMA6"|"Lonicera maackii"|"Amur honeysuckle"|"2965226"|"15687007"
