site,comparison,outlet,duration_min,F,S,reference_probability,rain_mm,probability30,probability_change_pp,threshold10_mm_h,threshold30_mm_h,threshold_change_mm_h,threshold_change_pct
topanga,native,nested_100000,60,0.25,0.75,0.25,11.045204118607982,0.2395093776686345,-1.0490622331365496,11.045204118607982,11.317227911693779,0.27202379308579694,2.4628226890575533
topanga,native,nested_100000,60,0.25,0.75,0.5,16.18387614494211,0.4792206134415648,-2.0779386558435196,16.18387614494211,16.582456318608717,0.3985801736666055,2.4628226890575533
topanga,native,nested_100000,60,0.25,0.75,0.75,21.32254817127624,0.7288983247976307,-2.1101675202369274,21.32254817127624,21.847684725523653,0.525136554247414,2.462822689057531
topanga,native,nested_100000,60,0.75,0.25,0.25,13.587355273293653,0.23713802244551674,-1.2861977554483262,13.587355273293653,14.001353062722925,0.41399778942927234,3.046934308422755
topanga,native,nested_100000,60,0.75,0.25,0.5,19.90873799333858,0.474445607998002,-2.5554392001997996,19.90873799333858,20.51534416163161,0.6066061682930304,3.046934308422755
topanga,native,nested_100000,60,0.75,0.25,0.75,26.23012071338351,0.7238862519346417,-2.6113748065358267,26.23012071338351,27.029335260540297,0.7992145471567866,3.046934308422755
topanga,native,nested_100000,60,0.75,0.75,0.25,8.95166815465485,0.24147441939484998,-0.8525580605150018,8.95166815465485,9.129514414701145,0.17784626004629445,1.9867387505178469
topanga,native,nested_100000,60,0.75,0.75,0.5,13.116343269880174,0.48315586198871724,-1.684413801128276,13.116343269880174,13.376930744273823,0.26058747439364893,1.9867387505178469
topanga,native,nested_100000,60,0.75,0.75,0.75,17.281018385105497,0.7329827419294218,-1.701725807057819,17.281018385105497,17.6243470738465,0.3433286887410034,1.9867387505178469
topanga,native,nested_1000000,15,0.25,0.25,0.25,9.128229893462665,0.2460210113045735,-0.3978988695426511,36.51291957385066,36.81369068046847,0.3007711066178089,0.823738857719869
topanga,native,nested_1000000,15,0.25,0.25,0.5,12.968481377847144,0.4924228231474398,-0.7577176852560208,51.87392551138858,52.30123119285054,0.42730568146195935,0.8237388577198468
topanga,native,nested_1000000,15,0.25,0.25,0.75,16.808732862231622,0.7425616266193471,-0.7438373380652896,67.23493144892649,67.7887717052326,0.5538402563061169,0.823738857719869
topanga,native,nested_1000000,15,0.25,0.75,0.25,5.011508133791345,0.24781019015841746,-0.21898098415825407,20.04603253516538,20.136353684616918,0.0903211494515368,0.45056870626689616
topanga,native,nested_1000000,15,0.25,0.75,0.5,7.119852443083999,0.49583981617349665,-0.416018382650335,28.479409772335995,28.607729080499663,0.1283193081636682,0.45056870626691836
topanga,native,nested_1000000,15,0.25,0.75,0.75,9.228196752376652,0.7459340607657275,-0.4065939234272453,36.91278700950661,37.079104476382405,0.16631746687579607,0.45056870626691836
topanga,native,nested_1000000,15,0.75,0.25,0.25,5.789212660256649,0.2474715225848392,-0.2528477415160796,23.156850641026598,23.27746398327013,0.1206133422435336,0.5208538246986194
topanga,native,nested_1000000,15,0.75,0.25,0.5,8.224737704152602,0.49519426041896003,-0.48057395810399695,32.89895081661041,33.07030626022444,0.17135544361403277,0.5208538246986194
topanga,native,nested_1000000,15,0.75,0.25,0.75,10.660262748048556,0.7452991996888044,-0.47008003111955743,42.641050992194224,42.86314853717876,0.2220975449845355,0.5208538246986194
topanga,native,nested_1000000,15,0.75,0.75,0.25,3.8062536535393963,0.24833565693021223,-0.16643430697877715,15.225014614157585,15.277059454574973,0.05204484041738766,0.34183770417528514
topanga,native,nested_1000000,15,0.75,0.75,0.5,5.407546720601248,0.49684029855019746,-0.31597014498025433,21.630186882404992,21.704127016652627,0.07394013424763557,0.34183770417528514
topanga,native,nested_1000000,15,0.75,0.75,0.75,7.0088397876631,0.7469158786222664,-0.30841213777336174,28.0353591506524,28.131194578730284,0.09583542807788348,0.34183770417528514
topanga,native,nested_1000000,30,0.25,0.25,0.25,13.873931470872407,0.2460311836437618,-0.3968816356238192,27.747862941744813,27.969010033619345,0.2211470918745313,0.7969878341219205
topanga,native,nested_1000000,30,0.25,0.25,0.5,19.537207535433463,0.4925088092145245,-0.7491190785475499,39.07441507086693,39.385833405236035,0.31141833436910815,0.7969878341219205
topanga,native,nested_1000000,30,0.25,0.25,0.75,25.200483599994516,0.7426826542318695,-0.7317345768130479,50.40096719998903,50.80265677685273,0.40168957686369566,0.7969878341219205
topanga,native,nested_1000000,30,0.25,0.75,0.25,7.1964387889567325,0.24793605290425863,-0.20639470957413697,14.392877577913465,14.452150276103593,0.059272698190127926,0.41181965086038996
topanga,native,nested_1000000,30,0.25,0.75,0.5,10.13399254789963,0.49611409031069803,-0.38859096893019696,20.26798509579926,20.351452641257218,0.08346754545795676,0.41181965086038996
topanga,native,nested_1000000,30,0.25,0.75,0.75,13.07154630684253,0.7462218707014063,-0.3778129298593669,26.14309261368506,26.250755006410845,0.1076623927257856,0.41181965086038996
topanga,native,nested_1000000,30,0.75,0.25,0.25,9.313120255325883,0.24733116462321145,-0.2668835376788553,18.626240510651765,18.7256290296441,0.0993885189923347,0.5335940923531846
topanga,native,nested_1000000,30,0.75,0.25,0.5,13.114693813556043,0.4949711998339864,-0.5028800166013592,26.229387627112086,26.369346089950778,0.13995846283869184,0.5335940923532068
