 EVENT OUTPUT
day mo  year Precp  Runoff  IR-det Av-det Mx-det  Point  Av-dep Max-dep  Point Sed.Del    ER
--- --  ----  (mm)    (mm)  kg/m^2 kg/m^2 kg/m^2    (m)  kg/m^2  kg/m^2    (m)  (kg/m)  ----
   10   12    17  32.8     7.6   0.000   0.01   0.02  111.4    0.00    0.00    0.0     1.3  1.00
   11   12    17  29.0     7.1   0.000   0.01   0.02  111.4    0.00    0.00    0.0     0.7  1.00
   25    1    18  34.1     5.3   0.000   0.01   0.02  111.4    0.00    0.00    0.0     1.0  1.00
    6   12    18  43.9    15.4   0.000   0.02   0.04  111.4    0.00    0.00    0.0     2.5  1.00
    3    2    19  58.4    26.7   0.000   0.04   0.06  111.4    0.00    0.00    0.0     4.4  1.00
    6    2    19  35.1     8.3   0.000   0.01   0.02  111.4    0.00    0.00    0.0     1.6  1.00
    7    2    19  23.5     9.5   0.000   0.01   0.02  111.4    0.00    0.00    0.0     0.4  1.00
    8    2    19  16.7     2.6   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00
   22    2    19  53.5     8.0   0.000   0.01   0.02  111.4    0.00    0.00    0.0     0.4  1.00
   23    2    19  44.3    30.1   0.000   0.04   0.06  111.4    0.00    0.00    0.0     4.3  1.00
   25    3    19  96.4    33.6   0.000   0.06   0.11  111.4    0.00    0.00    0.0     6.3  1.00
   12    5    19  33.4     0.3   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00
   13    5    19  25.7     1.5   0.000   0.00   0.00  111.4    0.00    0.00    0.0     0.1  1.00
   21    2    21  53.8    13.8   0.000   0.01   0.03  111.4    0.00    0.00    0.0     0.6  1.00
   23    2    21  53.8    28.9   0.000   0.04   0.07  111.4    0.00    0.00    0.0     4.5  1.00
   18    4    21  15.2     1.6   0.000   0.00   0.00  111.4    0.00    0.00    0.0     0.1  1.00
   12    1    22  78.8    48.0   0.000   0.07   0.11  111.4    0.00    0.00    0.0     7.6  1.00
   13    2    22 102.1    60.1   0.000   0.08   0.12  111.4    0.00    0.00    0.0     8.2  1.00
   26    2    22  51.1    15.6   0.000   0.03   0.04  111.4    0.00    0.00    0.0     2.9  1.00
    6    3    22  41.4     7.4   0.000   0.01   0.02  111.4    0.00    0.00    0.0     1.3  1.00
    8   11    23  96.9    29.6   0.000   0.05   0.08  111.4    0.00    0.00    0.0     5.1  1.00
   20   12    23  54.1     8.3   0.000   0.01   0.02  111.4    0.00    0.00    0.0     1.5  1.00
   12    2    24 130.7    75.8   0.000   0.10   0.15  111.4    0.00    0.00    0.0    10.6  1.00
   15    3    24  96.4    33.6   0.000   0.06   0.11  111.4    0.00    0.00    0.0     5.3  1.00
   14    4    24  30.4     0.1   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00
   22    2    25  48.3     2.1   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00
   23    2    25  21.5     0.3   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00
   26    2    25 108.2    72.6   0.000   0.10   0.15  111.4    0.00    0.00    0.0    10.6  1.00
   20   10    25  74.9    37.8   0.000   0.04   0.06  111.4    0.00    0.00    0.0     4.4  1.00
   27   10    25  45.8    13.8   0.000   0.02   0.03  111.4    0.00    0.00    0.0     1.9  1.00
   28   12    25 106.5    56.7   0.000   0.08   0.12  111.4    0.00    0.00    0.0     8.3  1.00
   29   12    25  91.1    69.2   0.000   0.09   0.14  111.4    0.00    0.00    0.0     9.7  1.00
   31   12    25  75.4    36.9   0.000   0.06   0.09  111.4    0.00    0.00    0.0     6.1  1.00
    2    1    26  20.7     0.0   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00
    3    1    26 166.1   146.5   0.000   0.19   0.31  111.4    0.00    0.00    0.0    21.1  1.00
    7    1    26  48.5     3.9   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00
    8    1    26  58.6    44.5   0.000   0.06   0.10  111.4    0.00    0.00    0.0     6.6  1.00
    9    1    26  92.9    78.7   0.000   0.10   0.16  111.4    0.00    0.00    0.0    10.9  1.00
   10    1    26  87.4    73.3   0.000   0.09   0.15  111.4    0.00    0.00    0.0    10.1  1.00
   11    1    26  71.9    57.7   0.000   0.08   0.13  111.4    0.00    0.00    0.0     8.6  1.00
   11    2    26  69.3    12.2   0.000   0.02   0.03  111.4    0.00    0.00    0.0     2.0  1.00
   19    2    26  71.3    43.2   0.000   0.06   0.09  111.4    0.00    0.00    0.0     6.5  1.00
   20    2    26  53.0    34.2   0.000   0.04   0.07  111.4    0.00    0.00    0.0     4.9  1.00
   21    2    26  65.7    51.0   0.000   0.07   0.11  111.4    0.00    0.00    0.0     7.4  1.00
   22    2    26  48.8    34.1   0.000   0.05   0.08  111.4    0.00    0.00    0.0     5.4  1.00
   23    2    26  15.4     1.7   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00
   22    3    26  45.6     2.3   0.000   0.00   0.01  111.4    0.00    0.00    0.0     0.3  1.00
    2    1    27  92.6    57.9   0.000   0.10   0.16  111.4    0.00    0.00    0.0    10.4  1.00
   28    2    27  61.7    19.4   0.000   0.03   0.05  111.4    0.00    0.00    0.0     3.2  1.00
   28    3    27  69.3    10.0   0.000   0.01   0.02  111.4    0.00    0.00    0.0     1.6  1.00
    4    4    27  39.1     0.1   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00
    6    1    29  43.1     8.0   0.000   0.01   0.01  111.4    0.00    0.00    0.0     0.2  1.00
    7    1    29  23.5     0.0   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00
   25    1    29  87.4    55.7   0.000   0.07   0.11  111.4    0.00    0.00    0.0     7.9  1.00
   27    1    29  58.6    37.2   0.000   0.06   0.09  111.4    0.00    0.00    0.0     6.1  1.00
   28    1    29  44.9    30.8   0.000   0.06   0.10  111.4    0.00    0.00    0.0     5.1  1.00
   15   12    29  72.0    14.4   0.000   0.02   0.03  111.4    0.00    0.00    0.0     2.2  1.00
   16    2    30  66.8    15.3   0.000   0.03   0.04  111.4    0.00    0.00    0.0     2.7  1.00
   14   10    30  71.6    15.9   0.000   0.02   0.03  111.4    0.00    0.00    0.0     2.2  1.00
   12   12    30  38.9    11.5   0.000   0.02   0.03  111.4    0.00    0.00    0.0     2.1  1.00
   18    1    31  51.5     4.0   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00
   19    1    31  20.2     0.2   0.000   0.00   0.00    0.0    0.00    0.00    0.0     0.0  1.00
