anisotropy,kcb,month,precip_mm,surface_runoff_mm,lateral_flow_mm,total_runoff_mm,total_et_mm,deep_percolation_printed_mm
7.5,0.95,2,6.40,0.00000,0.00,0.00000,49.79,0.00
7.5,0.95,3,162.90,9.71903,0.94,10.65902,48.93,35.09
7.5,0.95,4,101.80,0.55044,0.67,1.22044,82.01,56.29
7.5,0.95,5,6.00,0.00000,0.00,0.00000,37.91,0.00
7.5,0.95,6,0.00,0.00000,0.00,0.00000,0.00,0.00
7.5,0.95,7,0.00,0.00000,0.00,0.00000,0.00,0.00
7.5,0.95,8,0.00,0.00000,0.00,0.00000,0.00,0.00
7.5,0.95,9,0.00,0.00000,0.00,0.00000,0.00,0.00
7.5,0.95,10,0.00,0.00000,0.00,0.00000,0.00,0.00
7.5,0.95,11,5.40,0.00000,0.00,0.00000,5.42,0.00
7.5,0.95,12,51.50,0.00000,0.00,0.00000,5.91,0.00
7.5,1,1,8.90,0.00000,0.00,0.00000,49.94,1.14
7.5,1,2,6.40,0.00000,0.00,0.00000,48.44,0.00
7.5,1,3,162.90,9.50885,0.94,10.44885,50.42,33.82
7.5,1,4,101.80,0.27310,0.61,0.88310,85.76,54.67
7.5,1,5,6.00,0.00000,0.00,0.00000,35.07,0.00
7.5,1,6,0.00,0.00000,0.00,0.00000,0.00,0.00
7.5,1,7,0.00,0.00000,0.00,0.00000,0.00,0.00
7.5,1,8,0.00,0.00000,0.00,0.00000,0.00,0.00
7.5,1,9,0.00,0.00000,0.00,0.00000,0.00,0.00
7.5,1,10,0.00,0.00000,0.00,0.00000,0.00,0.00
7.5,1,11,5.40,0.00000,0.00,0.00000,5.41,0.00
7.5,1,12,51.50,0.00000,0.00,0.00000,6.24,0.00
7.5,1.05,1,8.90,0.00000,0.00,0.00000,52.01,1.11
7.5,1.05,2,6.40,0.00000,0.00,0.00000,46.53,0.00
7.5,1.05,3,162.90,9.36618,0.82,10.18618,52.55,32.63
7.5,1.05,4,101.80,0.14866,0.55,0.69866,89.48,52.92
7.5,1.05,5,6.00,0.00000,0.00,0.00000,32.31,0.00
7.5,1.05,6,0.00,0.00000,0.00,0.00000,0.00,0.00
7.5,1.05,7,0.00,0.00000,0.00,0.00000,0.00,0.00
7.5,1.05,8,0.00,0.00000,0.00,0.00000,0.00,0.00
7.5,1.05,9,0.00,0.00000,0.00,0.00000,0.00,0.00
7.5,1.05,10,0.00,0.00000,0.00,0.00000,0.00,0.00
7.5,1.05,11,5.40,0.00000,0.00,0.00000,5.37,0.00
7.5,1.05,12,51.50,0.00000,0.00,0.00000,6.55,0.00
7.5,1.1,1,8.90,0.00000,0.00,0.00000,54.04,1.05
7.5,1.1,2,6.40,0.00000,0.00,0.00000,44.35,0.00
7.5,1.1,3,162.90,9.15961,0.82,9.97961,54.81,31.42
7.5,1.1,4,101.80,0.06508,0.48,0.54508,93.17,51.14
7.5,1.1,5,6.00,0.00000,0.00,0.00000,29.56,0.00
7.5,1.1,6,0.00,0.00000,0.00,0.00000,0.00,0.00
7.5,1.1,7,0.00,0.00000,0.00,0.00000,0.00,0.00
7.5,1.1,8,0.00,0.00000,0.00,0.00000,0.00,0.00
7.5,1.1,9,0.00,0.00000,0.00,0.00000,0.00,0.00
7.5,1.1,10,0.00,0.00000,0.00,0.00000,0.00,0.00
7.5,1.1,11,5.40,0.00000,0.00,0.00000,5.38,0.00
7.5,1.1,12,51.50,0.00000,0.00,0.00000,6.88,0.00
7.5,1.15,1,8.90,0.00000,0.00,0.00000,56.08,1.02
7.5,1.15,2,6.40,0.00000,0.00,0.00000,42.18,0.00
7.5,1.15,3,162.90,8.95419,0.81,9.76419,57.07,30.21
7.5,1.15,4,101.80,0.02246,0.40,0.42246,97.00,49.31
7.5,1.15,5,6.00,0.00000,0.00,0.00000,26.68,0.00
7.5,1.15,6,0.00,0.00000,0.00,0.00000,0.00,0.00
7.5,1.15,7,0.00,0.00000,0.00,0.00000,0.00,0.00
7.5,1.15,8,0.00,0.00000,0.00,0.00000,0.00,0.00
7.5,1.15,9,0.00,0.00000,0.00,0.00000,0.00,0.00
7.5,1.15,10,0.00,0.00000,0.00,0.00000,0.00,0.00
7.5,1.15,11,5.40,0.00000,0.00,0.00000,5.38,0.00
7.5,1.15,12,51.50,0.00000,0.00,0.00000,7.20,0.00
7.5,1.2,1,8.90,0.00000,0.00,0.00000,58.15,1.00
7.5,1.2,2,6.40,0.00000,0.00,0.00000,39.93,0.00
7.5,1.2,3,162.90,8.75500,0.74,9.49500,59.39,29.03
7.5,1.2,4,101.80,0.00757,0.35,0.35757,100.89,47.46
7.5,1.2,5,6.00,0.00000,0.00,0.00000,23.82,0.00
7.5,1.2,6,0.00,0.00000,0.00,0.00000,0.00,0.00
7.5,1.2,7,0.00,0.00000,0.00,0.00000,0.00,0.00
7.5,1.2,8,0.00,0.00000,0.00,0.00000,0.00,0.00
7.5,1.2,9,0.00,0.00000,0.00,0.00000,0.00,0.00
7.5,1.2,10,0.00,0.00000,0.00,0.00000,0.00,0.00
7.5,1.2,11,5.40,0.00000,0.00,0.00000,5.40,0.00
7.5,1.2,12,51.50,0.00000,0.00,0.00000,7.52,0.00
10,0.85,1,8.90,0.00000,0.00,0.00000,43.72,1.24
10,0.85,2,6.40,0.00000,0.00,0.00000,46.51,0.00
10,0.85,3,162.90,9.95004,1.28,11.23004,51.11,38.12
10,0.85,4,101.80,0.21937,1.27,1.48937,74.33,60.19
10,0.85,5,6.00,0.00000,0.00,0.00000,43.44,0.00
10,0.85,6,0.00,0.00000,0.00,0.00000,0.00,0.00
10,0.85,7,0.00,0.00000,0.00,0.00000,0.00,0.00
10,0.85,8,0.00,0.00000,0.00,0.00000,0.00,0.00
10,0.85,9,0.00,0.00000,0.00,0.00000,0.00,0.00
10,0.85,10,0.00,0.00000,0.00,0.00000,0.00,0.00
10,0.85,11,5.40,0.00000,0.00,0.00000,5.41,0.00
10,0.85,12,51.50,0.00000,0.00,0.00000,5.27,0.00
10,0.9,1,8.90,0.00000,0.00,0.00000,45.85,1.19
10,0.9,2,6.40,0.00000,0.00,0.00000,49.11,0.00
10,0.9,3,162.90,9.73883,1.19,10.92883,49.22,36.41
10,0.9,4,101.80,0.21937,1.09,1.30937,78.27,58.21
10,0.9,5,6.00,0.00000,0.00,0.00000,40.63,0.00
10,0.9,6,0.00,0.00000,0.00,0.00000,0.00,0.00
10,0.9,7,0.00,0.00000,0.00,0.00000,0.00,0.00
10,0.9,8,0.00,0.00000,0.00,0.00000,0.00,0.00
10,0.9,9,0.00,0.00000,0.00,0.00000,0.00,0.00
10,0.9,10,0.00,0.00000,0.00,0.00000,0.00,0.00
10,0.9,11,5.40,0.00000,0.00,0.00000,5.40,0.00
10,0.9,12,51.50,0.00000,0.00,0.00000,5.59,0.00
10,0.95,1,8.90,0.00000,0.00,0.00000,47.90,1.15
10,0.95,2,6.40,0.00000,0.00,0.00000,49.77,0.00
10,0.95,3,162.90,9.52965,1.18,10.70965,48.93,35.03
10,0.95,4,101.80,0.55029,0.90,1.45029,82.01,56.09
10,0.95,5,6.00,0.00000,0.00,0.00000,37.87,0.00
10,0.95,6,0.00,0.00000,0.00,0.00000,0.00,0.00
10,0.95,7,0.00,0.00000,0.00,0.00000,0.00,0.00
10,0.95,8,0.00,0.00000,0.00,0.00000,0.00,0.00
10,0.95,9,0.00,0.00000,0.00,0.00000,0.00,0.00
10,0.95,10,0.00,0.00000,0.00,0.00000,0.00,0.00
10,0.95,11,5.40,0.00000,0.00,0.00000,5.42,0.00
10,0.95,12,51.50,0.00000,0.00,0.00000,5.91,0.00
10,1,1,8.90,0.00000,0.00,0.00000,49.93,1.10
10,1,2,6.40,0.00000,0.00,0.00000,48.43,0.00
10,1,3,162.90,9.32041,1.17,10.49041,50.42,33.78
10,1,4,101.80,0.27302,0.81,1.08302,85.76,54.51
10,1,5,6.00,0.00000,0.00,0.00000,35.04,0.00
10,1,6,0.00,0.00000,0.00,0.00000,0.00,0.00
10,1,7,0.00,0.00000,0.00,0.00000,0.00,0.00
10,1,8,0.00,0.00000,0.00,0.00000,0.00,0.00
10,1,9,0.00,0.00000,0.00,0.00000,0.00,0.00
10,1,10,0.00,0.00000,0.00,0.00000,0.00,0.00
10,1,11,5.40,0.00000,0.00,0.00000,5.41,0.00
10,1,12,51.50,0.00000,0.00,0.00000,6.24,0.00
10,1.05,1,8.90,0.00000,0.00,0.00000,51.99,1.06
10,1.05,2,6.40,0.00000,0.00,0.00000,46.50,0.00
10,1.05,3,162.90,9.20015,1.08,10.28015,52.55,32.53
10,1.05,4,101.80,0.14862,0.71,0.85862,89.46,52.77
10,1.05,5,6.00,0.00000,0.00,0.00000,32.29,0.00
10,1.05,6,0.00,0.00000,0.00,0.00000,0.00,0.00
10,1.05,7,0.00,0.00000,0.00,0.00000,0.00,0.00
10,1.05,8,0.00,0.00000,0.00,0.00000,0.00,0.00
10,1.05,9,0.00,0.00000,0.00,0.00000,0.00,0.00
10,1.05,10,0.00,0.00000,0.00,0.00000,0.00,0.00
10,1.05,11,5.40,0.00000,0.00,0.00000,5.37,0.00
10,1.05,12,51.50,0.00000,0.00,0.00000,6.55,0.00
10,1.1,1,8.90,0.00000,0.00,0.00000,54.03,1.02
10,1.1,2,6.40,0.00000,0.00,0.00000,44.33,0.00
10,1.1,3,162.90,8.99404,1.08,10.07404,54.81,31.32
10,1.1,4,101.80,0.06506,0.63,0.69506,93.16,51.01
10,1.1,5,6.00,0.00000,0.00,0.00000,29.53,0.00
10,1.1,6,0.00,0.00000,0.00,0.00000,0.00,0.00
10,1.1,7,0.00,0.00000,0.00,0.00000,0.00,0.00
10,1.1,8,0.00,0.00000,0.00,0.00000,0.00,0.00
10,1.1,9,0.00,0.00000,0.00,0.00000,0.00,0.00
10,1.1,10,0.00,0.00000,0.00,0.00000,0.00,0.00
10,1.1,11,5.40,0.00000,0.00,0.00000,5.38,0.00
10,1.1,12,51.50,0.00000,0.00,0.00000,6.88,0.00
10,1.15,1,8.90,0.00000,0.00,0.00000,56.07,0.99
10,1.15,2,6.40,0.00000,0.00,0.00000,42.15,0.00
10,1.15,3,162.90,8.78908,1.08,9.86908,57.07,30.10
10,1.15,4,101.80,0.02246,0.54,0.56246,97.00,49.21
10,1.15,5,6.00,0.00000,0.00,0.00000,26.67,0.00
10,1.15,6,0.00,0.00000,0.00,0.00000,0.00,0.00
10,1.15,7,0.00,0.00000,0.00,0.00000,0.00,0.00
10,1.15,8,0.00,0.00000,0.00,0.00000,0.00,0.00
10,1.15,9,0.00,0.00000,0.00,0.00000,0.00,0.00
10,1.15,10,0.00,0.00000,0.00,0.00000,0.00,0.00
10,1.15,11,5.40,0.00000,0.00,0.00000,5.38,0.00
10,1.15,12,51.50,0.00000,0.00,0.00000,7.20,0.00
10,1.2,1,8.90,0.00000,0.00,0.00000,58.13,0.97
10,1.2,2,6.40,0.00000,0.00,0.00000,39.90,0.00
10,1.2,3,162.90,8.59032,0.99,9.58032,59.39,28.97
10,1.2,4,101.80,0.00757,0.45,0.45757,100.88,47.38
10,1.2,5,6.00,0.00000,0.00,0.00000,23.79,0.00
10,1.2,6,0.00,0.00000,0.00,0.00000,0.00,0.00
10,1.2,7,0.00,0.00000,0.00,0.00000,0.00,0.00
10,1.2,8,0.00,0.00000,0.00,0.00000,0.00,0.00
10,1.2,9,0.00,0.00000,0.00,0.00000,0.00,0.00
10,1.2,10,0.00,0.00000,0.00,0.00000,0.00,0.00
10,1.2,11,5.40,0.00000,0.00,0.00000,5.40,0.00
10,1.2,12,51.50,0.00000,0.00,0.00000,7.52,0.00
