contrast_id,group,scenario,topaz_id,treatment_changed
2,1,thinning_65_90,742,False
2,1,thinning_65_90,751,True
2,1,thinning_65_90,752,False
2,1,thinning_65_90,761,True
2,1,thinning_65_90,762,True
2,1,thinning_65_90,763,True
2,1,thinning_65_90,771,True
2,1,thinning_65_90,772,True
2,1,thinning_65_90,812,False
2,1,thinning_65_90,862,False
2,1,thinning_65_90,872,False
2,1,thinning_65_90,873,True
2,1,thinning_65_90,922,True
2,1,thinning_65_90,931,True
2,1,thinning_65_90,932,True
2,1,thinning_65_90,933,True
2,1,thinning_65_90,941,True
2,1,thinning_65_90,942,True
2,1,thinning_65_90,943,False
2,1,thinning_65_90,951,True
2,1,thinning_65_90,952,True
2,1,thinning_65_90,953,True
2,1,thinning_65_90,992,True
2,1,thinning_65_90,1022,True
2,1,thinning_65_90,1032,True
2,1,thinning_65_90,1033,True
2,1,thinning_65_90,1052,True
2,1,thinning_65_90,1061,True
2,1,thinning_65_90,1062,True
2,1,thinning_65_90,1063,True
2,1,thinning_65_90,1072,True
2,1,thinning_65_90,1073,True
2,1,thinning_65_90,1112,True
2,1,thinning_65_90,1122,True
2,1,thinning_65_90,1123,True
2,1,thinning_65_90,1132,True
2,1,thinning_65_90,1133,True
2,1,thinning_65_90,1162,True
2,1,thinning_65_90,1171,True
2,1,thinning_65_90,1172,True
2,1,thinning_65_90,1173,True
2,1,thinning_65_90,1181,True
2,1,thinning_65_90,1182,True
2,1,thinning_65_90,1183,True
2,1,thinning_65_90,1191,True
2,1,thinning_65_90,1192,True
2,1,thinning_65_90,1193,True
2,1,thinning_65_90,1201,True
2,1,thinning_65_90,1202,True
2,1,thinning_65_90,1203,True
2,1,thinning_65_90,1211,True
2,1,thinning_65_90,1212,True
2,1,thinning_65_90,1213,True
2,1,thinning_65_90,1271,True
2,1,thinning_65_90,1272,True
2,1,thinning_65_90,1273,True
2,1,thinning_65_90,1281,True
2,1,thinning_65_90,1282,True
2,1,thinning_65_90,1283,True
2,1,thinning_65_90,1342,True
2,1,thinning_65_90,1402,False
2,1,thinning_65_90,1452,False
2,1,thinning_65_90,1461,True
2,1,thinning_65_90,1462,True
2,1,thinning_65_90,1463,True
2,1,thinning_65_90,1501,True
2,1,thinning_65_90,1502,True
2,1,thinning_65_90,1503,True
2,1,thinning_65_90,1562,True
2,1,thinning_65_90,1602,False
2,1,thinning_65_90,1652,True
2,1,thinning_65_90,1661,True
2,1,thinning_65_90,1662,True
2,1,thinning_65_90,1663,True
2,1,thinning_65_90,1752,True
2,1,thinning_65_90,1762,True
2,1,thinning_65_90,1763,True
2,1,thinning_65_90,1871,True
2,1,thinning_65_90,1873,True
2,1,thinning_65_90,1881,True
2,1,thinning_65_90,1882,True
2,1,thinning_65_90,1883,True
2,1,thinning_65_90,1892,True
2,1,thinning_65_90,1893,True
2,1,thinning_65_90,2001,True
2,1,thinning_65_90,2002,True
2,1,thinning_65_90,2003,True
2,1,thinning_65_90,2012,True
2,1,thinning_65_90,2013,True
2,1,thinning_65_90,2101,True
2,1,thinning_65_90,2102,True
2,1,thinning_65_90,2103,True
2,1,thinning_65_90,2111,True
2,1,thinning_65_90,2112,True
3,2,thinning_30_75,23,False
3,2,thinning_30_75,31,False
3,2,thinning_30_75,32,False
3,2,thinning_30_75,33,False
3,2,thinning_30_75,43,False
3,2,thinning_30_75,53,True
3,2,thinning_30_75,71,True
3,2,thinning_30_75,72,True
3,2,thinning_30_75,73,True
3,2,thinning_30_75,83,True
3,2,thinning_30_75,113,True
3,2,thinning_30_75,161,True
3,2,thinning_30_75,162,True
3,2,thinning_30_75,163,True
3,2,thinning_30_75,173,True
3,2,thinning_30_75,201,True
3,2,thinning_30_75,202,True
3,2,thinning_30_75,203,True
3,2,thinning_30_75,213,True
3,2,thinning_30_75,241,True
3,2,thinning_30_75,242,True
3,2,thinning_30_75,243,True
3,2,thinning_30_75,253,True
3,2,thinning_30_75,322,True
3,2,thinning_30_75,323,True
3,2,thinning_30_75,333,True
3,2,thinning_30_75,362,True
3,2,thinning_30_75,363,True
3,2,thinning_30_75,371,True
3,2,thinning_30_75,372,True
3,2,thinning_30_75,373,True
3,2,thinning_30_75,381,True
3,2,thinning_30_75,382,True
3,2,thinning_30_75,383,True
3,2,thinning_30_75,393,False
3,2,thinning_30_75,421,True
3,2,thinning_30_75,422,True
3,2,thinning_30_75,423,True
3,2,thinning_30_75,432,True
3,2,thinning_30_75,433,True
3,2,thinning_30_75,441,True
3,2,thinning_30_75,442,True
3,2,thinning_30_75,443,True
3,2,thinning_30_75,453,False
3,2,thinning_30_75,481,True
3,2,thinning_30_75,482,True
3,2,thinning_30_75,483,True
3,2,thinning_30_75,491,True
3,2,thinning_30_75,492,True
3,2,thinning_30_75,493,True
3,2,thinning_30_75,503,True
3,2,thinning_30_75,542,True
3,2,thinning_30_75,543,False
3,2,thinning_30_75,553,True
3,2,thinning_30_75,561,True
3,2,thinning_30_75,562,False
3,2,thinning_30_75,571,True
3,2,thinning_30_75,572,True
3,2,thinning_30_75,573,True
3,2,thinning_30_75,583,False
3,2,thinning_30_75,602,True
3,2,thinning_30_75,603,True
3,2,thinning_30_75,613,True
3,2,thinning_30_75,641,True
3,2,thinning_30_75,642,True
3,2,thinning_30_75,643,True
3,2,thinning_30_75,652,True
3,2,thinning_30_75,653,True
3,2,thinning_30_75,663,True
3,2,thinning_30_75,682,True
3,2,thinning_30_75,683,True
3,2,thinning_30_75,691,True
3,2,thinning_30_75,692,True
3,2,thinning_30_75,693,True
3,2,thinning_30_75,703,False
3,2,thinning_30_75,721,True
3,2,thinning_30_75,722,False
3,2,thinning_30_75,723,True
3,2,thinning_30_75,732,True
3,2,thinning_30_75,743,True
3,2,thinning_30_75,782,True
3,2,thinning_30_75,783,True
3,2,thinning_30_75,791,True
3,2,thinning_30_75,792,True
3,2,thinning_30_75,793,True
3,2,thinning_30_75,802,True
3,2,thinning_30_75,803,True
3,2,thinning_30_75,813,False
3,2,thinning_30_75,822,True
3,2,thinning_30_75,823,False
3,2,thinning_30_75,831,True
3,2,thinning_30_75,832,True
3,2,thinning_30_75,833,True
3,2,thinning_30_75,841,True
3,2,thinning_30_75,842,True
3,2,thinning_30_75,852,True
3,2,thinning_30_75,853,True
3,2,thinning_30_75,863,False
3,2,thinning_30_75,881,False
3,2,thinning_30_75,883,False
3,2,thinning_30_75,891,True
3,2,thinning_30_75,892,True
3,2,thinning_30_75,893,False
3,2,thinning_30_75,902,True
3,2,thinning_30_75,903,True
3,2,thinning_30_75,911,True
3,2,thinning_30_75,912,True
3,2,thinning_30_75,923,True
3,2,thinning_30_75,962,True
3,2,thinning_30_75,963,True
3,2,thinning_30_75,971,True
3,2,thinning_30_75,972,True
3,2,thinning_30_75,981,True
3,2,thinning_30_75,982,True
3,2,thinning_30_75,983,True
3,2,thinning_30_75,993,True
3,2,thinning_30_75,1001,True
3,2,thinning_30_75,1002,True
3,2,thinning_30_75,1003,True
3,2,thinning_30_75,1011,True
3,2,thinning_30_75,1012,True
3,2,thinning_30_75,1013,True
3,2,thinning_30_75,1023,False
3,2,thinning_30_75,1042,True
3,2,thinning_30_75,1043,True
3,2,thinning_30_75,1053,False
3,2,thinning_30_75,1081,False
3,2,thinning_30_75,1082,True
3,2,thinning_30_75,1083,True
3,2,thinning_30_75,1092,True
3,2,thinning_30_75,1093,True
3,2,thinning_30_75,1101,False
3,2,thinning_30_75,1102,True
3,2,thinning_30_75,1103,False
3,2,thinning_30_75,1113,False
3,2,thinning_30_75,1142,True
3,2,thinning_30_75,1143,True
3,2,thinning_30_75,1152,True
3,2,thinning_30_75,1153,False
3,2,thinning_30_75,1163,True
3,2,thinning_30_75,1221,True
3,2,thinning_30_75,1222,False
3,2,thinning_30_75,1223,True
3,2,thinning_30_75,1232,True
3,2,thinning_30_75,1233,True
3,2,thinning_30_75,1242,True
3,2,thinning_30_75,1243,False
3,2,thinning_30_75,1251,True
3,2,thinning_30_75,1252,True
3,2,thinning_30_75,1253,True
3,2,thinning_30_75,1291,True
3,2,thinning_30_75,1292,False
3,2,thinning_30_75,1293,True
3,2,thinning_30_75,1302,True
3,2,thinning_30_75,1303,True
3,2,thinning_30_75,1311,True
3,2,thinning_30_75,1312,True
3,2,thinning_30_75,1313,True
3,2,thinning_30_75,1322,True
3,2,thinning_30_75,1323,True
3,2,thinning_30_75,1331,True
3,2,thinning_30_75,1332,True
3,2,thinning_30_75,1333,True
3,2,thinning_30_75,1343,True
3,2,thinning_30_75,1351,True
3,2,thinning_30_75,1352,True
3,2,thinning_30_75,1362,True
3,2,thinning_30_75,1363,True
3,2,thinning_30_75,1371,True
3,2,thinning_30_75,1372,True
3,2,thinning_30_75,1373,True
3,2,thinning_30_75,1381,True
3,2,thinning_30_75,1382,True
3,2,thinning_30_75,1383,True
3,2,thinning_30_75,1392,True
3,2,thinning_30_75,1393,False
3,2,thinning_30_75,1403,False
3,2,thinning_30_75,1411,True
3,2,thinning_30_75,1412,True
3,2,thinning_30_75,1413,True
3,2,thinning_30_75,1422,True
3,2,thinning_30_75,1423,True
3,2,thinning_30_75,1431,True
3,2,thinning_30_75,1432,True
3,2,thinning_30_75,1433,True
3,2,thinning_30_75,1441,True
3,2,thinning_30_75,1442,True
3,2,thinning_30_75,1443,True
3,2,thinning_30_75,1453,False
3,2,thinning_30_75,1472,True
3,2,thinning_30_75,1473,True
3,2,thinning_30_75,1482,True
3,2,thinning_30_75,1483,True
3,2,thinning_30_75,1492,True
3,2,thinning_30_75,1511,True
3,2,thinning_30_75,1512,True
3,2,thinning_30_75,1513,True
3,2,thinning_30_75,1522,True
3,2,thinning_30_75,1523,True
3,2,thinning_30_75,1531,True
3,2,thinning_30_75,1532,True
3,2,thinning_30_75,1533,True
3,2,thinning_30_75,1541,True
3,2,thinning_30_75,1542,True
3,2,thinning_30_75,1543,True
3,2,thinning_30_75,1551,True
3,2,thinning_30_75,1552,True
3,2,thinning_30_75,1553,False
3,2,thinning_30_75,1563,True
3,2,thinning_30_75,1571,True
3,2,thinning_30_75,1572,True
3,2,thinning_30_75,1573,True
3,2,thinning_30_75,1582,True
3,2,thinning_30_75,1583,True
3,2,thinning_30_75,1593,True
3,2,thinning_30_75,1612,True
3,2,thinning_30_75,1613,True
3,2,thinning_30_75,1622,True
3,2,thinning_30_75,1623,False
3,2,thinning_30_75,1632,True
3,2,thinning_30_75,1633,True
3,2,thinning_30_75,1642,True
3,2,thinning_30_75,1643,True
3,2,thinning_30_75,1653,True
3,2,thinning_30_75,1672,True
3,2,thinning_30_75,1682,True
3,2,thinning_30_75,1683,False
3,2,thinning_30_75,1691,False
3,2,thinning_30_75,1692,True
3,2,thinning_30_75,1693,False
3,2,thinning_30_75,1702,True
3,2,thinning_30_75,1703,True
3,2,thinning_30_75,1711,True
3,2,thinning_30_75,1712,False
3,2,thinning_30_75,1713,True
3,2,thinning_30_75,1722,True
3,2,thinning_30_75,1723,True
3,2,thinning_30_75,1731,True
3,2,thinning_30_75,1732,True
3,2,thinning_30_75,1733,True
3,2,thinning_30_75,1741,True
3,2,thinning_30_75,1742,True
3,2,thinning_30_75,1743,True
3,2,thinning_30_75,1753,False
3,2,thinning_30_75,1771,True
3,2,thinning_30_75,1772,True
3,2,thinning_30_75,1773,True
3,2,thinning_30_75,1781,True
3,2,thinning_30_75,1782,False
3,2,thinning_30_75,1783,True
3,2,thinning_30_75,1791,False
3,2,thinning_30_75,1793,False
3,2,thinning_30_75,1802,True
3,2,thinning_30_75,1803,False
3,2,thinning_30_75,1812,True
3,2,thinning_30_75,1813,False
3,2,thinning_30_75,1821,True
3,2,thinning_30_75,1822,True
3,2,thinning_30_75,1823,True
3,2,thinning_30_75,1832,True
3,2,thinning_30_75,1833,True
3,2,thinning_30_75,1841,True
3,2,thinning_30_75,1901,True
3,2,thinning_30_75,1902,True
3,2,thinning_30_75,1903,False
3,2,thinning_30_75,1911,True
3,2,thinning_30_75,1912,True
3,2,thinning_30_75,1913,False
3,2,thinning_30_75,1921,False
3,2,thinning_30_75,1922,True
3,2,thinning_30_75,1932,True
3,2,thinning_30_75,1933,True
3,2,thinning_30_75,1941,True
3,2,thinning_30_75,1942,True
3,2,thinning_30_75,1952,True
3,2,thinning_30_75,1953,True
3,2,thinning_30_75,2021,True
3,2,thinning_30_75,2022,True
3,2,thinning_30_75,2023,False
3,2,thinning_30_75,2031,True
3,2,thinning_30_75,2032,True
3,2,thinning_30_75,2033,True
3,2,thinning_30_75,2042,True
3,2,thinning_30_75,2043,True
3,2,thinning_30_75,2051,True
3,2,thinning_30_75,2052,True
3,2,thinning_30_75,2053,True
3,2,thinning_30_75,2122,True
3,2,thinning_30_75,2123,True
3,2,thinning_30_75,2131,True
3,2,thinning_30_75,2201,True
3,2,thinning_30_75,2202,True
3,2,thinning_30_75,2203,True
3,2,thinning_30_75,2211,True
3,2,thinning_30_75,2212,True
3,2,thinning_30_75,2213,True
