year,julian,month,day_of_month,Suct_mean_mm,Saturation_mean,TSW_mean_mm
1985,16,1,16,0.34,0.9475757575757586,40.207777777777736
1985,17,1,17,0.34,0.945656565656567,39.92747474747472
1985,20,1,20,0.34,0.9452525252525268,39.99161616161621
1985,22,1,22,0.3407070707070708,0.9541414141414127,40.360404040404
1985,23,1,23,0.3438383838383839,0.9633333333333325,40.710202020202054
1985,24,1,24,0.34303030303030313,0.9460606060606069,40.135353535353545
1985,25,1,25,0.346868686868687,0.944444444444446,40.05141414141413
1985,26,1,26,0.35282828282828305,0.943636363636365,39.890202020202004
1985,27,1,27,0.3605050505050508,0.9435353535353552,40.00050505050509
1985,35,2,4,0.3769696969696974,0.9420202020202036,39.94898989898992
1985,41,2,10,0.3802020202020207,0.9360606060606048,39.5958585858586
1985,42,2,11,0.34,0.9219191919191936,39.147474747474725
1985,43,2,12,0.34,0.921616161616163,38.97787878787882
1985,44,2,13,0.34,0.9020202020202028,38.27484848484845
1985,45,2,14,0.34,0.902727272727273,38.32383838383841
1985,46,2,15,0.34,0.9118181818181798,38.51191919191921
1985,47,2,16,0.34,0.9314141414141434,39.233737373737334
1985,48,2,17,0.34,0.94121212121212,39.78737373737372
1985,50,2,19,0.34,0.922222222222224,39.03929292929292
1985,51,2,20,0.34,0.9320202020202029,39.58191919191923
1985,52,2,21,0.34,0.9129292929292915,38.761313131313095
1985,54,2,23,0.34,0.9306060606060624,39.4362626262626
1985,57,2,26,0.34,0.9165656565656581,38.90060606060602
1985,59,2,28,0.3406060606060607,0.9118181818181832,38.69575757575762
1985,60,3,1,0.3484848484848486,0.9108080808080824,38.66010101010099
1985,61,3,2,0.37787878787878837,0.8860606060606063,37.601010101010104
1985,62,3,3,0.3871717171717177,0.9047474747474764,38.408080808080854
1985,70,3,11,0.5006060606060616,0.8123232323232327,34.33080808080808
1985,73,3,14,0.7427272727272745,0.8439393939393933,35.79737373737373
1985,75,3,16,1.0200000000000022,0.8472727272727285,35.88010101010098
1985,232,8,20,8.550101010101011,0.33202020202020127,13.957373737373718
1985,287,10,14,7.681515151515148,0.38070707070707055,16.065555555555537
1985,294,10,21,7.6530303030303015,0.45353535353535374,19.10818181818182
1985,304,10,31,7.356666666666667,0.42212121212121195,17.78545454545453
1985,313,11,9,7.210303030303031,0.45313131313131333,19.132020202020183
1985,319,11,15,6.655454545454548,0.47141414141414145,19.84464646464645
1985,328,11,24,6.610303030303024,0.5072727272727278,21.44050505050507
1985,329,11,25,6.078181818181819,0.5238383838383841,22.172121212121194
1985,334,11,30,2.4226262626262653,0.8055555555555546,34.08414141414141
1985,342,12,8,0.34,0.9510101010101026,40.1266666666667
1985,353,12,19,0.34,0.9325252525252513,39.384040404040434
1985,357,12,23,0.3605050505050508,0.9380808080808095,39.759797979798044
1985,358,12,24,0.3766666666666671,0.9369696969696986,39.6355555555556
1985,362,12,28,0.43040404040404123,0.9533333333333326,40.223838383838405
1985,363,12,29,0.43757575757575845,0.9551515151515146,40.45242424242425
1985,364,12,30,0.42111111111111194,0.9458585858585846,40.14030303030303
1986,3,1,3,0.4487878787878796,0.9389898989898989,39.68292929292929
1986,7,1,7,0.43282828282828373,0.9237373737373727,38.98656565656563
1986,8,1,8,0.45696969696969786,0.9222222222222209,39.00888888888895
1986,9,1,9,0.4828282828282837,0.9190909090909082,38.765858585858545
1986,10,1,10,0.5119191919191931,0.9096969696969703,38.59444444444443
1986,11,1,11,0.5424242424242437,0.9046464646464663,38.284949494949466
1986,12,1,12,0.5773737373737389,0.9008080808080825,38.11474747474744
1986,13,1,13,0.6126262626262644,0.9073737373737366,38.497474747474726
1986,14,1,14,0.6349494949494969,0.9167676767676771,38.89353535353534
1986,16,1,16,0.6494949494949516,0.9221212121212109,38.98656565656564
1986,17,1,17,0.6534343434343456,0.9041414141414134,38.35767676767675
1986,20,1,20,0.706666666666669,0.903939393939395,38.20424242424243
1986,22,1,22,0.7335353535353559,0.9019191919191931,38.20353535353538
1986,23,1,23,0.7474747474747496,0.8911111111111104,37.80050505050508
