cokey,mukey,comppct_r,has_corestriction,reskind,reshard,resdept_r,resdepb_r,resthk_r,ksat_anchor_um_s,brockdepmin,rn,ecoregion,legacy_kslast_mm_h,legacy_fallback,candidate_a_kslast_mm_h,candidate_b_kslast_mm_h
27027419,1425996,100,1,Lithic bedrock,Indurated,122,,,9,122,1,Marine West Coast Forest,0.0324,0,0.01377,0.002754
27027421,1425994,100,1,Lithic bedrock,Indurated,122,,,9,122,1,Marine West Coast Forest,0.0324,0,0.01377,0.002754
27027427,1425988,100,1,Paralithic bedrock,Moderately coherent,82,,,3,82,1,Marine West Coast Forest,0.0108,0,0.00702,0.001404
27027428,1425987,100,1,Paralithic bedrock,Moderately coherent,82,,,3,82,1,Marine West Coast Forest,0.0108,0,0.00702,0.001404
27027429,1425986,100,1,Paralithic bedrock,Moderately coherent,82,,,3,82,1,Marine West Coast Forest,0.0108,0,0.00702,0.001404
27027482,1425944,100,1,Paralithic bedrock,Moderately coherent,127,,,9,127,1,Marine West Coast Forest,0.0324,0,0.02754,0.005508
27027483,1425943,100,1,Paralithic bedrock,Moderately coherent,127,,,9,127,1,Marine West Coast Forest,0.0324,0,0.02754,0.005508
27027484,1425942,100,1,Paralithic bedrock,Moderately coherent,127,,,9,127,1,Marine West Coast Forest,0.0324,0,0.02754,0.005508
27027485,1425941,100,1,Paralithic bedrock,Moderately coherent,127,,,9,127,1,Marine West Coast Forest,0.0324,0,0.02754,0.005508
27062393,66576,100,1,Lithic bedrock,Indurated,0,,,,0,1,Marine West Coast Forest,0.01,1,0.01,0.01
27422896,2711254,100,1,Paralithic bedrock,Moderately coherent,236,,,9,236,1,Marine West Coast Forest,0.0324,0,0.0324,0.00648
27422899,2711232,100,1,Paralithic bedrock,Moderately coherent,84,,,3,84,1,Marine West Coast Forest,0.0108,0,0.00702,0.001404
26507297,736626,100,0,,,,,,9,,2,Marine West Coast Forest,0.01,1,0.01,0.01
26507298,736627,100,0,,,,,,9,,2,Marine West Coast Forest,0.01,1,0.01,0.01
26507327,73055,100,0,,,,,,,,2,Marine West Coast Forest,0.01,1,0.01,0.01
26507359,72205,100,0,,,,,,,,2,Marine West Coast Forest,0.01,1,0.01,0.01
26507381,72232,100,0,,,,,,,,2,Marine West Coast Forest,0.01,1,0.01,0.01
26568650,73456,100,0,,,,,,9,,2,Marine West Coast Forest,0.01,1,0.01,0.01
26568651,73457,100,0,,,,,,28,,2,Marine West Coast Forest,0.01,1,0.01,0.01
26568658,73461,100,0,,,,,,9,,2,Marine West Coast Forest,0.01,1,0.01,0.01
26568662,73465,100,0,,,,,,9,,2,Marine West Coast Forest,0.01,1,0.01,0.01
26568671,73472,100,0,,,,,,,,2,Marine West Coast Forest,0.01,1,0.01,0.01
26568685,73477,100,0,,,,,,9,,2,Marine West Coast Forest,0.01,1,0.01,0.01
26568686,73479,100,0,,,,,,9,,2,Marine West Coast Forest,0.01,1,0.01,0.01
26568687,73480,100,0,,,,,,9,,2,Marine West Coast Forest,0.01,1,0.01,0.01
26568698,73485,100,0,,,,,,28,,2,Marine West Coast Forest,0.01,1,0.01,0.01
26568705,73489,100,0,,,,,,92,,2,Marine West Coast Forest,0.01,1,0.01,0.01
26568724,73499,100,0,,,,,,,,2,Marine West Coast Forest,0.01,1,0.01,0.01
26568729,73501,100,0,,,,,,9,,2,Marine West Coast Forest,0.01,1,0.01,0.01
26568732,73503,100,0,,,,,,9,,2,Marine West Coast Forest,0.01,1,0.01,0.01
26568733,73505,100,0,,,,,,,,2,Marine West Coast Forest,0.01,1,0.01,0.01
26568740,73509,100,0,,,,,,3,,2,Marine West Coast Forest,0.01,1,0.01,0.01
26568741,73510,100,0,,,,,,3,,2,Marine West Coast Forest,0.01,1,0.01,0.01
26568753,73515,100,0,,,,,,9,,2,Marine West Coast Forest,0.01,1,0.01,0.01
26568780,73531,100,0,,,,,,,,2,Marine West Coast Forest,0.01,1,0.01,0.01
26573923,73533,100,0,,,,,,9,,2,Marine West Coast Forest,0.01,1,0.01,0.01
26573924,73534,100,0,,,,,,92,,2,Marine West Coast Forest,0.01,1,0.01,0.01
26573932,73537,100,0,,,,,,9,,2,Marine West Coast Forest,0.01,1,0.01,0.01
26573938,73539,100,0,,,,,,3,,2,Marine West Coast Forest,0.01,1,0.01,0.01
26573939,73540,100,0,,,,,,3,,2,Marine West Coast Forest,0.01,1,0.01,0.01
26573940,73541,100,0,,,,,,3,,2,Marine West Coast Forest,0.01,1,0.01,0.01
26573948,73544,100,0,,,,,,9,,2,Marine West Coast Forest,0.01,1,0.01,0.01
26573965,73555,100,0,,,,,,9,,2,Marine West Coast Forest,0.01,1,0.01,0.01
26573966,73556,100,0,,,,,,,,2,Marine West Coast Forest,0.01,1,0.01,0.01
26573967,73557,100,0,,,,,,,,2,Marine West Coast Forest,0.01,1,0.01,0.01
26573970,73559,100,0,,,,,,9,,2,Marine West Coast Forest,0.01,1,0.01,0.01
26573971,73560,100,0,,,,,,9,,2,Marine West Coast Forest,0.01,1,0.01,0.01
26573977,73562,100,0,,,,,,,,2,Marine West Coast Forest,0.01,1,0.01,0.01
26573982,73564,100,0,,,,,,28,,2,Marine West Coast Forest,0.01,1,0.01,0.01
26573986,73567,100,0,,,,,,9,,2,Marine West Coast Forest,0.01,1,0.01,0.01
26573987,73568,100,0,,,,,,9,,2,Marine West Coast Forest,0.01,1,0.01,0.01
26573996,73572,100,0,,,,,,28,,2,Marine West Coast Forest,0.01,1,0.01,0.01
26573997,73573,100,0,,,,,,9,,2,Marine West Coast Forest,0.01,1,0.01,0.01
26573998,73574,100,0,,,,,,9,,2,Marine West Coast Forest,0.01,1,0.01,0.01
26574001,73576,100,0,,,,,,3,,2,Marine West Coast Forest,0.01,1,0.01,0.01
26574003,73578,100,0,,,,,,3,,2,Marine West Coast Forest,0.01,1,0.01,0.01
26574004,73579,100,0,,,,,,0.91,,2,Marine West Coast Forest,0.01,1,0.01,0.01
26574005,73580,100,0,,,,,,9,,2,Marine West Coast Forest,0.01,1,0.01,0.01
26574006,73581,100,0,,,,,,9,,2,Marine West Coast Forest,0.01,1,0.01,0.01
26574009,73584,100,0,,,,,,92,,2,Marine West Coast Forest,0.01,1,0.01,0.01
26574010,73585,100,0,,,,,,28,,2,Marine West Coast Forest,0.01,1,0.01,0.01
26574012,73587,100,0,,,,,,9,,2,Marine West Coast Forest,0.01,1,0.01,0.01
26574014,73589,100,0,,,,,,9,,2,Marine West Coast Forest,0.01,1,0.01,0.01
26574015,73590,100,0,,,,,,9,,2,Marine West Coast Forest,0.01,1,0.01,0.01
26574016,73591,100,0,,,,,,9,,2,Marine West Coast Forest,0.01,1,0.01,0.01
26574025,73595,100,0,,,,,,9,,2,Marine West Coast Forest,0.01,1,0.01,0.01
26574026,73596,100,0,,,,,,9,,2,Marine West Coast Forest,0.01,1,0.01,0.01
26574029,73598,100,0,,,,,,9,,2,Marine West Coast Forest,0.01,1,0.01,0.01
26574031,73600,100,0,,,,,,9,,2,Marine West Coast Forest,0.01,1,0.01,0.01
26574039,73603,100,0,,,,,,9,,2,Marine West Coast Forest,0.01,1,0.01,0.01
26574040,73604,100,0,,,,,,9,,2,Marine West Coast Forest,0.01,1,0.01,0.01
26574041,73605,100,0,,,,,,9,,2,Marine West Coast Forest,0.01,1,0.01,0.01
26574047,73611,100,0,,,,,,9,,2,Marine West Coast Forest,0.01,1,0.01,0.01
26574048,73612,100,0,,,,,,9,,2,Marine West Coast Forest,0.01,1,0.01,0.01
26574049,73613,100,0,,,,,,9,,2,Marine West Coast Forest,0.01,1,0.01,0.01
26574050,73614,100,0,,,,,,9,,2,Marine West Coast Forest,0.01,1,0.01,0.01
26574051,73615,100,0,,,,,,9,,2,Marine West Coast Forest,0.01,1,0.01,0.01
26574052,73616,100,0,,,,,,92,,2,Marine West Coast Forest,0.01,1,0.01,0.01
26574053,73617,100,0,,,,,,9,,2,Marine West Coast Forest,0.01,1,0.01,0.01
26574054,73618,100,0,,,,,,9,,2,Marine West Coast Forest,0.01,1,0.01,0.01
26574055,73619,100,0,,,,,,9,,2,Marine West Coast Forest,0.01,1,0.01,0.01
26574056,73620,100,0,,,,,,9,,2,Marine West Coast Forest,0.01,1,0.01,0.01
