ProjectName,Scenario,Watershed,Total contributing area to outlet (ha),Precipitation (m^3/yr),Precipitation per area (mm/yr),Water discharge (m^3/yr),Water discharge per area (mm/yr),Total hillslope soil loss (tonne/yr),Total hillslope soil loss per area (kg/ha/yr),Total channel soil loss (tonne/yr),Total channel soil loss per area (kg/ha/yr),Sediment discharge (tonne/yr),Sediment discharge per area (kg/ha/yr),Sediment delivery ratio for watershed,Phosphorus discharge (kg/yr),Phosphorus discharge per area (kg/ha/yr),Particle Fraction Under 0.016 mm,Sediment Yield of Particles Under 0.016 mm (tonne/yr),Sediment Yield of Particles Under 0.016 mm per area (kg/ha/yr)
SimFire4.2.2b_Watershed_20,SimFire4.2.2b,Watershed_20,877.52,8733199.0,995.2136703436959,5080329.0,578.9416765429847,6158.6,7018.187619655393,508.0,578.904184520011,1369.3,1560.4202753213601,0.205,1123.7,1.2805406144589297,0.4118,563.87774,642.5810693773361
SimFire4.2fA2p.2b.obs_cli_Watershed_1,SimFire4.2fA2p.2b.obs,Watershed_1,262.83,2411256.0,917.4203858007077,1097703.0,417.64752882091085,98.2,373.6255374196249,6.3,23.96986645360119,42.4,161.3210059734429,0.405,40.1,0.15257010234752502,0.2393,10.14632,38.60411672944489
SimFire4.2fA2p.2b.obs_cli_Watershed_2,SimFire4.2fA2p.2b.obs,Watershed_2,110.68,1032881.0,933.2137694253704,440179.0,397.70419226599205,4.0,36.14022406938923,2.5,22.587640043368268,6.6,59.63136971449222,1.001,7.5,0.0677629201301048,0.17370000000000002,1.14642,10.3579689194073
SimFire4.2fA2p.2b.obs_cli_Watershed_3,SimFire4.2fA2p.2b.obs,Watershed_3,188.22,1790664.0,951.3675486133249,770635.0,409.43311019020297,0.4,2.1251726702794604,5.8,30.81500371905217,6.2,32.94017638933163,1.0,9.8,0.05206673042184678,0.19779999999999998,1.22636,6.515566889809796
SimFire4.2fA2p.2b.obs_cli_Watershed_4,SimFire4.2fA2p.2b.obs,Watershed_4,1345.08,13708196.0,1019.1361108632943,6475123.0,481.39315133672346,819.1,608.960061855057,84.9,63.11892229458471,542.8,403.5447705712672,0.6,470.9,0.35009070092485206,0.3038,164.90264,122.59690129955095
SimFire4.2fA2p.2b.obs_cli_Watershed_5,SimFire4.2fA2p.2b.obs,Watershed_5,268.63,2753813.0,1025.132338160295,1378747.0,513.2513122138257,39.2,145.92562260358113,7.3,27.17492461750363,31.0,115.40036481405652,0.668,32.5,0.1209842534340915,0.2436,7.5516000000000005,28.111528868704166
SimFire4.2fA2p.2b.obs_cli_Watershed_6,SimFire4.2fA2p.2b.obs,Watershed_6,122.51,1216674.0,993.1221941066035,630746.0,514.8526650885642,24.1,196.71863521345196,3.0,24.487796914537586,19.1,155.90564035588932,0.705,18.8,0.15345686066443556,0.23909999999999998,4.56681,37.27703860909314
SimFire4.2fA2p.2b.obs_cli_Watershed_7_Ward,SimFire4.2fA2p.2b.obs,Watershed_7_Ward,2314.23,30688326.0,1326.070701702078,16091411.0,695.3246220125052,40212.9,17376.36276428877,21300.5,9204.14133426669,8369.3,3616.4512602463883,0.136,6774.6,2.927366769940758,0.6609,5531.27037,2390.1126378968384
SimFire4.2fA2p.2b.obs_cli_Watershed_8,SimFire4.2fA2p.2b.obs,Watershed_8,160.26,1925546.0,1201.513790091102,956031.0,596.5499812804193,58.6,365.6558093098715,4.5,28.079371022089106,49.5,308.87308124298016,0.784,44.2,0.27580182203918635,0.2959,14.64705,91.39554473979783
SimFire4.2fA2p.2b.obs_cli_Watershed_9_Blackwood,SimFire4.2fA2p.2b.obs,Watershed_9_Blackwood,2671.07,37575749.0,1406.7676623974662,22131557.0,828.565219181826,151283.9,56637.93910305607,11930211.8,4466454.19251461,400803.1,150053.38684497224,0.033,320748.9,120.08255118735188,0.8171999999999999,327536.29331999994,122623.62772971128
