ProjectName,Scenario,Watershed,Channel Class 1,Channel Class 2,Channel Class 3,Channel Class 4,Channel Class 5,Channel Clay,Channel Silt,Channel Sand,Channel Organic Matter,Hillslopes Class 1,Hillslopes Class 2,Hillslopes Class 3,Hillslopes Class 4,Hillslopes Class 5,Hillslopes Clay,Hillslopes Silt,Hillslopes Sand,Hillslopes Organic Matter,Average Annual Sediment Discharge from Outlet (tonnes/yr),Average Annual Sediment Delivery from Hillslopes (tonnes/yr),Index of specific surface (m**2/g of total sediment),Enrichment ratio of specific surface
SimFire4.2.2b_Watershed_19,SimFire4.2.2b,Watershed_19,0.058,0.105,0.181,0.212,0.444,0.117,0.271,0.612,0.05,0.012838132628271416,0.05704500123211243,0.08022577867413701,0.19085557626077185,0.6590355112047073,0.048660473978330746,0.14019212053712682,0.8111474054845424,0.020743813181153186,1497.0,10160.985136875537,52.44,1.64
SimFire4.2.2b_Watershed_20,SimFire4.2.2b,Watershed_20,0.086,0.246,0.266,0.175,0.227,0.16,0.474,0.366,0.068,0.016998015773379775,0.12337201258252252,0.11241922779535335,0.2456922821072808,0.5015184617414635,0.06504200876682013,0.2376227806522135,0.6973352105809664,0.02772895511686752,1369.3,5614.910247817891,71.21,2.23
SimFire4.2fA2p.2b.obs_cli_Watershed_1,SimFire4.2fA2p.2b.obs,Watershed_1,0.043,0.115,0.271,0.313,0.258,0.131,0.362,0.507,0.056,0.04182162429642395,0.12620241037179888,0.2712440369648577,0.31362376545151294,0.24710816291540694,0.1301028688757087,0.372830827144029,0.49706630398026275,0.05552563829896662,42.4,40.600035767151496,58.62,1.83
SimFire4.2fA2p.2b.obs_cli_Watershed_2,SimFire4.2fA2p.2b.obs,Watershed_2,0.02,0.112,0.139,0.28,0.449,0.077,0.251,0.672,0.033,0.0213955605065241,0.09725528924417615,0.14768223478126297,0.2948921925335817,0.4387747229344551,0.08175083910619518,0.2444453605100851,0.6738038003837197,0.03485556867402294,6.6,4.047753184926258,35.09,1.1
SimFire4.2fA2p.2b.obs_cli_Watershed_3,SimFire4.2fA2p.2b.obs,Watershed_3,0.018,0.142,0.126,0.253,0.461,0.07,0.268,0.662,0.03,0.019191708198130798,0.23036922985566285,0.1297379584059315,0.22162994850317877,0.39907115503709617,0.06850778232359704,0.35578199368227337,0.5757102239941296,0.029218116910665455,6.2,0.37279415647745634,31.96,1.0
SimFire4.2fA2p.2b.obs_cli_Watershed_4,SimFire4.2fA2p.2b.obs,Watershed_4,0.031,0.214,0.196,0.264,0.295,0.099,0.396,0.506,0.042,0.020644804124611307,0.1513804926701703,0.14143458094457112,0.28090036651425815,0.4056397557463891,0.07829663698882738,0.2921860151529198,0.6295173478582529,0.033383548648068494,542.8,735.2287830532313,44.85,1.4
SimFire4.2fA2p.2b.obs_cli_Watershed_5,SimFire4.2fA2p.2b.obs,Watershed_5,0.036,0.138,0.232,0.282,0.313,0.112,0.35,0.538,0.048,0.02687990786705878,0.09106064162609119,0.17357243595098934,0.3362108212680432,0.37227619328781697,0.09678856315825382,0.2629752190032983,0.6402362178384474,0.041273854203815075,31.0,35.98940390247073,50.64,1.58
SimFire4.2fA2p.2b.obs_cli_Watershed_6,SimFire4.2fA2p.2b.obs,Watershed_6,0.032,0.142,0.217,0.292,0.316,0.107,0.344,0.549,0.046,0.022367944286325582,0.0930670580304623,0.1518028672768523,0.29945430834468817,0.43330782206167157,0.08404432580786556,0.24398276837974633,0.671972905812388,0.035835187104227284,19.1,24.121676243031647,48.16,1.51
SimFire4.2fA2p.2b.obs_cli_Watershed_7_Ward,SimFire4.2fA2p.2b.obs,Watershed_7_Ward,0.166,0.401,0.313,0.072,0.048,0.24,0.656,0.105,0.103,0.019615891088450417,0.18949453915462566,0.1307726834212422,0.24413255086552665,0.41598433547015495,0.07137804982601967,0.3180639716640006,0.6105579785099797,0.030438325921209146,8369.3,33337.21956922302,105.17,3.29
SimFire4.2fA2p.2b.obs_cli_Watershed_8,SimFire4.2fA2p.2b.obs,Watershed_8,0.018,0.241,0.123,0.193,0.425,0.063,0.358,0.579,0.027,0.014121270531835916,0.2006504224544185,0.09773650941145802,0.2014415841883391,0.4860502134139487,0.054686390852299135,0.29871445313564615,0.646599156012055,0.023314857441099072,49.5,56.1116302930429,29.23,0.91
