"model","assessment_id","attempt_id","view","selected_window_minutes","min_probability","year_filter","sort","descending","offset","limit","intensity_unit","rainfall_unit","event_id","date_label","date_semantics","return_interval_years","duration_minutes","peak_intensity","window_rainfall","total_event_rainfall","probability","target_probability","reason"
"M1","a58e2438a4614f48a3e354868c4538a2","49987d8eb4f841ba913a182df46fb7a3","displayed view",30,,,"row_ordinal","false",100,100,"in/hour","in","ab48232d89daa8222a1377f567997ca155f9ea4350fbf6c898966efdcc4c4d9b:591","Simulation 2 / 8 / 15","simulation_labels",,30,0.0485916167221118,0.0242958083610559,0.0393701,0.03278212137962263,,
"M1","a58e2438a4614f48a3e354868c4538a2","49987d8eb4f841ba913a182df46fb7a3","displayed view",30,,,"row_ordinal","false",100,100,"in/hour","in","ab48232d89daa8222a1377f567997ca155f9ea4350fbf6c898966efdcc4c4d9b:592","Simulation 2 / 8 / 16","simulation_labels",,30,0.05087753789980628,0.02543876894990314,0.04330711,0.03312009532672285,,
"M1","a58e2438a4614f48a3e354868c4538a2","49987d8eb4f841ba913a182df46fb7a3","displayed view",30,,,"row_ordinal","false",100,100,"in/hour","in","ab48232d89daa8222a1377f567997ca155f9ea4350fbf6c898966efdcc4c4d9b:596","Simulation 2 / 8 / 20","simulation_labels",,30,0.07137652318581811,0.035688261592909054,0.06299216,0.0363049379055851,,
"M1","a58e2438a4614f48a3e354868c4538a2","49987d8eb4f841ba913a182df46fb7a3","displayed view",30,,,"row_ordinal","false",100,100,"in/hour","in","ab48232d89daa8222a1377f567997ca155f9ea4350fbf6c898966efdcc4c4d9b:597","Simulation 2 / 8 / 21","simulation_labels",,30,0.37330397663007675,0.18665198831503838,0.28346472,0.13262882515751087,,
"M1","a58e2438a4614f48a3e354868c4538a2","49987d8eb4f841ba913a182df46fb7a3","displayed view",30,,,"row_ordinal","false",100,100,"in/hour","in","ab48232d89daa8222a1377f567997ca155f9ea4350fbf6c898966efdcc4c4d9b:598","Simulation 2 / 8 / 22","simulation_labels",,30,0.22492597970207753,0.11246298985103877,0.23228359,0.07133444420362413,,
"M1","a58e2438a4614f48a3e354868c4538a2","49987d8eb4f841ba913a182df46fb7a3","displayed view",30,,,"row_ordinal","false",100,100,"in/hour","in","ab48232d89daa8222a1377f567997ca155f9ea4350fbf6c898966efdcc4c4d9b:599","Simulation 2 / 8 / 23","simulation_labels",,30,0.5184817293138881,0.25924086465694407,0.61023655,0.23071035234053586,,
"M1","a58e2438a4614f48a3e354868c4538a2","49987d8eb4f841ba913a182df46fb7a3","displayed view",30,,,"row_ordinal","false",100,100,"in/hour","in","ab48232d89daa8222a1377f567997ca155f9ea4350fbf6c898966efdcc4c4d9b:602","Simulation 2 / 8 / 26","simulation_labels",,30,0.14291847963403906,0.07145923981701953,0.14566937,0.04988442896461923,,
"M1","a58e2438a4614f48a3e354868c4538a2","49987d8eb4f841ba913a182df46fb7a3","displayed view",30,,,"row_ordinal","false",100,100,"in/hour","in","ab48232d89daa8222a1377f567997ca155f9ea4350fbf6c898966efdcc4c4d9b:621","Simulation 2 / 9 / 14","simulation_labels",,30,0.02528111423586919,0.012640557117934595,0.05118113,0.02952069478958201,,
"M1","a58e2438a4614f48a3e354868c4538a2","49987d8eb4f841ba913a182df46fb7a3","displayed view",30,,,"row_ordinal","false",100,100,"in/hour","in","ab48232d89daa8222a1377f567997ca155f9ea4350fbf6c898966efdcc4c4d9b:644","Simulation 2 / 10 / 7","simulation_labels",,30,0.010319843830539983,0.005159921915269991,0.011811029999999998,0.0275955547553335,,
"M1","a58e2438a4614f48a3e354868c4538a2","49987d8eb4f841ba913a182df46fb7a3","displayed view",30,,,"row_ordinal","false",100,100,"in/hour","in","ab48232d89daa8222a1377f567997ca155f9ea4350fbf6c898966efdcc4c4d9b:645","Simulation 2 / 10 / 8","simulation_labels",,30,0.2902768017343953,0.14513840086719765,0.21259854,0.09422127091710374,,
"M1","a58e2438a4614f48a3e354868c4538a2","49987d8eb4f841ba913a182df46fb7a3","displayed view",30,,,"row_ordinal","false",100,100,"in/hour","in","ab48232d89daa8222a1377f567997ca155f9ea4350fbf6c898966efdcc4c4d9b:646","Simulation 2 / 10 / 9","simulation_labels",,30,0.02365315306699922,0.01182657653349961,0.03543309,0.029305058734515117,,
"M1","a58e2438a4614f48a3e354868c4538a2","49987d8eb4f841ba913a182df46fb7a3","displayed view",30,,,"row_ordinal","false",100,100,"in/hour","in","ab48232d89daa8222a1377f567997ca155f9ea4350fbf6c898966efdcc4c4d9b:647","Simulation 2 / 10 / 10","simulation_labels",,30,0.0077660700916003435,0.0038830350458001718,0.011811029999999998,0.027279366025108037,,
"M1","a58e2438a4614f48a3e354868c4538a2","49987d8eb4f841ba913a182df46fb7a3","displayed view",30,,,"row_ordinal","false",100,100,"in/hour","in","ab48232d89daa8222a1377f567997ca155f9ea4350fbf6c898966efdcc4c4d9b:648","Simulation 2 / 10 / 11","simulation_labels",,30,0.4718572764395482,0.2359286382197741,0.46456718,0.1945618034094795,,
"M1","a58e2438a4614f48a3e354868c4538a2","49987d8eb4f841ba913a182df46fb7a3","displayed view",30,,,"row_ordinal","false",100,100,"in/hour","in","ab48232d89daa8222a1377f567997ca155f9ea4350fbf6c898966efdcc4c4d9b:659","Simulation 2 / 10 / 22","simulation_labels",,30,1.2063443389475519,0.6031721694737759,1.3464574200000001,0.8794570637310951,,
