Latitude: 39.637893121733924  Longitude: -107.21442401398961
X & Y on Lambert Conformal Conic: -590975.44 -277756.44
Tile: 11557
Elevation: 2904 meters
All years; all variables; Daymet Software Version 4.0
How to cite: Thornton; M.M.; R. Shrestha; Y. Wei; P.E. Thornton; S-C. Kao; and B.E. Wilson. 2022. Daymet: Daily Surface Weather Data on a 1-km Grid for North America; Version 4 R1. ORNL DAAC; Oak Ridge; Tennessee; USA. https://doi.org/10.3334/ORNLDAAC/2129
year,yday,dayl (s),prcp (mm/day),srad (W/m^2),swe (kg/m^2),tmax (deg c),tmin (deg c),vp (Pa)
2021,236,47515.66,0.00,430.45,0.00,21.89,9.93,1194.81
2021,237,47365.59,0.00,486.31,0.00,22.59,8.15,1014.34
2021,238,47214.71,0.00,377.25,0.00,18.37,8.58,1115.69
2021,239,47063.08,0.00,470.83,0.00,22.60,8.89,1081.29
2021,240,46910.71,0.00,467.11,0.00,23.69,10.00,1163.25
2021,241,46757.66,0.00,474.71,0.00,23.97,9.81,1136.10
2021,242,46603.96,0.00,477.24,0.00,24.09,9.59,1117.99
2021,243,46449.64,0.00,445.40,0.00,23.90,10.74,1239.11
2021,244,46294.73,10.19,240.76,0.00,17.15,8.81,1133.07
2021,245,46139.26,0.00,369.50,0.00,17.97,8.04,1075.51
2021,246,45983.28,8.14,291.50,0.00,18.40,7.71,1051.23
2021,247,45826.81,0.00,451.58,0.00,19.77,6.52,968.59
2021,248,45669.87,0.00,478.88,0.00,21.14,6.19,937.57
2021,249,45512.52,0.00,459.68,0.00,22.63,8.28,1088.54
2021,250,45354.76,0.00,475.04,0.00,24.04,8.51,1089.28
2021,251,45196.64,0.00,468.90,0.00,24.79,9.32,1152.74
2021,252,45038.18,0.00,455.60,0.00,25.10,10.15,1229.57
2021,253,44879.40,0.00,447.31,0.00,25.71,11.00,1306.86
2021,254,44720.35,2.23,326.74,0.00,23.56,9.59,1194.21
2021,255,44561.04,0.00,436.23,0.00,20.88,7.32,1023.31
2021,256,44401.51,0.00,407.10,0.00,21.36,9.04,1150.25
2021,257,44241.78,0.00,408.97,0.00,20.77,8.35,1097.75
2021,258,44081.88,0.00,442.52,0.00,21.83,7.57,1041.21
2021,259,43921.83,0.00,416.12,0.00,21.22,8.28,1092.81
2021,260,43761.66,0.00,413.01,0.00,21.03,8.17,1085.03
2021,261,43601.40,5.92,338.27,0.00,21.87,6.40,960.66
2021,262,43441.08,7.32,295.39,0.00,15.59,3.63,792.12
2021,263,43280.71,0.00,365.31,0.00,10.43,-0.00,610.52
2021,264,43120.34,0.00,460.12,0.00,13.91,-1.43,550.07
2021,265,42959.97,0.00,450.56,0.00,18.00,2.57,734.68
2021,266,42799.65,0.00,429.08,0.00,19.41,4.85,863.14
2021,267,42639.39,0.00,409.24,0.00,18.92,5.37,894.93
2021,268,42479.22,0.00,408.01,0.00,20.20,6.33,956.32
2021,269,42319.17,0.00,407.61,0.00,20.69,6.64,976.79
2021,270,42159.27,0.00,406.15,0.00,21.96,7.67,1048.75
2021,271,41999.54,9.76,246.42,0.00,14.95,4.68,852.89
