,Year,State,Fire Name,Fire_ID,Fire_SegID,Site Name,ObservationDate_mmddyyyy,ObservationLatitude_DD,ObservationLongitude_DD,DebrisFlowResponse,SourceOfObservation,StormDate_mmddyyyy,GaugeName,GaugeLatitude_DD,GaugeLongitude_DD,GaugeDist_km,StormAccum_mm,StormDuration_hr,Peak_I15_mm/h,Peak_I30_mm/h,Peak_I60_mm/h,Peak_I15_in in 15min,Peak_I30_in in 30min,Peak_I60_in in 60min
115,2020,CO,Grizzly Creek Fire,grz2020,no segment available,124.6,6292021,39.577953,-107.204888,0,,6292021,USGS_gc_1,39.562758,-107.171371,3.34,10.03,148.869,9.867,5.41,3.971,0.097116142,0.106496063,0.156338583
116,2020,CO,Grizzly Creek Fire,grz2020,grz2020_4984,125.14,6292021,39.587694,-107.194739,0,,6292021,,,,,,,,,,,,
117,2020,CO,Grizzly Creek Fire,grz2020,no segment available,125.57,6292021,39.590132,-107.187256,0,,6292021,USGS_gc_1,39.562758,-107.171371,3.34,10.03,148.869,9.867,5.41,3.971,0.097116142,0.106496063,0.156338583
118,2020,CO,Grizzly Creek Fire,grz2020,grz2020_4083,126,6292021,39.593441,-107.177952,0,,6292021,,,,,,,,,,,,
120,2020,CO,Grizzly Creek Fire,grz2020,no segment available,126.64,6292021,39.599788,-107.171554,0,,6292021,,,,,,,,,,,,
121,2020,CO,Grizzly Creek Fire,grz2020,no segment available,126.82,6292021,39.567466,-107.229297,0,,6292021,,,,,,,,,,,,
122,2020,CO,Grizzly Creek Fire,grz2020,grz2020_2970,127,6292021,39.60235705,-107.1631228,0,,6292021,USGS_gc_3,39.650605,-107.168258,5.448,10.163,74.273,5.143,3.657,2.467,0.050620079,0.071988189,0.097125984
123,2020,CO,Grizzly Creek Fire,grz2020,grz2020_2703,127.3,6292021,39.603097,-107.159339,0,,6292021,,,,,,,,,,,,
124,2020,CO,Grizzly Creek Fire,grz2020,grz2020_2213,127.8,6292021,39.6085,-107.1543,0,,6292021,,,,,,,,,,,,
125,2020,CO,Grizzly Creek Fire,grz2020,no segment available,127.85,6292021,39.608744,-107.153603,0,,6292021,,,,,,,,,,,,
126,2020,CO,Grizzly Creek Fire,grz2020,no segment available,127.9,6292021,39.609181,-107.152192,0,,6292021,,,,,,,,,,,,
127,2020,CO,Grizzly Creek Fire,grz2020,no segment available,128,6292021,39.610049,-107.148402,0,,6292021,,,,,,,,,,,,
128,2020,CO,Grizzly Creek Fire,grz2020,grz2020_2089,128.2,6292021,39.610562,-107.146508,0,,6292021,,,,,,,,,,,,
